country,iso2c,year,indicator,value,unit
Belize,BZ,1960,FP.CPI.TOTL.ZG,,%
Belize,BZ,1961,FP.CPI.TOTL.ZG,,%
Belize,BZ,1962,FP.CPI.TOTL.ZG,,%
Belize,BZ,1963,FP.CPI.TOTL.ZG,,%
Belize,BZ,1964,FP.CPI.TOTL.ZG,,%
Belize,BZ,1965,FP.CPI.TOTL.ZG,,%
Belize,BZ,1966,FP.CPI.TOTL.ZG,,%
Belize,BZ,1967,FP.CPI.TOTL.ZG,,%
Belize,BZ,1968,FP.CPI.TOTL.ZG,,%
Belize,BZ,1969,FP.CPI.TOTL.ZG,,%
Belize,BZ,1970,FP.CPI.TOTL.ZG,,%
Belize,BZ,1971,FP.CPI.TOTL.ZG,,%
Belize,BZ,1972,FP.CPI.TOTL.ZG,,%
Belize,BZ,1973,FP.CPI.TOTL.ZG,,%
Belize,BZ,1974,FP.CPI.TOTL.ZG,,%
Belize,BZ,1975,FP.CPI.TOTL.ZG,,%
Belize,BZ,1976,FP.CPI.TOTL.ZG,,%
Belize,BZ,1977,FP.CPI.TOTL.ZG,,%
Belize,BZ,1978,FP.CPI.TOTL.ZG,,%
Belize,BZ,1979,FP.CPI.TOTL.ZG,,%
Belize,BZ,1980,FP.CPI.TOTL.ZG,,%
Belize,BZ,1981,FP.CPI.TOTL.ZG,11.2244897960225,%
Belize,BZ,1982,FP.CPI.TOTL.ZG,6.83903252716288,%
Belize,BZ,1983,FP.CPI.TOTL.ZG,4.99609679980487,%
Belize,BZ,1984,FP.CPI.TOTL.ZG,3.38289962863707,%
Belize,BZ,1985,FP.CPI.TOTL.ZG,6.2371661180555,%
Belize,BZ,1986,FP.CPI.TOTL.ZG,0.799771493858953,%
Belize,BZ,1987,FP.CPI.TOTL.ZG,2.01190138849529,%
Belize,BZ,1988,FP.CPI.TOTL.ZG,3.13888888888894,%
Belize,BZ,1989,FP.CPI.TOTL.ZG,2.12765957446807,%
Belize,BZ,1990,FP.CPI.TOTL.ZG,3.05907172995786,%
Belize,BZ,1991,FP.CPI.TOTL.ZG,0.76195150080688,%
Belize,BZ,1992,FP.CPI.TOTL.ZG,2.39670073025188,%
Belize,BZ,1993,FP.CPI.TOTL.ZG,1.4725969469368,%
Belize,BZ,1994,FP.CPI.TOTL.ZG,2.56934304644295,%
Belize,BZ,1995,FP.CPI.TOTL.ZG,2.88961584372151,%
Belize,BZ,1996,FP.CPI.TOTL.ZG,5.96502097537242,%
Belize,BZ,1997,FP.CPI.TOTL.ZG,1.1490375676054,%
Belize,BZ,1998,FP.CPI.TOTL.ZG,2.1952625003759,%
Belize,BZ,1999,FP.CPI.TOTL.ZG,2.62139524582746,%
Belize,BZ,2000,FP.CPI.TOTL.ZG,3.06743966930585,%
Belize,BZ,2001,FP.CPI.TOTL.ZG,3.65141786561502,%
Belize,BZ,2002,FP.CPI.TOTL.ZG,4.24026660688645,%
Belize,BZ,2003,FP.CPI.TOTL.ZG,2.31808274663101,%
Belize,BZ,2004,FP.CPI.TOTL.ZG,6.39443099742399,%
Belize,BZ,2005,FP.CPI.TOTL.ZG,-1.1043104441191,%
Belize,BZ,2006,FP.CPI.TOTL.ZG,-7.11376771265014,%
Belize,BZ,2007,FP.CPI.TOTL.ZG,2.31808274642021,%
Belize,BZ,2008,FP.CPI.TOTL.ZG,6.39443100250034,%
Belize,BZ,2009,FP.CPI.TOTL.ZG,-1.10431044864355,%
Belize,BZ,2010,FP.CPI.TOTL.ZG,0.917977378808888,%
Belize,BZ,2011,FP.CPI.TOTL.ZG,1.602056156402,%
Belize,BZ,2012,FP.CPI.TOTL.ZG,1.30058074547858,%
Belize,BZ,2013,FP.CPI.TOTL.ZG,0.50974776898322,%
Belize,BZ,2014,FP.CPI.TOTL.ZG,1.20139964481058,%
Belize,BZ,2015,FP.CPI.TOTL.ZG,-0.861584009427748,%
Belize,BZ,2016,FP.CPI.TOTL.ZG,0.663427167917601,%
Belize,BZ,2017,FP.CPI.TOTL.ZG,1.14765339305816,%
Belize,BZ,2018,FP.CPI.TOTL.ZG,0.269982622646335,%
Belize,BZ,2019,FP.CPI.TOTL.ZG,0.187069385181424,%
Belize,BZ,2020,FP.CPI.TOTL.ZG,0.121434644614894,%
Belize,BZ,2021,FP.CPI.TOTL.ZG,3.23563659237071,%
Belize,BZ,2022,FP.CPI.TOTL.ZG,6.27689319447544,%
Belize,BZ,2023,FP.CPI.TOTL.ZG,4.38984017487675,%
Belize,BZ,2024,FP.CPI.TOTL.ZG,3.28955985952768,%
