country,iso2c,year,indicator,value,unit
Belize,BZ,1960,IT.NET.USER.ZS,,%
Belize,BZ,1961,IT.NET.USER.ZS,,%
Belize,BZ,1962,IT.NET.USER.ZS,,%
Belize,BZ,1963,IT.NET.USER.ZS,,%
Belize,BZ,1964,IT.NET.USER.ZS,,%
Belize,BZ,1965,IT.NET.USER.ZS,,%
Belize,BZ,1966,IT.NET.USER.ZS,,%
Belize,BZ,1967,IT.NET.USER.ZS,,%
Belize,BZ,1968,IT.NET.USER.ZS,,%
Belize,BZ,1969,IT.NET.USER.ZS,,%
Belize,BZ,1970,IT.NET.USER.ZS,,%
Belize,BZ,1971,IT.NET.USER.ZS,,%
Belize,BZ,1972,IT.NET.USER.ZS,,%
Belize,BZ,1973,IT.NET.USER.ZS,,%
Belize,BZ,1974,IT.NET.USER.ZS,,%
Belize,BZ,1975,IT.NET.USER.ZS,,%
Belize,BZ,1976,IT.NET.USER.ZS,,%
Belize,BZ,1977,IT.NET.USER.ZS,,%
Belize,BZ,1978,IT.NET.USER.ZS,,%
Belize,BZ,1979,IT.NET.USER.ZS,,%
Belize,BZ,1980,IT.NET.USER.ZS,,%
Belize,BZ,1981,IT.NET.USER.ZS,,%
Belize,BZ,1982,IT.NET.USER.ZS,,%
Belize,BZ,1983,IT.NET.USER.ZS,,%
Belize,BZ,1984,IT.NET.USER.ZS,,%
Belize,BZ,1985,IT.NET.USER.ZS,,%
Belize,BZ,1986,IT.NET.USER.ZS,,%
Belize,BZ,1987,IT.NET.USER.ZS,,%
Belize,BZ,1988,IT.NET.USER.ZS,,%
Belize,BZ,1989,IT.NET.USER.ZS,,%
Belize,BZ,1990,IT.NET.USER.ZS,0.0,%
Belize,BZ,1991,IT.NET.USER.ZS,,%
Belize,BZ,1992,IT.NET.USER.ZS,,%
Belize,BZ,1993,IT.NET.USER.ZS,,%
Belize,BZ,1994,IT.NET.USER.ZS,,%
Belize,BZ,1995,IT.NET.USER.ZS,0.0454,%
Belize,BZ,1996,IT.NET.USER.ZS,0.883,%
Belize,BZ,1997,IT.NET.USER.ZS,1.29,%
Belize,BZ,1998,IT.NET.USER.ZS,2.09,%
Belize,BZ,1999,IT.NET.USER.ZS,4.08,%
Belize,BZ,2000,IT.NET.USER.ZS,5.96,%
Belize,BZ,2001,IT.NET.USER.ZS,,%
Belize,BZ,2002,IT.NET.USER.ZS,5.68,%
Belize,BZ,2003,IT.NET.USER.ZS,,%
Belize,BZ,2004,IT.NET.USER.ZS,9.8,%
Belize,BZ,2005,IT.NET.USER.ZS,17.0,%
Belize,BZ,2006,IT.NET.USER.ZS,24.0,%
Belize,BZ,2007,IT.NET.USER.ZS,24.6,%
Belize,BZ,2008,IT.NET.USER.ZS,26.3,%
Belize,BZ,2009,IT.NET.USER.ZS,27.2,%
Belize,BZ,2010,IT.NET.USER.ZS,28.2,%
Belize,BZ,2011,IT.NET.USER.ZS,30.7,%
Belize,BZ,2012,IT.NET.USER.ZS,31.0,%
Belize,BZ,2013,IT.NET.USER.ZS,33.6,%
Belize,BZ,2014,IT.NET.USER.ZS,38.7,%
Belize,BZ,2015,IT.NET.USER.ZS,41.6,%
Belize,BZ,2016,IT.NET.USER.ZS,44.6,%
Belize,BZ,2017,IT.NET.USER.ZS,48.9,%
Belize,BZ,2018,IT.NET.USER.ZS,53.6,%
Belize,BZ,2019,IT.NET.USER.ZS,58.8,%
Belize,BZ,2020,IT.NET.USER.ZS,64.4,%
Belize,BZ,2021,IT.NET.USER.ZS,70.7,%
Belize,BZ,2022,IT.NET.USER.ZS,71.8,%
Belize,BZ,2023,IT.NET.USER.ZS,72.4,%
Belize,BZ,2024,IT.NET.USER.ZS,,%
