country,iso2c,year,indicator,value,unit
Belize,BZ,1960,NE.EXP.GNFS.ZS,,%
Belize,BZ,1961,NE.EXP.GNFS.ZS,,%
Belize,BZ,1962,NE.EXP.GNFS.ZS,,%
Belize,BZ,1963,NE.EXP.GNFS.ZS,,%
Belize,BZ,1964,NE.EXP.GNFS.ZS,,%
Belize,BZ,1965,NE.EXP.GNFS.ZS,,%
Belize,BZ,1966,NE.EXP.GNFS.ZS,,%
Belize,BZ,1967,NE.EXP.GNFS.ZS,,%
Belize,BZ,1968,NE.EXP.GNFS.ZS,,%
Belize,BZ,1969,NE.EXP.GNFS.ZS,,%
Belize,BZ,1970,NE.EXP.GNFS.ZS,,%
Belize,BZ,1971,NE.EXP.GNFS.ZS,,%
Belize,BZ,1972,NE.EXP.GNFS.ZS,,%
Belize,BZ,1973,NE.EXP.GNFS.ZS,,%
Belize,BZ,1974,NE.EXP.GNFS.ZS,,%
Belize,BZ,1975,NE.EXP.GNFS.ZS,,%
Belize,BZ,1976,NE.EXP.GNFS.ZS,,%
Belize,BZ,1977,NE.EXP.GNFS.ZS,,%
Belize,BZ,1978,NE.EXP.GNFS.ZS,,%
Belize,BZ,1979,NE.EXP.GNFS.ZS,,%
Belize,BZ,1980,NE.EXP.GNFS.ZS,34.5663080808081,%
Belize,BZ,1981,NE.EXP.GNFS.ZS,32.5877441994247,%
Belize,BZ,1982,NE.EXP.GNFS.ZS,28.5447388855361,%
Belize,BZ,1983,NE.EXP.GNFS.ZS,29.1880745756246,%
Belize,BZ,1984,NE.EXP.GNFS.ZS,37.4201336318237,%
Belize,BZ,1985,NE.EXP.GNFS.ZS,29.116805081796,%
Belize,BZ,1986,NE.EXP.GNFS.ZS,33.5022414125201,%
Belize,BZ,1987,NE.EXP.GNFS.ZS,37.169499056858,%
Belize,BZ,1988,NE.EXP.GNFS.ZS,38.219620832839,%
Belize,BZ,1989,NE.EXP.GNFS.ZS,35.2097331500713,%
Belize,BZ,1990,NE.EXP.GNFS.ZS,40.84803070456,%
Belize,BZ,1991,NE.EXP.GNFS.ZS,35.9236308825992,%
Belize,BZ,1992,NE.EXP.GNFS.ZS,41.0053859964093,%
Belize,BZ,1993,NE.EXP.GNFS.ZS,38.453875273959,%
Belize,BZ,1994,NE.EXP.GNFS.ZS,41.4994173248738,%
Belize,BZ,1995,NE.EXP.GNFS.ZS,40.1684878823027,%
Belize,BZ,1996,NE.EXP.GNFS.ZS,41.7229828994535,%
Belize,BZ,1997,NE.EXP.GNFS.ZS,43.7943668422258,%
Belize,BZ,1998,NE.EXP.GNFS.ZS,43.1414739107047,%
Belize,BZ,1999,NE.EXP.GNFS.ZS,44.0389902524369,%
Belize,BZ,2000,NE.EXP.GNFS.ZS,42.8483624550004,%
Belize,BZ,2001,NE.EXP.GNFS.ZS,41.8656207366985,%
Belize,BZ,2002,NE.EXP.GNFS.ZS,43.5865504358655,%
Belize,BZ,2003,NE.EXP.GNFS.ZS,44.5412178164871,%
Belize,BZ,2004,NE.EXP.GNFS.ZS,42.260056394332,%
Belize,BZ,2005,NE.EXP.GNFS.ZS,45.696464286925,%
Belize,BZ,2006,NE.EXP.GNFS.ZS,51.7864437670867,%
Belize,BZ,2007,NE.EXP.GNFS.ZS,50.5535703825201,%
Belize,BZ,2008,NE.EXP.GNFS.ZS,53.8271320950026,%
Belize,BZ,2009,NE.EXP.GNFS.ZS,45.4249333728161,%
Belize,BZ,2010,NE.EXP.GNFS.ZS,50.7246376811594,%
Belize,BZ,2011,NE.EXP.GNFS.ZS,56.867628143729,%
Belize,BZ,2012,NE.EXP.GNFS.ZS,59.5736880695506,%
Belize,BZ,2013,NE.EXP.GNFS.ZS,56.0816627721068,%
Belize,BZ,2014,NE.EXP.GNFS.ZS,55.4893019992985,%
Belize,BZ,2015,NE.EXP.GNFS.ZS,51.5720115820433,%
Belize,BZ,2016,NE.EXP.GNFS.ZS,47.2948843853227,%
Belize,BZ,2017,NE.EXP.GNFS.ZS,49.7948197502537,%
Belize,BZ,2018,NE.EXP.GNFS.ZS,51.5643737054399,%
Belize,BZ,2019,NE.EXP.GNFS.ZS,51.8569693924549,%
Belize,BZ,2020,NE.EXP.GNFS.ZS,37.7169150941087,%
Belize,BZ,2021,NE.EXP.GNFS.ZS,47.7370845469005,%
Belize,BZ,2022,NE.EXP.GNFS.ZS,53.2722099272842,%
Belize,BZ,2023,NE.EXP.GNFS.ZS,55.292084712327,%
Belize,BZ,2024,NE.EXP.GNFS.ZS,,%
