country,iso2c,year,indicator,value,unit
Belize,BZ,1960,NV.AGR.TOTL.ZS,,%
Belize,BZ,1961,NV.AGR.TOTL.ZS,,%
Belize,BZ,1962,NV.AGR.TOTL.ZS,,%
Belize,BZ,1963,NV.AGR.TOTL.ZS,,%
Belize,BZ,1964,NV.AGR.TOTL.ZS,,%
Belize,BZ,1965,NV.AGR.TOTL.ZS,,%
Belize,BZ,1966,NV.AGR.TOTL.ZS,,%
Belize,BZ,1967,NV.AGR.TOTL.ZS,,%
Belize,BZ,1968,NV.AGR.TOTL.ZS,,%
Belize,BZ,1969,NV.AGR.TOTL.ZS,,%
Belize,BZ,1970,NV.AGR.TOTL.ZS,,%
Belize,BZ,1971,NV.AGR.TOTL.ZS,,%
Belize,BZ,1972,NV.AGR.TOTL.ZS,,%
Belize,BZ,1973,NV.AGR.TOTL.ZS,,%
Belize,BZ,1974,NV.AGR.TOTL.ZS,,%
Belize,BZ,1975,NV.AGR.TOTL.ZS,,%
Belize,BZ,1976,NV.AGR.TOTL.ZS,,%
Belize,BZ,1977,NV.AGR.TOTL.ZS,,%
Belize,BZ,1978,NV.AGR.TOTL.ZS,28.980190755686,%
Belize,BZ,1979,NV.AGR.TOTL.ZS,28.0632411067194,%
Belize,BZ,1980,NV.AGR.TOTL.ZS,18.026418026418,%
Belize,BZ,1981,NV.AGR.TOTL.ZS,17.0469798657718,%
Belize,BZ,1982,NV.AGR.TOTL.ZS,14.2426071213036,%
Belize,BZ,1983,NV.AGR.TOTL.ZS,13.7898149914171,%
Belize,BZ,1984,NV.AGR.TOTL.ZS,13.3459617702773,%
Belize,BZ,1985,NV.AGR.TOTL.ZS,13.0351548903585,%
Belize,BZ,1986,NV.AGR.TOTL.ZS,13.2905296950241,%
Belize,BZ,1987,NV.AGR.TOTL.ZS,14.6995419024522,%
Belize,BZ,1988,NV.AGR.TOTL.ZS,14.0348795823941,%
Belize,BZ,1989,NV.AGR.TOTL.ZS,13.3272245978416,%
Belize,BZ,1990,NV.AGR.TOTL.ZS,13.3784154253861,%
Belize,BZ,1991,NV.AGR.TOTL.ZS,12.2341316362418,%
Belize,BZ,1992,NV.AGR.TOTL.ZS,11.834829443447,%
Belize,BZ,1993,NV.AGR.TOTL.ZS,11.1841668327024,%
Belize,BZ,1994,NV.AGR.TOTL.ZS,11.4010099702188,%
Belize,BZ,1995,NV.AGR.TOTL.ZS,11.9772907636896,%
Belize,BZ,1996,NV.AGR.TOTL.ZS,11.8117176940706,%
Belize,BZ,1997,NV.AGR.TOTL.ZS,11.3235630867873,%
Belize,BZ,1998,NV.AGR.TOTL.ZS,10.6347498655191,%
Belize,BZ,1999,NV.AGR.TOTL.ZS,11.0572356910772,%
Belize,BZ,2000,NV.AGR.TOTL.ZS,10.6374571955396,%
Belize,BZ,2001,NV.AGR.TOTL.ZS,9.50289904502046,%
Belize,BZ,2002,NV.AGR.TOTL.ZS,9.17527015626883,%
Belize,BZ,2003,NV.AGR.TOTL.ZS,10.4553441821377,%
Belize,BZ,2004,NV.AGR.TOTL.ZS,10.3401506228361,%
Belize,BZ,2005,NV.AGR.TOTL.ZS,9.73592325163565,%
Belize,BZ,2006,NV.AGR.TOTL.ZS,9.51513056594287,%
Belize,BZ,2007,NV.AGR.TOTL.ZS,8.68724737859528,%
Belize,BZ,2008,NV.AGR.TOTL.ZS,8.33285410316867,%
Belize,BZ,2009,NV.AGR.TOTL.ZS,8.5430855789162,%
Belize,BZ,2010,NV.AGR.TOTL.ZS,8.76439250730366,%
Belize,BZ,2011,NV.AGR.TOTL.ZS,8.88590897895515,%
Belize,BZ,2012,NV.AGR.TOTL.ZS,10.4168848853043,%
Belize,BZ,2013,NV.AGR.TOTL.ZS,10.0922395769278,%
Belize,BZ,2014,NV.AGR.TOTL.ZS,10.1788846018941,%
Belize,BZ,2015,NV.AGR.TOTL.ZS,9.61446387451266,%
Belize,BZ,2016,NV.AGR.TOTL.ZS,7.7024372823855,%
Belize,BZ,2017,NV.AGR.TOTL.ZS,8.56020826898469,%
Belize,BZ,2018,NV.AGR.TOTL.ZS,7.1427014063011,%
Belize,BZ,2019,NV.AGR.TOTL.ZS,6.53602981200017,%
Belize,BZ,2020,NV.AGR.TOTL.ZS,8.37555376067748,%
Belize,BZ,2021,NV.AGR.TOTL.ZS,7.92175332052633,%
Belize,BZ,2022,NV.AGR.TOTL.ZS,7.74932377841009,%
Belize,BZ,2023,NV.AGR.TOTL.ZS,8.1011461271337,%
Belize,BZ,2024,NV.AGR.TOTL.ZS,,%
