country,iso2c,year,indicator,value,unit
Belize,BZ,1960,NV.IND.TOTL.ZS,,%
Belize,BZ,1961,NV.IND.TOTL.ZS,,%
Belize,BZ,1962,NV.IND.TOTL.ZS,,%
Belize,BZ,1963,NV.IND.TOTL.ZS,,%
Belize,BZ,1964,NV.IND.TOTL.ZS,,%
Belize,BZ,1965,NV.IND.TOTL.ZS,,%
Belize,BZ,1966,NV.IND.TOTL.ZS,,%
Belize,BZ,1967,NV.IND.TOTL.ZS,,%
Belize,BZ,1968,NV.IND.TOTL.ZS,,%
Belize,BZ,1969,NV.IND.TOTL.ZS,,%
Belize,BZ,1970,NV.IND.TOTL.ZS,,%
Belize,BZ,1971,NV.IND.TOTL.ZS,,%
Belize,BZ,1972,NV.IND.TOTL.ZS,,%
Belize,BZ,1973,NV.IND.TOTL.ZS,,%
Belize,BZ,1974,NV.IND.TOTL.ZS,,%
Belize,BZ,1975,NV.IND.TOTL.ZS,,%
Belize,BZ,1976,NV.IND.TOTL.ZS,,%
Belize,BZ,1977,NV.IND.TOTL.ZS,,%
Belize,BZ,1978,NV.IND.TOTL.ZS,22.7806309611152,%
Belize,BZ,1979,NV.IND.TOTL.ZS,19.9934123847167,%
Belize,BZ,1980,NV.IND.TOTL.ZS,26.7676767676768,%
Belize,BZ,1981,NV.IND.TOTL.ZS,23.8542665388303,%
Belize,BZ,1982,NV.IND.TOTL.ZS,20.7402937034802,%
Belize,BZ,1983,NV.IND.TOTL.ZS,20.5988937631127,%
Belize,BZ,1984,NV.IND.TOTL.ZS,22.9722748407095,%
Belize,BZ,1985,NV.IND.TOTL.ZS,21.4932126696833,%
Belize,BZ,1986,NV.IND.TOTL.ZS,20.9791332263242,%
Belize,BZ,1987,NV.IND.TOTL.ZS,23.9019132309351,%
Belize,BZ,1988,NV.IND.TOTL.ZS,24.3089334440622,%
Belize,BZ,1989,NV.IND.TOTL.ZS,24.1804113215231,%
Belize,BZ,1990,NV.IND.TOTL.ZS,23.5218861372567,%
Belize,BZ,1991,NV.IND.TOTL.ZS,23.5890135655669,%
Belize,BZ,1992,NV.IND.TOTL.ZS,23.1166965888689,%
Belize,BZ,1993,NV.IND.TOTL.ZS,23.6567709371057,%
Belize,BZ,1994,NV.IND.TOTL.ZS,21.3518062928914,%
Belize,BZ,1995,NV.IND.TOTL.ZS,21.3662169586716,%
Belize,BZ,1996,NV.IND.TOTL.ZS,21.5549156725627,%
Belize,BZ,1997,NV.IND.TOTL.ZS,20.5747652850927,%
Belize,BZ,1998,NV.IND.TOTL.ZS,20.6347498655191,%
Belize,BZ,1999,NV.IND.TOTL.ZS,20.2199450137466,%
Belize,BZ,2000,NV.IND.TOTL.ZS,22.7983141627887,%
Belize,BZ,2001,NV.IND.TOTL.ZS,20.9669167803547,%
Belize,BZ,2002,NV.IND.TOTL.ZS,19.9654521351384,%
Belize,BZ,2003,NV.IND.TOTL.ZS,17.3848269539308,%
Belize,BZ,2004,NV.IND.TOTL.ZS,17.5714744619338,%
Belize,BZ,2005,NV.IND.TOTL.ZS,17.1463439438625,%
Belize,BZ,2006,NV.IND.TOTL.ZS,19.0554001822581,%
Belize,BZ,2007,NV.IND.TOTL.ZS,20.200925546248,%
Belize,BZ,2008,NV.IND.TOTL.ZS,20.2685605842774,%
Belize,BZ,2009,NV.IND.TOTL.ZS,19.4077583654131,%
Belize,BZ,2010,NV.IND.TOTL.ZS,18.0615225983846,%
Belize,BZ,2011,NV.IND.TOTL.ZS,18.6721764593197,%
Belize,BZ,2012,NV.IND.TOTL.ZS,15.7693516287839,%
Belize,BZ,2013,NV.IND.TOTL.ZS,15.7053252982413,%
Belize,BZ,2014,NV.IND.TOTL.ZS,15.8400561206594,%
Belize,BZ,2015,NV.IND.TOTL.ZS,14.5436720549007,%
Belize,BZ,2016,NV.IND.TOTL.ZS,15.4606731541827,%
Belize,BZ,2017,NV.IND.TOTL.ZS,14.0934562944006,%
Belize,BZ,2018,NV.IND.TOTL.ZS,13.6640139539954,%
Belize,BZ,2019,NV.IND.TOTL.ZS,14.0518360339991,%
Belize,BZ,2020,NV.IND.TOTL.ZS,16.3301270284162,%
Belize,BZ,2021,NV.IND.TOTL.ZS,17.02505628886,%
Belize,BZ,2022,NV.IND.TOTL.ZS,15.430147187972,%
Belize,BZ,2023,NV.IND.TOTL.ZS,14.2670818592367,%
Belize,BZ,2024,NV.IND.TOTL.ZS,,%
