country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SE.PRM.CMPT.ZS,,%
Belize,BZ,1961,SE.PRM.CMPT.ZS,,%
Belize,BZ,1962,SE.PRM.CMPT.ZS,,%
Belize,BZ,1963,SE.PRM.CMPT.ZS,,%
Belize,BZ,1964,SE.PRM.CMPT.ZS,,%
Belize,BZ,1965,SE.PRM.CMPT.ZS,,%
Belize,BZ,1966,SE.PRM.CMPT.ZS,,%
Belize,BZ,1967,SE.PRM.CMPT.ZS,,%
Belize,BZ,1968,SE.PRM.CMPT.ZS,,%
Belize,BZ,1969,SE.PRM.CMPT.ZS,,%
Belize,BZ,1970,SE.PRM.CMPT.ZS,,%
Belize,BZ,1971,SE.PRM.CMPT.ZS,,%
Belize,BZ,1972,SE.PRM.CMPT.ZS,,%
Belize,BZ,1973,SE.PRM.CMPT.ZS,,%
Belize,BZ,1974,SE.PRM.CMPT.ZS,,%
Belize,BZ,1975,SE.PRM.CMPT.ZS,,%
Belize,BZ,1976,SE.PRM.CMPT.ZS,,%
Belize,BZ,1977,SE.PRM.CMPT.ZS,,%
Belize,BZ,1978,SE.PRM.CMPT.ZS,,%
Belize,BZ,1979,SE.PRM.CMPT.ZS,,%
Belize,BZ,1980,SE.PRM.CMPT.ZS,,%
Belize,BZ,1981,SE.PRM.CMPT.ZS,,%
Belize,BZ,1982,SE.PRM.CMPT.ZS,,%
Belize,BZ,1983,SE.PRM.CMPT.ZS,,%
Belize,BZ,1984,SE.PRM.CMPT.ZS,,%
Belize,BZ,1985,SE.PRM.CMPT.ZS,,%
Belize,BZ,1986,SE.PRM.CMPT.ZS,,%
Belize,BZ,1987,SE.PRM.CMPT.ZS,,%
Belize,BZ,1988,SE.PRM.CMPT.ZS,,%
Belize,BZ,1989,SE.PRM.CMPT.ZS,,%
Belize,BZ,1990,SE.PRM.CMPT.ZS,,%
Belize,BZ,1991,SE.PRM.CMPT.ZS,,%
Belize,BZ,1992,SE.PRM.CMPT.ZS,93.7235336303711,%
Belize,BZ,1993,SE.PRM.CMPT.ZS,,%
Belize,BZ,1994,SE.PRM.CMPT.ZS,,%
Belize,BZ,1995,SE.PRM.CMPT.ZS,92.3988265991211,%
Belize,BZ,1996,SE.PRM.CMPT.ZS,98.5080032348633,%
Belize,BZ,1997,SE.PRM.CMPT.ZS,,%
Belize,BZ,1998,SE.PRM.CMPT.ZS,,%
Belize,BZ,1999,SE.PRM.CMPT.ZS,96.9707183837891,%
Belize,BZ,2000,SE.PRM.CMPT.ZS,98.5516815185547,%
Belize,BZ,2001,SE.PRM.CMPT.ZS,100.705017089844,%
Belize,BZ,2002,SE.PRM.CMPT.ZS,,%
Belize,BZ,2003,SE.PRM.CMPT.ZS,98.6554565429688,%
Belize,BZ,2004,SE.PRM.CMPT.ZS,100.15055847168,%
Belize,BZ,2005,SE.PRM.CMPT.ZS,102.624122619629,%
Belize,BZ,2006,SE.PRM.CMPT.ZS,101.507026672363,%
Belize,BZ,2007,SE.PRM.CMPT.ZS,103.508522033691,%
Belize,BZ,2008,SE.PRM.CMPT.ZS,97.8954620361328,%
Belize,BZ,2009,SE.PRM.CMPT.ZS,100.757583618164,%
Belize,BZ,2010,SE.PRM.CMPT.ZS,99.7808380126953,%
Belize,BZ,2011,SE.PRM.CMPT.ZS,102.770683288574,%
Belize,BZ,2012,SE.PRM.CMPT.ZS,107.713851928711,%
Belize,BZ,2013,SE.PRM.CMPT.ZS,102.872528076172,%
Belize,BZ,2014,SE.PRM.CMPT.ZS,103.914001464844,%
Belize,BZ,2015,SE.PRM.CMPT.ZS,105.614219665527,%
Belize,BZ,2016,SE.PRM.CMPT.ZS,105.759300231934,%
Belize,BZ,2017,SE.PRM.CMPT.ZS,102.703048706055,%
Belize,BZ,2018,SE.PRM.CMPT.ZS,104.474479675293,%
Belize,BZ,2019,SE.PRM.CMPT.ZS,102.765281677246,%
Belize,BZ,2020,SE.PRM.CMPT.ZS,105.195671081543,%
Belize,BZ,2021,SE.PRM.CMPT.ZS,112.92658996582,%
Belize,BZ,2022,SE.PRM.CMPT.ZS,105.755889892578,%
Belize,BZ,2023,SE.PRM.CMPT.ZS,94.3330688476562,%
Belize,BZ,2024,SE.PRM.CMPT.ZS,,%
