country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SH.MED.BEDS.ZS,4.66776514053345,per 1k
Belize,BZ,1961,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1962,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1963,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1964,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1965,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1966,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1967,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1968,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1969,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1970,SH.MED.BEDS.ZS,5.40140008926392,per 1k
Belize,BZ,1971,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1972,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1973,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1974,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1975,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1976,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1977,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1978,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1979,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1980,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1981,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1982,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1983,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1984,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1985,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1986,SH.MED.BEDS.ZS,3.31680011749268,per 1k
Belize,BZ,1987,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1988,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1989,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1990,SH.MED.BEDS.ZS,2.7000000477,per 1k
Belize,BZ,1991,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1992,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1993,SH.MED.BEDS.ZS,2.7999999523,per 1k
Belize,BZ,1994,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1995,SH.MED.BEDS.ZS,2.5,per 1k
Belize,BZ,1996,SH.MED.BEDS.ZS,2.1300001144,per 1k
Belize,BZ,1997,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1998,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,1999,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,2000,SH.MED.BEDS.ZS,1.9,per 1k
Belize,BZ,2001,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,2002,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,2003,SH.MED.BEDS.ZS,1.2999999523,per 1k
Belize,BZ,2004,SH.MED.BEDS.ZS,1.3,per 1k
Belize,BZ,2005,SH.MED.BEDS.ZS,1.2,per 1k
Belize,BZ,2006,SH.MED.BEDS.ZS,1.3,per 1k
Belize,BZ,2007,SH.MED.BEDS.ZS,1.2,per 1k
Belize,BZ,2008,SH.MED.BEDS.ZS,1.14,per 1k
Belize,BZ,2009,SH.MED.BEDS.ZS,1.11,per 1k
Belize,BZ,2010,SH.MED.BEDS.ZS,1.12,per 1k
Belize,BZ,2011,SH.MED.BEDS.ZS,1.09,per 1k
Belize,BZ,2012,SH.MED.BEDS.ZS,1.08,per 1k
Belize,BZ,2013,SH.MED.BEDS.ZS,1.08,per 1k
Belize,BZ,2014,SH.MED.BEDS.ZS,1.03,per 1k
Belize,BZ,2015,SH.MED.BEDS.ZS,0.96,per 1k
Belize,BZ,2016,SH.MED.BEDS.ZS,0.94,per 1k
Belize,BZ,2017,SH.MED.BEDS.ZS,1.04,per 1k
Belize,BZ,2018,SH.MED.BEDS.ZS,1.03,per 1k
Belize,BZ,2019,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,2020,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,2021,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,2022,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,2023,SH.MED.BEDS.ZS,,per 1k
Belize,BZ,2024,SH.MED.BEDS.ZS,,per 1k
