country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1961,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1962,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1963,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1964,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1965,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1966,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1967,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1968,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1969,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1970,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1971,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1972,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1973,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1974,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1975,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1976,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1977,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1978,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1979,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1980,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1981,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1982,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1983,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1984,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1985,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1986,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1987,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1988,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1989,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1990,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1991,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1992,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1993,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1994,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1995,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1996,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1997,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1998,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,1999,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,2000,SH.XPD.CHEX.PC.CD,138.99145508,US$
Belize,BZ,2001,SH.XPD.CHEX.PC.CD,163.102005,US$
Belize,BZ,2002,SH.XPD.CHEX.PC.CD,172.80645752,US$
Belize,BZ,2003,SH.XPD.CHEX.PC.CD,175.12486267,US$
Belize,BZ,2004,SH.XPD.CHEX.PC.CD,176.25566101,US$
Belize,BZ,2005,SH.XPD.CHEX.PC.CD,181.23458862,US$
Belize,BZ,2006,SH.XPD.CHEX.PC.CD,196.11968994,US$
Belize,BZ,2007,SH.XPD.CHEX.PC.CD,233.6493988,US$
Belize,BZ,2008,SH.XPD.CHEX.PC.CD,257.8269043,US$
Belize,BZ,2009,SH.XPD.CHEX.PC.CD,243.30648804,US$
Belize,BZ,2010,SH.XPD.CHEX.PC.CD,244.02867126,US$
Belize,BZ,2011,SH.XPD.CHEX.PC.CD,252.73461914,US$
Belize,BZ,2012,SH.XPD.CHEX.PC.CD,247.82728577,US$
Belize,BZ,2013,SH.XPD.CHEX.PC.CD,262.88650513,US$
Belize,BZ,2014,SH.XPD.CHEX.PC.CD,298.22598267,US$
Belize,BZ,2015,SH.XPD.CHEX.PC.CD,287.53118896,US$
Belize,BZ,2016,SH.XPD.CHEX.PC.CD,293.82302856,US$
Belize,BZ,2017,SH.XPD.CHEX.PC.CD,281.39849854,US$
Belize,BZ,2018,SH.XPD.CHEX.PC.CD,287.49368286,US$
Belize,BZ,2019,SH.XPD.CHEX.PC.CD,299.69824219,US$
Belize,BZ,2020,SH.XPD.CHEX.PC.CD,280.52630615,US$
Belize,BZ,2021,SH.XPD.CHEX.PC.CD,310.2124939,US$
Belize,BZ,2022,SH.XPD.CHEX.PC.CD,297.4163208,US$
Belize,BZ,2023,SH.XPD.CHEX.PC.CD,,US$
Belize,BZ,2024,SH.XPD.CHEX.PC.CD,,US$
