country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1961,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1962,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1963,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1964,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1965,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1966,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1967,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1968,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1969,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1970,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1971,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1972,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1973,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1974,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1975,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1976,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1977,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1978,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1979,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1980,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1981,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1982,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1983,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1984,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1985,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1986,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1987,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1988,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1989,SL.TLF.CACT.FE.ZS,,%
Belize,BZ,1990,SL.TLF.CACT.FE.ZS,32.253,%
Belize,BZ,1991,SL.TLF.CACT.FE.ZS,33.053,%
Belize,BZ,1992,SL.TLF.CACT.FE.ZS,33.95,%
Belize,BZ,1993,SL.TLF.CACT.FE.ZS,34.361,%
Belize,BZ,1994,SL.TLF.CACT.FE.ZS,34.28,%
Belize,BZ,1995,SL.TLF.CACT.FE.ZS,35.616,%
Belize,BZ,1996,SL.TLF.CACT.FE.ZS,36.967,%
Belize,BZ,1997,SL.TLF.CACT.FE.ZS,38.34,%
Belize,BZ,1998,SL.TLF.CACT.FE.ZS,39.252,%
Belize,BZ,1999,SL.TLF.CACT.FE.ZS,39.297,%
Belize,BZ,2000,SL.TLF.CACT.FE.ZS,39.808,%
Belize,BZ,2001,SL.TLF.CACT.FE.ZS,40.317,%
Belize,BZ,2002,SL.TLF.CACT.FE.ZS,40.829,%
Belize,BZ,2003,SL.TLF.CACT.FE.ZS,41.346,%
Belize,BZ,2004,SL.TLF.CACT.FE.ZS,41.864,%
Belize,BZ,2005,SL.TLF.CACT.FE.ZS,42.385,%
Belize,BZ,2006,SL.TLF.CACT.FE.ZS,42.908,%
Belize,BZ,2007,SL.TLF.CACT.FE.ZS,43.433,%
Belize,BZ,2008,SL.TLF.CACT.FE.ZS,43.959,%
Belize,BZ,2009,SL.TLF.CACT.FE.ZS,44.486,%
Belize,BZ,2010,SL.TLF.CACT.FE.ZS,44.998,%
Belize,BZ,2011,SL.TLF.CACT.FE.ZS,45.496,%
Belize,BZ,2012,SL.TLF.CACT.FE.ZS,45.998,%
Belize,BZ,2013,SL.TLF.CACT.FE.ZS,46.501,%
Belize,BZ,2014,SL.TLF.CACT.FE.ZS,47.392,%
Belize,BZ,2015,SL.TLF.CACT.FE.ZS,48.253,%
Belize,BZ,2016,SL.TLF.CACT.FE.ZS,49.101,%
Belize,BZ,2017,SL.TLF.CACT.FE.ZS,48.678,%
Belize,BZ,2018,SL.TLF.CACT.FE.ZS,52.925,%
Belize,BZ,2019,SL.TLF.CACT.FE.ZS,57.097,%
Belize,BZ,2020,SL.TLF.CACT.FE.ZS,51.374,%
Belize,BZ,2021,SL.TLF.CACT.FE.ZS,48.357,%
Belize,BZ,2022,SL.TLF.CACT.FE.ZS,48.772,%
Belize,BZ,2023,SL.TLF.CACT.FE.ZS,49.182,%
Belize,BZ,2024,SL.TLF.CACT.FE.ZS,49.21,%
