country,iso2c,year,indicator,value,unit
Belize,BZ,1960,ST.INT.RCPT.CD,,US$
Belize,BZ,1961,ST.INT.RCPT.CD,,US$
Belize,BZ,1962,ST.INT.RCPT.CD,,US$
Belize,BZ,1963,ST.INT.RCPT.CD,,US$
Belize,BZ,1964,ST.INT.RCPT.CD,,US$
Belize,BZ,1965,ST.INT.RCPT.CD,,US$
Belize,BZ,1966,ST.INT.RCPT.CD,,US$
Belize,BZ,1967,ST.INT.RCPT.CD,,US$
Belize,BZ,1968,ST.INT.RCPT.CD,,US$
Belize,BZ,1969,ST.INT.RCPT.CD,,US$
Belize,BZ,1970,ST.INT.RCPT.CD,,US$
Belize,BZ,1971,ST.INT.RCPT.CD,,US$
Belize,BZ,1972,ST.INT.RCPT.CD,,US$
Belize,BZ,1973,ST.INT.RCPT.CD,,US$
Belize,BZ,1974,ST.INT.RCPT.CD,,US$
Belize,BZ,1975,ST.INT.RCPT.CD,,US$
Belize,BZ,1976,ST.INT.RCPT.CD,,US$
Belize,BZ,1977,ST.INT.RCPT.CD,,US$
Belize,BZ,1978,ST.INT.RCPT.CD,,US$
Belize,BZ,1979,ST.INT.RCPT.CD,,US$
Belize,BZ,1980,ST.INT.RCPT.CD,,US$
Belize,BZ,1981,ST.INT.RCPT.CD,,US$
Belize,BZ,1982,ST.INT.RCPT.CD,,US$
Belize,BZ,1983,ST.INT.RCPT.CD,,US$
Belize,BZ,1984,ST.INT.RCPT.CD,,US$
Belize,BZ,1985,ST.INT.RCPT.CD,,US$
Belize,BZ,1986,ST.INT.RCPT.CD,,US$
Belize,BZ,1987,ST.INT.RCPT.CD,,US$
Belize,BZ,1988,ST.INT.RCPT.CD,,US$
Belize,BZ,1989,ST.INT.RCPT.CD,,US$
Belize,BZ,1990,ST.INT.RCPT.CD,,US$
Belize,BZ,1991,ST.INT.RCPT.CD,,US$
Belize,BZ,1992,ST.INT.RCPT.CD,,US$
Belize,BZ,1993,ST.INT.RCPT.CD,,US$
Belize,BZ,1994,ST.INT.RCPT.CD,,US$
Belize,BZ,1995,ST.INT.RCPT.CD,,US$
Belize,BZ,1996,ST.INT.RCPT.CD,95000000.0,US$
Belize,BZ,1997,ST.INT.RCPT.CD,97000000.0,US$
Belize,BZ,1998,ST.INT.RCPT.CD,101000000.0,US$
Belize,BZ,1999,ST.INT.RCPT.CD,,US$
Belize,BZ,2000,ST.INT.RCPT.CD,,US$
Belize,BZ,2001,ST.INT.RCPT.CD,,US$
Belize,BZ,2002,ST.INT.RCPT.CD,,US$
Belize,BZ,2003,ST.INT.RCPT.CD,,US$
Belize,BZ,2004,ST.INT.RCPT.CD,,US$
Belize,BZ,2005,ST.INT.RCPT.CD,,US$
Belize,BZ,2006,ST.INT.RCPT.CD,,US$
Belize,BZ,2007,ST.INT.RCPT.CD,,US$
Belize,BZ,2008,ST.INT.RCPT.CD,,US$
Belize,BZ,2009,ST.INT.RCPT.CD,,US$
Belize,BZ,2010,ST.INT.RCPT.CD,,US$
Belize,BZ,2011,ST.INT.RCPT.CD,,US$
Belize,BZ,2012,ST.INT.RCPT.CD,,US$
Belize,BZ,2013,ST.INT.RCPT.CD,,US$
Belize,BZ,2014,ST.INT.RCPT.CD,,US$
Belize,BZ,2015,ST.INT.RCPT.CD,,US$
Belize,BZ,2016,ST.INT.RCPT.CD,,US$
Belize,BZ,2017,ST.INT.RCPT.CD,,US$
Belize,BZ,2018,ST.INT.RCPT.CD,,US$
Belize,BZ,2019,ST.INT.RCPT.CD,,US$
Belize,BZ,2020,ST.INT.RCPT.CD,,US$
Belize,BZ,2021,ST.INT.RCPT.CD,,US$
Belize,BZ,2022,ST.INT.RCPT.CD,,US$
Belize,BZ,2023,ST.INT.RCPT.CD,,US$
Belize,BZ,2024,ST.INT.RCPT.CD,,US$
