area_code,area,item_code,item,element,year,unit,value,_source,_domain
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2010,kcal/cap/d,99.66,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2011,kcal/cap/d,97.35,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2012,kcal/cap/d,100.26,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2013,kcal/cap/d,98.08,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2014,kcal/cap/d,117.98,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2015,kcal/cap/d,104.01,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2016,kcal/cap/d,117.73,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2017,kcal/cap/d,89.72,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2018,kcal/cap/d,118.46,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2019,kcal/cap/d,116.1,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2020,kcal/cap/d,111.82,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2021,kcal/cap/d,101.15,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply (kcal/capita/day),2022,kcal/cap/d,106.62,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2010,kg/cap,45.33,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2011,kg/cap,44.0,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2012,kg/cap,45.42,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2013,kg/cap,44.37,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2014,kg/cap,58.04,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2015,kg/cap,58.59,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2016,kg/cap,55.59,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2017,kg/cap,46.89,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2018,kg/cap,55.81,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2019,kg/cap,58.1,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2020,kg/cap,54.27,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2021,kg/cap,55.53,bulk,FBS_BULK
'084,Belize,2924,Alcoholic Beverages,Food supply quantity (kg/capita/yr),2022,kg/cap,65.66,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2010,kcal/cap/d,502.3,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2011,kcal/cap/d,483.59,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2012,kcal/cap/d,509.5,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2013,kcal/cap/d,485.29,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2014,kcal/cap/d,579.22,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2015,kcal/cap/d,598.73,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2016,kcal/cap/d,589.66,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2017,kcal/cap/d,577.11,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2018,kcal/cap/d,579.66,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2019,kcal/cap/d,603.47,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2020,kcal/cap/d,638.95,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2021,kcal/cap/d,634.69,bulk,FBS_BULK
'084,Belize,2941,Animal Products,Food supply (kcal/capita/day),2022,kcal/cap/d,569.83,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2010,kcal/cap/d,125.63,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2011,kcal/cap/d,113.74,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2012,kcal/cap/d,117.27,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2013,kcal/cap/d,114.45,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2014,kcal/cap/d,135.05,bulk,FBS_BULK
