country,iso2c,year,indicator,value,unit
Belize,BZ,1960,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1961,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1962,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1963,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1964,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1965,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1966,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1967,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1968,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1969,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1970,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1971,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1972,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1973,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1974,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1975,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1976,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1977,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1978,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1979,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1980,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1981,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1982,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1983,BN.CAB.XOKA.GD.ZS,,%
Belize,BZ,1984,BN.CAB.XOKA.GD.ZS,-1.82538315825728,%
Belize,BZ,1985,BN.CAB.XOKA.GD.ZS,3.15001740341107,%
Belize,BZ,1986,BN.CAB.XOKA.GD.ZS,3.83627608346709,%
Belize,BZ,1987,BN.CAB.XOKA.GD.ZS,2.53300997035839,%
Belize,BZ,1988,BN.CAB.XOKA.GD.ZS,-0.6169177838415,%
Belize,BZ,1989,BN.CAB.XOKA.GD.ZS,-3.87904703726329,%
Belize,BZ,1990,BN.CAB.XOKA.GD.ZS,2.80544640409394,%
Belize,BZ,1991,BN.CAB.XOKA.GD.ZS,-4.32088427399096,%
Belize,BZ,1992,BN.CAB.XOKA.GD.ZS,-4.10771992818671,%
Belize,BZ,1993,BN.CAB.XOKA.GD.ZS,-6.44218635850435,%
Belize,BZ,1994,BN.CAB.XOKA.GD.ZS,-5.18671500712158,%
Belize,BZ,1995,BN.CAB.XOKA.GD.ZS,-2.10567120444417,%
Belize,BZ,1996,BN.CAB.XOKA.GD.ZS,-0.780983722160193,%
Belize,BZ,1997,BN.CAB.XOKA.GD.ZS,-3.65582779940463,%
Belize,BZ,1998,BN.CAB.XOKA.GD.ZS,-6.43867670790748,%
Belize,BZ,1999,BN.CAB.XOKA.GD.ZS,-7.27739014096476,%
Belize,BZ,2000,BN.CAB.XOKA.GD.ZS,-14.1866352703266,%
Belize,BZ,2001,BN.CAB.XOKA.GD.ZS,-16.2316899525694,%
Belize,BZ,2002,BN.CAB.XOKA.GD.ZS,-13.2827643687289,%
Belize,BZ,2003,BN.CAB.XOKA.GD.ZS,-14.0794929378658,%
Belize,BZ,2004,BN.CAB.XOKA.GD.ZS,-11.0592676582953,%
Belize,BZ,2005,BN.CAB.XOKA.GD.ZS,-10.2526296178853,%
Belize,BZ,2006,BN.CAB.XOKA.GD.ZS,-1.59532298006302,%
Belize,BZ,2007,BN.CAB.XOKA.GD.ZS,-3.0513734963528,%
Belize,BZ,2008,BN.CAB.XOKA.GD.ZS,-8.33154548361297,%
Belize,BZ,2009,BN.CAB.XOKA.GD.ZS,-4.90605439670788,%
Belize,BZ,2010,BN.CAB.XOKA.GD.ZS,-2.61996122117629,%
Belize,BZ,2011,BN.CAB.XOKA.GD.ZS,-1.0918621898446,%
Belize,BZ,2012,BN.CAB.XOKA.GD.ZS,-1.7342159764007,%
Belize,BZ,2013,BN.CAB.XOKA.GD.ZS,-3.57083937981071,%
Belize,BZ,2014,BN.CAB.XOKA.GD.ZS,-6.35386054940414,%
Belize,BZ,2015,BN.CAB.XOKA.GD.ZS,-7.9676955998834,%
Belize,BZ,2016,BN.CAB.XOKA.GD.ZS,-7.2965049292803,%
Belize,BZ,2017,BN.CAB.XOKA.GD.ZS,-6.97326171926514,%
Belize,BZ,2018,BN.CAB.XOKA.GD.ZS,-6.57557614826684,%
Belize,BZ,2019,BN.CAB.XOKA.GD.ZS,-7.73126092549565,%
Belize,BZ,2020,BN.CAB.XOKA.GD.ZS,-6.26182966146405,%
Belize,BZ,2021,BN.CAB.XOKA.GD.ZS,-6.52200388988279,%
Belize,BZ,2022,BN.CAB.XOKA.GD.ZS,-8.27503903869998,%
Belize,BZ,2023,BN.CAB.XOKA.GD.ZS,-0.644343657641839,%
Belize,BZ,2024,BN.CAB.XOKA.GD.ZS,-1.47226756409698,%
