country,iso2c,year,indicator,value,unit
Belize,BZ,1960,NE.TRD.GNFS.ZS,,%
Belize,BZ,1961,NE.TRD.GNFS.ZS,,%
Belize,BZ,1962,NE.TRD.GNFS.ZS,,%
Belize,BZ,1963,NE.TRD.GNFS.ZS,,%
Belize,BZ,1964,NE.TRD.GNFS.ZS,,%
Belize,BZ,1965,NE.TRD.GNFS.ZS,,%
Belize,BZ,1966,NE.TRD.GNFS.ZS,,%
Belize,BZ,1967,NE.TRD.GNFS.ZS,,%
Belize,BZ,1968,NE.TRD.GNFS.ZS,,%
Belize,BZ,1969,NE.TRD.GNFS.ZS,,%
Belize,BZ,1970,NE.TRD.GNFS.ZS,,%
Belize,BZ,1971,NE.TRD.GNFS.ZS,,%
Belize,BZ,1972,NE.TRD.GNFS.ZS,,%
Belize,BZ,1973,NE.TRD.GNFS.ZS,,%
Belize,BZ,1974,NE.TRD.GNFS.ZS,,%
Belize,BZ,1975,NE.TRD.GNFS.ZS,,%
Belize,BZ,1976,NE.TRD.GNFS.ZS,,%
Belize,BZ,1977,NE.TRD.GNFS.ZS,,%
Belize,BZ,1978,NE.TRD.GNFS.ZS,,%
Belize,BZ,1979,NE.TRD.GNFS.ZS,,%
Belize,BZ,1980,NE.TRD.GNFS.ZS,78.6998585858586,%
Belize,BZ,1981,NE.TRD.GNFS.ZS,80.0036701821668,%
Belize,BZ,1982,NE.TRD.GNFS.ZS,71.8370006035003,%
Belize,BZ,1983,NE.TRD.GNFS.ZS,69.0500499713904,%
Belize,BZ,1984,NE.TRD.GNFS.ZS,80.763900981574,%
Belize,BZ,1985,NE.TRD.GNFS.ZS,67.0732840236686,%
Belize,BZ,1986,NE.TRD.GNFS.ZS,69.6704858747994,%
Belize,BZ,1987,NE.TRD.GNFS.ZS,76.8465724872002,%
Belize,BZ,1988,NE.TRD.GNFS.ZS,81.4921461620596,%
Belize,BZ,1989,NE.TRD.GNFS.ZS,78.4160346161678,%
Belize,BZ,1990,NE.TRD.GNFS.ZS,79.4114959334734,%
Belize,BZ,1991,NE.TRD.GNFS.ZS,79.1324736225088,%
Belize,BZ,1992,NE.TRD.GNFS.ZS,80.2872531418312,%
Belize,BZ,1993,NE.TRD.GNFS.ZS,75.712293285515,%
Belize,BZ,1994,NE.TRD.GNFS.ZS,80.8623591868445,%
Belize,BZ,1995,NE.TRD.GNFS.ZS,77.2846590562237,%
Belize,BZ,1996,NE.TRD.GNFS.ZS,79.5087265675501,%
Belize,BZ,1997,NE.TRD.GNFS.ZS,85.4133272269292,%
Belize,BZ,1998,NE.TRD.GNFS.ZS,85.2608929532007,%
Belize,BZ,1999,NE.TRD.GNFS.ZS,93.2766808297926,%
Belize,BZ,2000,NE.TRD.GNFS.ZS,96.5405215558873,%
Belize,BZ,2001,NE.TRD.GNFS.ZS,93.1105047748977,%
Belize,BZ,2002,NE.TRD.GNFS.ZS,92.9980315751416,%
Belize,BZ,2003,NE.TRD.GNFS.ZS,94.3158377263351,%
Belize,BZ,2004,NE.TRD.GNFS.ZS,86.3404361637577,%
Belize,BZ,2005,NE.TRD.GNFS.ZS,92.9523034679142,%
Belize,BZ,2006,NE.TRD.GNFS.ZS,98.8593155893536,%
Belize,BZ,2007,NE.TRD.GNFS.ZS,95.8936207603538,%
Belize,BZ,2008,NE.TRD.GNFS.ZS,105.44022082926,%
Belize,BZ,2009,NE.TRD.GNFS.ZS,89.546935149541,%
Belize,BZ,2010,NE.TRD.GNFS.ZS,95.0335109125279,%
Belize,BZ,2011,NE.TRD.GNFS.ZS,107.194658055335,%
Belize,BZ,2012,NE.TRD.GNFS.ZS,111.631926259558,%
Belize,BZ,2013,NE.TRD.GNFS.ZS,108.793506333784,%
Belize,BZ,2014,NE.TRD.GNFS.ZS,107.120308663627,%
Belize,BZ,2015,NE.TRD.GNFS.ZS,104.078794373133,%
Belize,BZ,2016,NE.TRD.GNFS.ZS,96.4646013748772,%
Belize,BZ,2017,NE.TRD.GNFS.ZS,97.6922737501655,%
Belize,BZ,2018,NE.TRD.GNFS.ZS,100.664995094298,%
Belize,BZ,2019,NE.TRD.GNFS.ZS,102.122848888331,%
Belize,BZ,2020,NE.TRD.GNFS.ZS,81.821964412463,%
Belize,BZ,2021,NE.TRD.GNFS.ZS,99.3162710954122,%
Belize,BZ,2022,NE.TRD.GNFS.ZS,108.52917413145,%
Belize,BZ,2023,NE.TRD.GNFS.ZS,106.531755710256,%
Belize,BZ,2024,NE.TRD.GNFS.ZS,,%
