country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1961,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1962,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1963,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1964,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1965,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1966,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1967,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1968,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1969,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1970,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1971,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1972,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1973,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1974,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1975,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1976,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1977,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1978,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1979,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1980,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1981,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1982,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1983,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1984,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1985,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1986,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1987,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1988,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1989,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1990,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1991,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1992,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1993,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1994,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1995,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1996,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1997,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1998,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,1999,SE.XPD.TOTL.GD.ZS,4.04780006408691,%
Belize,BZ,2000,SE.XPD.TOTL.GD.ZS,3.69593000411987,%
Belize,BZ,2001,SE.XPD.TOTL.GD.ZS,4.25065994262695,%
Belize,BZ,2002,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,2003,SE.XPD.TOTL.GD.ZS,3.91564989089966,%
Belize,BZ,2004,SE.XPD.TOTL.GD.ZS,4.02664995193481,%
Belize,BZ,2005,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,2006,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,2007,SE.XPD.TOTL.GD.ZS,,%
Belize,BZ,2008,SE.XPD.TOTL.GD.ZS,4.3199200630188,%
Belize,BZ,2009,SE.XPD.TOTL.GD.ZS,4.82053995132446,%
Belize,BZ,2010,SE.XPD.TOTL.GD.ZS,5.26443004608154,%
Belize,BZ,2011,SE.XPD.TOTL.GD.ZS,5.51967906951904,%
Belize,BZ,2012,SE.XPD.TOTL.GD.ZS,5.47151041030884,%
Belize,BZ,2013,SE.XPD.TOTL.GD.ZS,5.15144014358521,%
Belize,BZ,2014,SE.XPD.TOTL.GD.ZS,5.16743993759155,%
Belize,BZ,2015,SE.XPD.TOTL.GD.ZS,5.39020013809204,%
Belize,BZ,2016,SE.XPD.TOTL.GD.ZS,5.72171020507812,%
Belize,BZ,2017,SE.XPD.TOTL.GD.ZS,5.94967985153198,%
Belize,BZ,2018,SE.XPD.TOTL.GD.ZS,6.12682008743286,%
Belize,BZ,2019,SE.XPD.TOTL.GD.ZS,5.96499013900757,%
Belize,BZ,2020,SE.XPD.TOTL.GD.ZS,5.2163200378418,%
Belize,BZ,2021,SE.XPD.TOTL.GD.ZS,5.94879007339478,%
Belize,BZ,2022,SE.XPD.TOTL.GD.ZS,4.59650993347168,%
Belize,BZ,2023,SE.XPD.TOTL.GD.ZS,4.25564002990723,%
Belize,BZ,2024,SE.XPD.TOTL.GD.ZS,,%
