country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SI.POV.UMIC,,%
Belize,BZ,1961,SI.POV.UMIC,,%
Belize,BZ,1962,SI.POV.UMIC,,%
Belize,BZ,1963,SI.POV.UMIC,,%
Belize,BZ,1964,SI.POV.UMIC,,%
Belize,BZ,1965,SI.POV.UMIC,,%
Belize,BZ,1966,SI.POV.UMIC,,%
Belize,BZ,1967,SI.POV.UMIC,,%
Belize,BZ,1968,SI.POV.UMIC,,%
Belize,BZ,1969,SI.POV.UMIC,,%
Belize,BZ,1970,SI.POV.UMIC,,%
Belize,BZ,1971,SI.POV.UMIC,,%
Belize,BZ,1972,SI.POV.UMIC,,%
Belize,BZ,1973,SI.POV.UMIC,,%
Belize,BZ,1974,SI.POV.UMIC,,%
Belize,BZ,1975,SI.POV.UMIC,,%
Belize,BZ,1976,SI.POV.UMIC,,%
Belize,BZ,1977,SI.POV.UMIC,,%
Belize,BZ,1978,SI.POV.UMIC,,%
Belize,BZ,1979,SI.POV.UMIC,,%
Belize,BZ,1980,SI.POV.UMIC,,%
Belize,BZ,1981,SI.POV.UMIC,,%
Belize,BZ,1982,SI.POV.UMIC,,%
Belize,BZ,1983,SI.POV.UMIC,,%
Belize,BZ,1984,SI.POV.UMIC,,%
Belize,BZ,1985,SI.POV.UMIC,,%
Belize,BZ,1986,SI.POV.UMIC,,%
Belize,BZ,1987,SI.POV.UMIC,,%
Belize,BZ,1988,SI.POV.UMIC,,%
Belize,BZ,1989,SI.POV.UMIC,,%
Belize,BZ,1990,SI.POV.UMIC,,%
Belize,BZ,1991,SI.POV.UMIC,,%
Belize,BZ,1992,SI.POV.UMIC,,%
Belize,BZ,1993,SI.POV.UMIC,61.5,%
Belize,BZ,1994,SI.POV.UMIC,65.2,%
Belize,BZ,1995,SI.POV.UMIC,48.0,%
Belize,BZ,1996,SI.POV.UMIC,70.5,%
Belize,BZ,1997,SI.POV.UMIC,70.0,%
Belize,BZ,1998,SI.POV.UMIC,68.6,%
Belize,BZ,1999,SI.POV.UMIC,66.7,%
Belize,BZ,2000,SI.POV.UMIC,,%
Belize,BZ,2001,SI.POV.UMIC,,%
Belize,BZ,2002,SI.POV.UMIC,,%
Belize,BZ,2003,SI.POV.UMIC,,%
Belize,BZ,2004,SI.POV.UMIC,,%
Belize,BZ,2005,SI.POV.UMIC,,%
Belize,BZ,2006,SI.POV.UMIC,,%
Belize,BZ,2007,SI.POV.UMIC,,%
Belize,BZ,2008,SI.POV.UMIC,,%
Belize,BZ,2009,SI.POV.UMIC,,%
Belize,BZ,2010,SI.POV.UMIC,,%
Belize,BZ,2011,SI.POV.UMIC,,%
Belize,BZ,2012,SI.POV.UMIC,,%
Belize,BZ,2013,SI.POV.UMIC,,%
Belize,BZ,2014,SI.POV.UMIC,,%
Belize,BZ,2015,SI.POV.UMIC,,%
Belize,BZ,2016,SI.POV.UMIC,,%
Belize,BZ,2017,SI.POV.UMIC,,%
Belize,BZ,2018,SI.POV.UMIC,19.7,%
Belize,BZ,2019,SI.POV.UMIC,,%
Belize,BZ,2020,SI.POV.UMIC,,%
Belize,BZ,2021,SI.POV.UMIC,,%
Belize,BZ,2022,SI.POV.UMIC,,%
Belize,BZ,2023,SI.POV.UMIC,,%
Belize,BZ,2024,SI.POV.UMIC,,%
