country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SL.UEM.1524.ZS,,%
Belize,BZ,1961,SL.UEM.1524.ZS,,%
Belize,BZ,1962,SL.UEM.1524.ZS,,%
Belize,BZ,1963,SL.UEM.1524.ZS,,%
Belize,BZ,1964,SL.UEM.1524.ZS,,%
Belize,BZ,1965,SL.UEM.1524.ZS,,%
Belize,BZ,1966,SL.UEM.1524.ZS,,%
Belize,BZ,1967,SL.UEM.1524.ZS,,%
Belize,BZ,1968,SL.UEM.1524.ZS,,%
Belize,BZ,1969,SL.UEM.1524.ZS,,%
Belize,BZ,1970,SL.UEM.1524.ZS,,%
Belize,BZ,1971,SL.UEM.1524.ZS,,%
Belize,BZ,1972,SL.UEM.1524.ZS,,%
Belize,BZ,1973,SL.UEM.1524.ZS,,%
Belize,BZ,1974,SL.UEM.1524.ZS,,%
Belize,BZ,1975,SL.UEM.1524.ZS,,%
Belize,BZ,1976,SL.UEM.1524.ZS,,%
Belize,BZ,1977,SL.UEM.1524.ZS,,%
Belize,BZ,1978,SL.UEM.1524.ZS,,%
Belize,BZ,1979,SL.UEM.1524.ZS,,%
Belize,BZ,1980,SL.UEM.1524.ZS,,%
Belize,BZ,1981,SL.UEM.1524.ZS,,%
Belize,BZ,1982,SL.UEM.1524.ZS,,%
Belize,BZ,1983,SL.UEM.1524.ZS,,%
Belize,BZ,1984,SL.UEM.1524.ZS,,%
Belize,BZ,1985,SL.UEM.1524.ZS,,%
Belize,BZ,1986,SL.UEM.1524.ZS,,%
Belize,BZ,1987,SL.UEM.1524.ZS,,%
Belize,BZ,1988,SL.UEM.1524.ZS,,%
Belize,BZ,1989,SL.UEM.1524.ZS,,%
Belize,BZ,1990,SL.UEM.1524.ZS,,%
Belize,BZ,1991,SL.UEM.1524.ZS,18.803,%
Belize,BZ,1992,SL.UEM.1524.ZS,18.933,%
Belize,BZ,1993,SL.UEM.1524.ZS,19.012,%
Belize,BZ,1994,SL.UEM.1524.ZS,21.269,%
Belize,BZ,1995,SL.UEM.1524.ZS,23.928,%
Belize,BZ,1996,SL.UEM.1524.ZS,26.531,%
Belize,BZ,1997,SL.UEM.1524.ZS,25.03,%
Belize,BZ,1998,SL.UEM.1524.ZS,28.252,%
Belize,BZ,1999,SL.UEM.1524.ZS,25.801,%
Belize,BZ,2000,SL.UEM.1524.ZS,22.031,%
Belize,BZ,2001,SL.UEM.1524.ZS,18.561,%
Belize,BZ,2002,SL.UEM.1524.ZS,20.367,%
Belize,BZ,2003,SL.UEM.1524.ZS,21.001,%
Belize,BZ,2004,SL.UEM.1524.ZS,21.516,%
Belize,BZ,2005,SL.UEM.1524.ZS,22.159,%
Belize,BZ,2006,SL.UEM.1524.ZS,19.031,%
Belize,BZ,2007,SL.UEM.1524.ZS,17.215,%
Belize,BZ,2008,SL.UEM.1524.ZS,16.519,%
Belize,BZ,2009,SL.UEM.1524.ZS,16.774,%
Belize,BZ,2010,SL.UEM.1524.ZS,16.925,%
Belize,BZ,2011,SL.UEM.1524.ZS,16.965,%
Belize,BZ,2012,SL.UEM.1524.ZS,16.916,%
Belize,BZ,2013,SL.UEM.1524.ZS,16.904,%
Belize,BZ,2014,SL.UEM.1524.ZS,18.271,%
Belize,BZ,2015,SL.UEM.1524.ZS,16.48,%
Belize,BZ,2016,SL.UEM.1524.ZS,16.547,%
Belize,BZ,2017,SL.UEM.1524.ZS,15.686,%
Belize,BZ,2018,SL.UEM.1524.ZS,17.928,%
Belize,BZ,2019,SL.UEM.1524.ZS,19.934,%
Belize,BZ,2020,SL.UEM.1524.ZS,23.566,%
Belize,BZ,2021,SL.UEM.1524.ZS,22.044,%
Belize,BZ,2022,SL.UEM.1524.ZS,19.465,%
Belize,BZ,2023,SL.UEM.1524.ZS,18.774,%
Belize,BZ,2024,SL.UEM.1524.ZS,16.315,%
