country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SL.UEM.TOTL.ZS,,%
Belize,BZ,1961,SL.UEM.TOTL.ZS,,%
Belize,BZ,1962,SL.UEM.TOTL.ZS,,%
Belize,BZ,1963,SL.UEM.TOTL.ZS,,%
Belize,BZ,1964,SL.UEM.TOTL.ZS,,%
Belize,BZ,1965,SL.UEM.TOTL.ZS,,%
Belize,BZ,1966,SL.UEM.TOTL.ZS,,%
Belize,BZ,1967,SL.UEM.TOTL.ZS,,%
Belize,BZ,1968,SL.UEM.TOTL.ZS,,%
Belize,BZ,1969,SL.UEM.TOTL.ZS,,%
Belize,BZ,1970,SL.UEM.TOTL.ZS,,%
Belize,BZ,1971,SL.UEM.TOTL.ZS,,%
Belize,BZ,1972,SL.UEM.TOTL.ZS,,%
Belize,BZ,1973,SL.UEM.TOTL.ZS,,%
Belize,BZ,1974,SL.UEM.TOTL.ZS,,%
Belize,BZ,1975,SL.UEM.TOTL.ZS,,%
Belize,BZ,1976,SL.UEM.TOTL.ZS,,%
Belize,BZ,1977,SL.UEM.TOTL.ZS,,%
Belize,BZ,1978,SL.UEM.TOTL.ZS,,%
Belize,BZ,1979,SL.UEM.TOTL.ZS,,%
Belize,BZ,1980,SL.UEM.TOTL.ZS,,%
Belize,BZ,1981,SL.UEM.TOTL.ZS,,%
Belize,BZ,1982,SL.UEM.TOTL.ZS,,%
Belize,BZ,1983,SL.UEM.TOTL.ZS,,%
Belize,BZ,1984,SL.UEM.TOTL.ZS,,%
Belize,BZ,1985,SL.UEM.TOTL.ZS,,%
Belize,BZ,1986,SL.UEM.TOTL.ZS,,%
Belize,BZ,1987,SL.UEM.TOTL.ZS,,%
Belize,BZ,1988,SL.UEM.TOTL.ZS,,%
Belize,BZ,1989,SL.UEM.TOTL.ZS,,%
Belize,BZ,1990,SL.UEM.TOTL.ZS,,%
Belize,BZ,1991,SL.UEM.TOTL.ZS,9.69,%
Belize,BZ,1992,SL.UEM.TOTL.ZS,9.697,%
Belize,BZ,1993,SL.UEM.TOTL.ZS,9.78,%
Belize,BZ,1994,SL.UEM.TOTL.ZS,11.1,%
Belize,BZ,1995,SL.UEM.TOTL.ZS,12.48,%
Belize,BZ,1996,SL.UEM.TOTL.ZS,13.82,%
Belize,BZ,1997,SL.UEM.TOTL.ZS,12.68,%
Belize,BZ,1998,SL.UEM.TOTL.ZS,14.31,%
Belize,BZ,1999,SL.UEM.TOTL.ZS,12.84,%
Belize,BZ,2000,SL.UEM.TOTL.ZS,10.836,%
Belize,BZ,2001,SL.UEM.TOTL.ZS,9.07,%
Belize,BZ,2002,SL.UEM.TOTL.ZS,10.04,%
Belize,BZ,2003,SL.UEM.TOTL.ZS,10.343,%
Belize,BZ,2004,SL.UEM.TOTL.ZS,10.584,%
Belize,BZ,2005,SL.UEM.TOTL.ZS,10.91,%
Belize,BZ,2006,SL.UEM.TOTL.ZS,9.39,%
Belize,BZ,2007,SL.UEM.TOTL.ZS,8.51,%
Belize,BZ,2008,SL.UEM.TOTL.ZS,8.18,%
Belize,BZ,2009,SL.UEM.TOTL.ZS,8.328,%
Belize,BZ,2010,SL.UEM.TOTL.ZS,8.416,%
Belize,BZ,2011,SL.UEM.TOTL.ZS,8.43,%
Belize,BZ,2012,SL.UEM.TOTL.ZS,8.379,%
Belize,BZ,2013,SL.UEM.TOTL.ZS,8.349,%
Belize,BZ,2014,SL.UEM.TOTL.ZS,8.244,%
Belize,BZ,2015,SL.UEM.TOTL.ZS,7.578,%
Belize,BZ,2016,SL.UEM.TOTL.ZS,7.0,%
Belize,BZ,2017,SL.UEM.TOTL.ZS,6.596,%
Belize,BZ,2018,SL.UEM.TOTL.ZS,7.896,%
Belize,BZ,2019,SL.UEM.TOTL.ZS,9.053,%
Belize,BZ,2020,SL.UEM.TOTL.ZS,10.784,%
Belize,BZ,2021,SL.UEM.TOTL.ZS,10.322,%
Belize,BZ,2022,SL.UEM.TOTL.ZS,8.763,%
Belize,BZ,2023,SL.UEM.TOTL.ZS,8.267,%
Belize,BZ,2024,SL.UEM.TOTL.ZS,7.0,%
