country,iso2c,year,indicator,value,unit
Belize,BZ,1960,SP.DYN.LE00.IN,57.389,years
Belize,BZ,1961,SP.DYN.LE00.IN,52.944,years
Belize,BZ,1962,SP.DYN.LE00.IN,58.741,years
Belize,BZ,1963,SP.DYN.LE00.IN,59.316,years
Belize,BZ,1964,SP.DYN.LE00.IN,59.84,years
Belize,BZ,1965,SP.DYN.LE00.IN,60.356,years
Belize,BZ,1966,SP.DYN.LE00.IN,60.86,years
Belize,BZ,1967,SP.DYN.LE00.IN,61.437,years
Belize,BZ,1968,SP.DYN.LE00.IN,61.961,years
Belize,BZ,1969,SP.DYN.LE00.IN,62.497,years
Belize,BZ,1970,SP.DYN.LE00.IN,63.044,years
Belize,BZ,1971,SP.DYN.LE00.IN,63.546,years
Belize,BZ,1972,SP.DYN.LE00.IN,64.025,years
Belize,BZ,1973,SP.DYN.LE00.IN,64.487,years
Belize,BZ,1974,SP.DYN.LE00.IN,64.936,years
Belize,BZ,1975,SP.DYN.LE00.IN,65.377,years
Belize,BZ,1976,SP.DYN.LE00.IN,65.765,years
Belize,BZ,1977,SP.DYN.LE00.IN,66.135,years
Belize,BZ,1978,SP.DYN.LE00.IN,66.338,years
Belize,BZ,1979,SP.DYN.LE00.IN,66.677,years
Belize,BZ,1980,SP.DYN.LE00.IN,66.884,years
Belize,BZ,1981,SP.DYN.LE00.IN,67.095,years
Belize,BZ,1982,SP.DYN.LE00.IN,67.339,years
Belize,BZ,1983,SP.DYN.LE00.IN,67.601,years
Belize,BZ,1984,SP.DYN.LE00.IN,67.952,years
Belize,BZ,1985,SP.DYN.LE00.IN,68.347,years
Belize,BZ,1986,SP.DYN.LE00.IN,68.743,years
Belize,BZ,1987,SP.DYN.LE00.IN,69.108,years
Belize,BZ,1988,SP.DYN.LE00.IN,69.401,years
Belize,BZ,1989,SP.DYN.LE00.IN,69.534,years
Belize,BZ,1990,SP.DYN.LE00.IN,69.569,years
Belize,BZ,1991,SP.DYN.LE00.IN,69.645,years
Belize,BZ,1992,SP.DYN.LE00.IN,69.601,years
Belize,BZ,1993,SP.DYN.LE00.IN,69.595,years
Belize,BZ,1994,SP.DYN.LE00.IN,69.585,years
Belize,BZ,1995,SP.DYN.LE00.IN,69.484,years
Belize,BZ,1996,SP.DYN.LE00.IN,69.363,years
Belize,BZ,1997,SP.DYN.LE00.IN,69.183,years
Belize,BZ,1998,SP.DYN.LE00.IN,68.906,years
Belize,BZ,1999,SP.DYN.LE00.IN,68.976,years
Belize,BZ,2000,SP.DYN.LE00.IN,68.911,years
Belize,BZ,2001,SP.DYN.LE00.IN,68.944,years
Belize,BZ,2002,SP.DYN.LE00.IN,69.528,years
Belize,BZ,2003,SP.DYN.LE00.IN,69.819,years
Belize,BZ,2004,SP.DYN.LE00.IN,70.152,years
Belize,BZ,2005,SP.DYN.LE00.IN,70.335,years
Belize,BZ,2006,SP.DYN.LE00.IN,70.535,years
Belize,BZ,2007,SP.DYN.LE00.IN,70.652,years
Belize,BZ,2008,SP.DYN.LE00.IN,70.665,years
Belize,BZ,2009,SP.DYN.LE00.IN,70.806,years
Belize,BZ,2010,SP.DYN.LE00.IN,70.875,years
Belize,BZ,2011,SP.DYN.LE00.IN,70.975,years
Belize,BZ,2012,SP.DYN.LE00.IN,71.134,years
Belize,BZ,2013,SP.DYN.LE00.IN,71.276,years
Belize,BZ,2014,SP.DYN.LE00.IN,71.437,years
Belize,BZ,2015,SP.DYN.LE00.IN,71.647,years
Belize,BZ,2016,SP.DYN.LE00.IN,71.843,years
Belize,BZ,2017,SP.DYN.LE00.IN,72.062,years
Belize,BZ,2018,SP.DYN.LE00.IN,72.322,years
Belize,BZ,2019,SP.DYN.LE00.IN,72.577,years
Belize,BZ,2020,SP.DYN.LE00.IN,71.58,years
Belize,BZ,2021,SP.DYN.LE00.IN,70.917,years
Belize,BZ,2022,SP.DYN.LE00.IN,72.19,years
Belize,BZ,2023,SP.DYN.LE00.IN,73.566,years
Belize,BZ,2024,SP.DYN.LE00.IN,,years
