country,iso2c,year,indicator,value,unit
Guyana,GY,1960,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1961,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1962,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1963,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1964,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1965,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1966,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1967,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1968,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1969,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1970,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1971,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1972,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1973,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1974,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1975,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1976,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1977,BN.CAB.XOKA.GD.ZS,-21.6789836851943,%
Guyana,GY,1978,BN.CAB.XOKA.GD.ZS,-5.83115631903747,%
Guyana,GY,1979,BN.CAB.XOKA.GD.ZS,-15.6289044598493,%
Guyana,GY,1980,BN.CAB.XOKA.GD.ZS,-21.3046757247953,%
Guyana,GY,1981,BN.CAB.XOKA.GD.ZS,-32.1724658908915,%
Guyana,GY,1982,BN.CAB.XOKA.GD.ZS,-29.3183213393085,%
Guyana,GY,1983,BN.CAB.XOKA.GD.ZS,-32.1841278736547,%
Guyana,GY,1984,BN.CAB.XOKA.GD.ZS,-22.2166974860777,%
Guyana,GY,1985,BN.CAB.XOKA.GD.ZS,-21.3066746942624,%
Guyana,GY,1986,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1987,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1988,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1989,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1990,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1991,BN.CAB.XOKA.GD.ZS,,%
Guyana,GY,1992,BN.CAB.XOKA.GD.ZS,-37.0872486840416,%
Guyana,GY,1993,BN.CAB.XOKA.GD.ZS,-30.8796681550639,%
Guyana,GY,1994,BN.CAB.XOKA.GD.ZS,-23.1005343563518,%
Guyana,GY,1995,BN.CAB.XOKA.GD.ZS,-21.679406848842,%
Guyana,GY,1996,BN.CAB.XOKA.GD.ZS,-4.63562826712069,%
Guyana,GY,1997,BN.CAB.XOKA.GD.ZS,-8.42301407676256,%
Guyana,GY,1998,BN.CAB.XOKA.GD.ZS,-7.74879755028687,%
Guyana,GY,1999,BN.CAB.XOKA.GD.ZS,-7.12481390368902,%
Guyana,GY,2000,BN.CAB.XOKA.GD.ZS,-11.5341241520002,%
Guyana,GY,2001,BN.CAB.XOKA.GD.ZS,-12.7638520939434,%
Guyana,GY,2002,BN.CAB.XOKA.GD.ZS,-8.57971395005412,%
Guyana,GY,2003,BN.CAB.XOKA.GD.ZS,-6.00217518033652,%
Guyana,GY,2004,BN.CAB.XOKA.GD.ZS,-2.52795588989275,%
Guyana,GY,2005,BN.CAB.XOKA.GD.ZS,-11.6705382324577,%
Guyana,GY,2006,BN.CAB.XOKA.GD.ZS,-7.59053846582146,%
Guyana,GY,2007,BN.CAB.XOKA.GD.ZS,-6.06659550320194,%
Guyana,GY,2008,BN.CAB.XOKA.GD.ZS,-10.6229329472303,%
Guyana,GY,2009,BN.CAB.XOKA.GD.ZS,-7.28409727303008,%
Guyana,GY,2010,BN.CAB.XOKA.GD.ZS,-7.1762463185401,%
Guyana,GY,2011,BN.CAB.XOKA.GD.ZS,-10.0853362607878,%
Guyana,GY,2012,BN.CAB.XOKA.GD.ZS,-9.02441909942374,%
Guyana,GY,2013,BN.CAB.XOKA.GD.ZS,-10.9417365700277,%
Guyana,GY,2014,BN.CAB.XOKA.GD.ZS,-9.33174702245427,%
Guyana,GY,2015,BN.CAB.XOKA.GD.ZS,-0.907095962415786,%
Guyana,GY,2016,BN.CAB.XOKA.GD.ZS,3.37225553747118,%
Guyana,GY,2017,BN.CAB.XOKA.GD.ZS,-2.56042552466991,%
Guyana,GY,2018,BN.CAB.XOKA.GD.ZS,-26.677311081907,%
Guyana,GY,2019,BN.CAB.XOKA.GD.ZS,-57.1070048116683,%
Guyana,GY,2020,BN.CAB.XOKA.GD.ZS,-11.6095974967976,%
Guyana,GY,2021,BN.CAB.XOKA.GD.ZS,-16.9076142307927,%
Guyana,GY,2022,BN.CAB.XOKA.GD.ZS,28.8207770246115,%
Guyana,GY,2023,BN.CAB.XOKA.GD.ZS,13.902228797549,%
Guyana,GY,2024,BN.CAB.XOKA.GD.ZS,,%
