country,iso2c,year,indicator,value,unit
Guyana,GY,1960,EG.ELC.ACCS.ZS,,%
Guyana,GY,1961,EG.ELC.ACCS.ZS,,%
Guyana,GY,1962,EG.ELC.ACCS.ZS,,%
Guyana,GY,1963,EG.ELC.ACCS.ZS,,%
Guyana,GY,1964,EG.ELC.ACCS.ZS,,%
Guyana,GY,1965,EG.ELC.ACCS.ZS,,%
Guyana,GY,1966,EG.ELC.ACCS.ZS,,%
Guyana,GY,1967,EG.ELC.ACCS.ZS,,%
Guyana,GY,1968,EG.ELC.ACCS.ZS,,%
Guyana,GY,1969,EG.ELC.ACCS.ZS,,%
Guyana,GY,1970,EG.ELC.ACCS.ZS,,%
Guyana,GY,1971,EG.ELC.ACCS.ZS,,%
Guyana,GY,1972,EG.ELC.ACCS.ZS,,%
Guyana,GY,1973,EG.ELC.ACCS.ZS,,%
Guyana,GY,1974,EG.ELC.ACCS.ZS,,%
Guyana,GY,1975,EG.ELC.ACCS.ZS,,%
Guyana,GY,1976,EG.ELC.ACCS.ZS,,%
Guyana,GY,1977,EG.ELC.ACCS.ZS,,%
Guyana,GY,1978,EG.ELC.ACCS.ZS,,%
Guyana,GY,1979,EG.ELC.ACCS.ZS,,%
Guyana,GY,1980,EG.ELC.ACCS.ZS,,%
Guyana,GY,1981,EG.ELC.ACCS.ZS,,%
Guyana,GY,1982,EG.ELC.ACCS.ZS,,%
Guyana,GY,1983,EG.ELC.ACCS.ZS,,%
Guyana,GY,1984,EG.ELC.ACCS.ZS,,%
Guyana,GY,1985,EG.ELC.ACCS.ZS,,%
Guyana,GY,1986,EG.ELC.ACCS.ZS,,%
Guyana,GY,1987,EG.ELC.ACCS.ZS,,%
Guyana,GY,1988,EG.ELC.ACCS.ZS,,%
Guyana,GY,1989,EG.ELC.ACCS.ZS,,%
Guyana,GY,1990,EG.ELC.ACCS.ZS,,%
Guyana,GY,1991,EG.ELC.ACCS.ZS,,%
Guyana,GY,1992,EG.ELC.ACCS.ZS,,%
Guyana,GY,1993,EG.ELC.ACCS.ZS,72.376631,%
Guyana,GY,1994,EG.ELC.ACCS.ZS,70.713981628418,%
Guyana,GY,1995,EG.ELC.ACCS.ZS,71.3519821166992,%
Guyana,GY,1996,EG.ELC.ACCS.ZS,71.9872665405273,%
Guyana,GY,1997,EG.ELC.ACCS.ZS,72.6191558837891,%
Guyana,GY,1998,EG.ELC.ACCS.ZS,73.246955871582,%
Guyana,GY,1999,EG.ELC.ACCS.ZS,73.8699188232422,%
Guyana,GY,2000,EG.ELC.ACCS.ZS,74.6,%
Guyana,GY,2001,EG.ELC.ACCS.ZS,75.1,%
Guyana,GY,2002,EG.ELC.ACCS.ZS,75.7,%
Guyana,GY,2003,EG.ELC.ACCS.ZS,76.2,%
Guyana,GY,2004,EG.ELC.ACCS.ZS,76.8,%
Guyana,GY,2005,EG.ELC.ACCS.ZS,77.5,%
Guyana,GY,2006,EG.ELC.ACCS.ZS,73.4,%
Guyana,GY,2007,EG.ELC.ACCS.ZS,78.5,%
Guyana,GY,2008,EG.ELC.ACCS.ZS,79.1,%
Guyana,GY,2009,EG.ELC.ACCS.ZS,77.6,%
Guyana,GY,2010,EG.ELC.ACCS.ZS,83.3,%
Guyana,GY,2011,EG.ELC.ACCS.ZS,84.2,%
Guyana,GY,2012,EG.ELC.ACCS.ZS,85.1,%
Guyana,GY,2013,EG.ELC.ACCS.ZS,86.0,%
Guyana,GY,2014,EG.ELC.ACCS.ZS,86.9,%
Guyana,GY,2015,EG.ELC.ACCS.ZS,88.0,%
Guyana,GY,2016,EG.ELC.ACCS.ZS,89.0,%
Guyana,GY,2017,EG.ELC.ACCS.ZS,90.0,%
Guyana,GY,2018,EG.ELC.ACCS.ZS,90.9,%
Guyana,GY,2019,EG.ELC.ACCS.ZS,91.6,%
Guyana,GY,2020,EG.ELC.ACCS.ZS,92.3,%
Guyana,GY,2021,EG.ELC.ACCS.ZS,92.9,%
Guyana,GY,2022,EG.ELC.ACCS.ZS,93.0,%
Guyana,GY,2023,EG.ELC.ACCS.ZS,98.9,%
Guyana,GY,2024,EG.ELC.ACCS.ZS,,%
