country,iso2c,year,indicator,value,unit
Guyana,GY,1960,FP.CPI.TOTL.ZG,,%
Guyana,GY,1961,FP.CPI.TOTL.ZG,,%
Guyana,GY,1962,FP.CPI.TOTL.ZG,,%
Guyana,GY,1963,FP.CPI.TOTL.ZG,,%
Guyana,GY,1964,FP.CPI.TOTL.ZG,,%
Guyana,GY,1965,FP.CPI.TOTL.ZG,,%
Guyana,GY,1966,FP.CPI.TOTL.ZG,,%
Guyana,GY,1967,FP.CPI.TOTL.ZG,,%
Guyana,GY,1968,FP.CPI.TOTL.ZG,,%
Guyana,GY,1969,FP.CPI.TOTL.ZG,,%
Guyana,GY,1970,FP.CPI.TOTL.ZG,,%
Guyana,GY,1971,FP.CPI.TOTL.ZG,,%
Guyana,GY,1972,FP.CPI.TOTL.ZG,,%
Guyana,GY,1973,FP.CPI.TOTL.ZG,,%
Guyana,GY,1974,FP.CPI.TOTL.ZG,,%
Guyana,GY,1975,FP.CPI.TOTL.ZG,,%
Guyana,GY,1976,FP.CPI.TOTL.ZG,,%
Guyana,GY,1977,FP.CPI.TOTL.ZG,,%
Guyana,GY,1978,FP.CPI.TOTL.ZG,,%
Guyana,GY,1979,FP.CPI.TOTL.ZG,,%
Guyana,GY,1980,FP.CPI.TOTL.ZG,,%
Guyana,GY,1981,FP.CPI.TOTL.ZG,,%
Guyana,GY,1982,FP.CPI.TOTL.ZG,,%
Guyana,GY,1983,FP.CPI.TOTL.ZG,,%
Guyana,GY,1984,FP.CPI.TOTL.ZG,,%
Guyana,GY,1985,FP.CPI.TOTL.ZG,,%
Guyana,GY,1986,FP.CPI.TOTL.ZG,,%
Guyana,GY,1987,FP.CPI.TOTL.ZG,,%
Guyana,GY,1988,FP.CPI.TOTL.ZG,,%
Guyana,GY,1989,FP.CPI.TOTL.ZG,,%
Guyana,GY,1990,FP.CPI.TOTL.ZG,,%
Guyana,GY,1991,FP.CPI.TOTL.ZG,,%
Guyana,GY,1992,FP.CPI.TOTL.ZG,,%
Guyana,GY,1993,FP.CPI.TOTL.ZG,,%
Guyana,GY,1994,FP.CPI.TOTL.ZG,,%
Guyana,GY,1995,FP.CPI.TOTL.ZG,12.2105263157895,%
Guyana,GY,1996,FP.CPI.TOTL.ZG,7.09471197276045,%
Guyana,GY,1997,FP.CPI.TOTL.ZG,3.55567090578809,%
Guyana,GY,1998,FP.CPI.TOTL.ZG,4.5864661654135,%
Guyana,GY,1999,FP.CPI.TOTL.ZG,7.53821939851393,%
Guyana,GY,2000,FP.CPI.TOTL.ZG,6.14854333024871,%
Guyana,GY,2001,FP.CPI.TOTL.ZG,2.62741314203332,%
Guyana,GY,2002,FP.CPI.TOTL.ZG,5.3410152137741,%
Guyana,GY,2003,FP.CPI.TOTL.ZG,5.98097814066473,%
Guyana,GY,2004,FP.CPI.TOTL.ZG,4.66846622369882,%
Guyana,GY,2005,FP.CPI.TOTL.ZG,6.92554303890157,%
Guyana,GY,2006,FP.CPI.TOTL.ZG,6.67715790410028,%
Guyana,GY,2007,FP.CPI.TOTL.ZG,12.2001544446648,%
Guyana,GY,2008,FP.CPI.TOTL.ZG,8.10202206969276,%
Guyana,GY,2009,FP.CPI.TOTL.ZG,2.95230096381001,%
Guyana,GY,2010,FP.CPI.TOTL.ZG,3.73337757704246,%
Guyana,GY,2011,FP.CPI.TOTL.ZG,4.9777356370697,%
Guyana,GY,2012,FP.CPI.TOTL.ZG,2.39193521312334,%
Guyana,GY,2013,FP.CPI.TOTL.ZG,1.90125181860582,%
Guyana,GY,2014,FP.CPI.TOTL.ZG,0.852630497539914,%
Guyana,GY,2015,FP.CPI.TOTL.ZG,-1.00173432776374,%
Guyana,GY,2016,FP.CPI.TOTL.ZG,0.836008061506207,%
Guyana,GY,2017,FP.CPI.TOTL.ZG,1.90465615515584,%
Guyana,GY,2018,FP.CPI.TOTL.ZG,1.28284288443528,%
Guyana,GY,2019,FP.CPI.TOTL.ZG,2.08723089162013,%
Guyana,GY,2020,FP.CPI.TOTL.ZG,0.99333702283873,%
Guyana,GY,2021,FP.CPI.TOTL.ZG,5.03285574626702,%
Guyana,GY,2022,FP.CPI.TOTL.ZG,6.11505550109935,%
Guyana,GY,2023,FP.CPI.TOTL.ZG,2.82110335099641,%
Guyana,GY,2024,FP.CPI.TOTL.ZG,2.90395226446373,%
