country,iso2c,year,indicator,value,unit
Guyana,GY,1960,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1961,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1962,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1963,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1964,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1965,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1966,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1967,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1968,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1969,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1970,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1971,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1972,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1973,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1974,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1975,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1976,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1977,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1978,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1979,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1980,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1981,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1982,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1983,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1984,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1985,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1986,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1987,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1988,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1989,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1990,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1991,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1992,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1993,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1994,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1995,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1996,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1997,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1998,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,1999,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2000,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2001,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2002,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2003,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2004,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2005,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2006,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2007,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2008,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2009,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2010,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2011,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2012,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2013,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2014,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2015,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2016,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2017,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2018,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2019,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2020,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2021,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2022,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2023,GC.TAX.TOTL.GD.ZS,,%
Guyana,GY,2024,GC.TAX.TOTL.GD.ZS,,%
