country,iso2c,year,indicator,value,unit
Guyana,GY,1960,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1961,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1962,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1963,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1964,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1965,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1966,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1967,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1968,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1969,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1970,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1971,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1972,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1973,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1974,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1975,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1976,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1977,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1978,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1979,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1980,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1981,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1982,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1983,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1984,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1985,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1986,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1987,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1988,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1989,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1990,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1991,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1992,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1993,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1994,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1995,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1996,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1997,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1998,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,1999,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2000,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2001,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2002,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2003,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2004,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2005,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2006,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2007,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2008,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2009,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2010,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2011,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2012,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2013,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2014,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2015,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2016,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2017,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2018,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2019,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2020,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2021,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2022,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2023,GC.XPN.TOTL.GD.ZS,,%
Guyana,GY,2024,GC.XPN.TOTL.GD.ZS,,%
