country,iso2c,year,indicator,value,unit
Guyana,GY,1960,IT.NET.USER.ZS,,%
Guyana,GY,1961,IT.NET.USER.ZS,,%
Guyana,GY,1962,IT.NET.USER.ZS,,%
Guyana,GY,1963,IT.NET.USER.ZS,,%
Guyana,GY,1964,IT.NET.USER.ZS,,%
Guyana,GY,1965,IT.NET.USER.ZS,,%
Guyana,GY,1966,IT.NET.USER.ZS,,%
Guyana,GY,1967,IT.NET.USER.ZS,,%
Guyana,GY,1968,IT.NET.USER.ZS,,%
Guyana,GY,1969,IT.NET.USER.ZS,,%
Guyana,GY,1970,IT.NET.USER.ZS,,%
Guyana,GY,1971,IT.NET.USER.ZS,,%
Guyana,GY,1972,IT.NET.USER.ZS,,%
Guyana,GY,1973,IT.NET.USER.ZS,,%
Guyana,GY,1974,IT.NET.USER.ZS,,%
Guyana,GY,1975,IT.NET.USER.ZS,,%
Guyana,GY,1976,IT.NET.USER.ZS,,%
Guyana,GY,1977,IT.NET.USER.ZS,,%
Guyana,GY,1978,IT.NET.USER.ZS,,%
Guyana,GY,1979,IT.NET.USER.ZS,,%
Guyana,GY,1980,IT.NET.USER.ZS,,%
Guyana,GY,1981,IT.NET.USER.ZS,,%
Guyana,GY,1982,IT.NET.USER.ZS,,%
Guyana,GY,1983,IT.NET.USER.ZS,,%
Guyana,GY,1984,IT.NET.USER.ZS,,%
Guyana,GY,1985,IT.NET.USER.ZS,,%
Guyana,GY,1986,IT.NET.USER.ZS,,%
Guyana,GY,1987,IT.NET.USER.ZS,,%
Guyana,GY,1988,IT.NET.USER.ZS,,%
Guyana,GY,1989,IT.NET.USER.ZS,,%
Guyana,GY,1990,IT.NET.USER.ZS,0.0,%
Guyana,GY,1991,IT.NET.USER.ZS,,%
Guyana,GY,1992,IT.NET.USER.ZS,,%
Guyana,GY,1993,IT.NET.USER.ZS,,%
Guyana,GY,1994,IT.NET.USER.ZS,,%
Guyana,GY,1995,IT.NET.USER.ZS,,%
Guyana,GY,1996,IT.NET.USER.ZS,0.0659,%
Guyana,GY,1997,IT.NET.USER.ZS,0.132,%
Guyana,GY,1998,IT.NET.USER.ZS,0.264,%
Guyana,GY,1999,IT.NET.USER.ZS,0.4,%
Guyana,GY,2000,IT.NET.USER.ZS,0.6,%
Guyana,GY,2001,IT.NET.USER.ZS,1.0,%
Guyana,GY,2002,IT.NET.USER.ZS,1.5,%
Guyana,GY,2003,IT.NET.USER.ZS,2.4,%
Guyana,GY,2004,IT.NET.USER.ZS,3.7,%
Guyana,GY,2005,IT.NET.USER.ZS,5.7,%
Guyana,GY,2006,IT.NET.USER.ZS,8.9,%
Guyana,GY,2007,IT.NET.USER.ZS,13.8,%
Guyana,GY,2008,IT.NET.USER.ZS,18.2,%
Guyana,GY,2009,IT.NET.USER.ZS,23.9,%
Guyana,GY,2010,IT.NET.USER.ZS,29.9,%
Guyana,GY,2011,IT.NET.USER.ZS,30.0,%
Guyana,GY,2012,IT.NET.USER.ZS,30.5,%
Guyana,GY,2013,IT.NET.USER.ZS,31.0,%
Guyana,GY,2014,IT.NET.USER.ZS,32.0,%
Guyana,GY,2015,IT.NET.USER.ZS,34.0,%
Guyana,GY,2016,IT.NET.USER.ZS,35.7,%
Guyana,GY,2017,IT.NET.USER.ZS,42.7,%
Guyana,GY,2018,IT.NET.USER.ZS,48.6,%
Guyana,GY,2019,IT.NET.USER.ZS,55.3,%
Guyana,GY,2020,IT.NET.USER.ZS,63.0,%
Guyana,GY,2021,IT.NET.USER.ZS,71.7,%
Guyana,GY,2022,IT.NET.USER.ZS,78.4,%
Guyana,GY,2023,IT.NET.USER.ZS,81.7,%
Guyana,GY,2024,IT.NET.USER.ZS,,%
