country,iso2c,year,indicator,value,unit
Guyana,GY,1960,NE.EXP.GNFS.ZS,48.7320082248115,%
Guyana,GY,1961,NE.EXP.GNFS.ZS,52.0715630885122,%
Guyana,GY,1962,NE.EXP.GNFS.ZS,56.6427289048474,%
Guyana,GY,1963,NE.EXP.GNFS.ZS,62.92731496847,%
Guyana,GY,1964,NE.EXP.GNFS.ZS,57.1129080563043,%
Guyana,GY,1965,NE.EXP.GNFS.ZS,55.2551724137931,%
Guyana,GY,1966,NE.EXP.GNFS.ZS,54.9897119341564,%
Guyana,GY,1967,NE.EXP.GNFS.ZS,57.4418057841524,%
Guyana,GY,1968,NE.EXP.GNFS.ZS,58.2372143634385,%
Guyana,GY,1969,NE.EXP.GNFS.ZS,59.2458884877657,%
Guyana,GY,1970,NE.EXP.GNFS.ZS,56.4600448095594,%
Guyana,GY,1971,NE.EXP.GNFS.ZS,58.4116291437688,%
Guyana,GY,1972,NE.EXP.GNFS.ZS,57.4670448857,%
Guyana,GY,1973,NE.EXP.GNFS.ZS,52.1867245657568,%
Guyana,GY,1974,NE.EXP.GNFS.ZS,68.3460773017702,%
Guyana,GY,1975,NE.EXP.GNFS.ZS,74.88,%
Guyana,GY,1976,NE.EXP.GNFS.ZS,66.0769298477247,%
Guyana,GY,1977,NE.EXP.GNFS.ZS,63.2079665688628,%
Guyana,GY,1978,NE.EXP.GNFS.ZS,63.0827482842944,%
Guyana,GY,1979,NE.EXP.GNFS.ZS,59.8069527184979,%
Guyana,GY,1980,NE.EXP.GNFS.ZS,81.2864655172414,%
Guyana,GY,1981,NE.EXP.GNFS.ZS,68.9229849043823,%
Guyana,GY,1982,NE.EXP.GNFS.ZS,52.7800829875519,%
Guyana,GY,1983,NE.EXP.GNFS.ZS,45.8787465940054,%
Guyana,GY,1984,NE.EXP.GNFS.ZS,44.1611518844767,%
Guyana,GY,1985,NE.EXP.GNFS.ZS,48.0871794871795,%
Guyana,GY,1986,NE.EXP.GNFS.ZS,46.3041495992696,%
Guyana,GY,1987,NE.EXP.GNFS.ZS,79.5683401563068,%
Guyana,GY,1988,NE.EXP.GNFS.ZS,63.6297719581869,%
Guyana,GY,1989,NE.EXP.GNFS.ZS,66.3407608716802,%
Guyana,GY,1990,NE.EXP.GNFS.ZS,62.706670770763,%
Guyana,GY,1991,NE.EXP.GNFS.ZS,102.314529076631,%
Guyana,GY,1992,NE.EXP.GNFS.ZS,125.748453374417,%
Guyana,GY,1993,NE.EXP.GNFS.ZS,114.322592517421,%
Guyana,GY,1994,NE.EXP.GNFS.ZS,104.951974695711,%
Guyana,GY,1995,NE.EXP.GNFS.ZS,101.210568427252,%
Guyana,GY,1996,NE.EXP.GNFS.ZS,102.621309314357,%
Guyana,GY,1997,NE.EXP.GNFS.ZS,99.6600655297052,%
Guyana,GY,1998,NE.EXP.GNFS.ZS,95.9327548902846,%
Guyana,GY,1999,NE.EXP.GNFS.ZS,96.5084717132055,%
Guyana,GY,2000,NE.EXP.GNFS.ZS,96.0799732120736,%
Guyana,GY,2001,NE.EXP.GNFS.ZS,92.8742833412542,%
Guyana,GY,2002,NE.EXP.GNFS.ZS,92.3031854232478,%
Guyana,GY,2003,NE.EXP.GNFS.ZS,89.6766919563527,%
Guyana,GY,2004,NE.EXP.GNFS.ZS,95.5626731827216,%
Guyana,GY,2005,NE.EXP.GNFS.ZS,84.6228685715672,%
Guyana,GY,2006,NE.EXP.GNFS.ZS,,%
Guyana,GY,2007,NE.EXP.GNFS.ZS,,%
Guyana,GY,2008,NE.EXP.GNFS.ZS,,%
Guyana,GY,2009,NE.EXP.GNFS.ZS,,%
Guyana,GY,2010,NE.EXP.GNFS.ZS,,%
Guyana,GY,2011,NE.EXP.GNFS.ZS,,%
Guyana,GY,2012,NE.EXP.GNFS.ZS,,%
Guyana,GY,2013,NE.EXP.GNFS.ZS,,%
Guyana,GY,2014,NE.EXP.GNFS.ZS,,%
Guyana,GY,2015,NE.EXP.GNFS.ZS,,%
Guyana,GY,2016,NE.EXP.GNFS.ZS,,%
Guyana,GY,2017,NE.EXP.GNFS.ZS,,%
Guyana,GY,2018,NE.EXP.GNFS.ZS,,%
Guyana,GY,2019,NE.EXP.GNFS.ZS,,%
Guyana,GY,2020,NE.EXP.GNFS.ZS,,%
Guyana,GY,2021,NE.EXP.GNFS.ZS,,%
Guyana,GY,2022,NE.EXP.GNFS.ZS,,%
Guyana,GY,2023,NE.EXP.GNFS.ZS,,%
Guyana,GY,2024,NE.EXP.GNFS.ZS,,%
