country,iso2c,year,indicator,value,unit
Guyana,GY,1960,NE.GDI.TOTL.ZS,28.2727895819054,%
Guyana,GY,1961,NE.GDI.TOTL.ZS,23.9799121155053,%
Guyana,GY,1962,NE.GDI.TOTL.ZS,16.6367444643926,%
Guyana,GY,1963,NE.GDI.TOTL.ZS,16.8934616661135,%
Guyana,GY,1964,NE.GDI.TOTL.ZS,16.052710392333,%
Guyana,GY,1965,NE.GDI.TOTL.ZS,22.2344827586207,%
Guyana,GY,1966,NE.GDI.TOTL.ZS,23.8683127572016,%
Guyana,GY,1967,NE.GDI.TOTL.ZS,25.8170703033153,%
Guyana,GY,1968,NE.GDI.TOTL.ZS,22.2633297062024,%
Guyana,GY,1969,NE.GDI.TOTL.ZS,20.8182912154031,%
Guyana,GY,1970,NE.GDI.TOTL.ZS,22.7595220313667,%
Guyana,GY,1971,NE.GDI.TOTL.ZS,18.6314483247651,%
Guyana,GY,1972,NE.GDI.TOTL.ZS,19.8398131153012,%
Guyana,GY,1973,NE.GDI.TOTL.ZS,27.2177419354839,%
Guyana,GY,1974,NE.GDI.TOTL.ZS,26.4062009008065,%
Guyana,GY,1975,NE.GDI.TOTL.ZS,33.0610526315789,%
Guyana,GY,1976,NE.GDI.TOTL.ZS,37.4526890238535,%
Guyana,GY,1977,NE.GDI.TOTL.ZS,29.0744198452921,%
Guyana,GY,1978,NE.GDI.TOTL.ZS,20.5095842865031,%
Guyana,GY,1979,NE.GDI.TOTL.ZS,30.9931377724154,%
Guyana,GY,1980,NE.GDI.TOTL.ZS,32.7586206896552,%
Guyana,GY,1981,NE.GDI.TOTL.ZS,31.3713231916921,%
Guyana,GY,1982,NE.GDI.TOTL.ZS,24.9654218533887,%
Guyana,GY,1983,NE.GDI.TOTL.ZS,21.3896457765668,%
Guyana,GY,1984,NE.GDI.TOTL.ZS,27.4203230655248,%
Guyana,GY,1985,NE.GDI.TOTL.ZS,35.7948717948718,%
Guyana,GY,1986,NE.GDI.TOTL.ZS,40.1382506976152,%
Guyana,GY,1987,NE.GDI.TOTL.ZS,31.1079098961753,%
Guyana,GY,1988,NE.GDI.TOTL.ZS,21.1454814196588,%
Guyana,GY,1989,NE.GDI.TOTL.ZS,22.2362055509897,%
Guyana,GY,1990,NE.GDI.TOTL.ZS,31.1330985432403,%
Guyana,GY,1991,NE.GDI.TOTL.ZS,39.7631504388441,%
Guyana,GY,1992,NE.GDI.TOTL.ZS,51.7513262292977,%
Guyana,GY,1993,NE.GDI.TOTL.ZS,40.4281413639131,%
Guyana,GY,1994,NE.GDI.TOTL.ZS,27.222877791562,%
Guyana,GY,1995,NE.GDI.TOTL.ZS,33.2286832637757,%
Guyana,GY,1996,NE.GDI.TOTL.ZS,31.8572069303129,%
Guyana,GY,1997,NE.GDI.TOTL.ZS,31.8879419916993,%
Guyana,GY,1998,NE.GDI.TOTL.ZS,28.9207551153805,%
Guyana,GY,1999,NE.GDI.TOTL.ZS,24.9979547163444,%
Guyana,GY,2000,NE.GDI.TOTL.ZS,23.7759824891985,%
Guyana,GY,2001,NE.GDI.TOTL.ZS,21.5703446978272,%
Guyana,GY,2002,NE.GDI.TOTL.ZS,20.8604990254453,%
Guyana,GY,2003,NE.GDI.TOTL.ZS,20.952115865171,%
Guyana,GY,2004,NE.GDI.TOTL.ZS,23.5456808733306,%
Guyana,GY,2005,NE.GDI.TOTL.ZS,32.3339782741868,%
Guyana,GY,2006,NE.GDI.TOTL.ZS,,%
Guyana,GY,2007,NE.GDI.TOTL.ZS,,%
Guyana,GY,2008,NE.GDI.TOTL.ZS,,%
Guyana,GY,2009,NE.GDI.TOTL.ZS,,%
Guyana,GY,2010,NE.GDI.TOTL.ZS,,%
Guyana,GY,2011,NE.GDI.TOTL.ZS,,%
Guyana,GY,2012,NE.GDI.TOTL.ZS,,%
Guyana,GY,2013,NE.GDI.TOTL.ZS,,%
Guyana,GY,2014,NE.GDI.TOTL.ZS,,%
Guyana,GY,2015,NE.GDI.TOTL.ZS,,%
Guyana,GY,2016,NE.GDI.TOTL.ZS,,%
Guyana,GY,2017,NE.GDI.TOTL.ZS,,%
Guyana,GY,2018,NE.GDI.TOTL.ZS,,%
Guyana,GY,2019,NE.GDI.TOTL.ZS,,%
Guyana,GY,2020,NE.GDI.TOTL.ZS,,%
Guyana,GY,2021,NE.GDI.TOTL.ZS,,%
Guyana,GY,2022,NE.GDI.TOTL.ZS,,%
Guyana,GY,2023,NE.GDI.TOTL.ZS,,%
Guyana,GY,2024,NE.GDI.TOTL.ZS,,%
