country,iso2c,year,indicator,value,unit
Guyana,GY,1960,NE.TRD.GNFS.ZS,105.688827964359,%
Guyana,GY,1961,NE.TRD.GNFS.ZS,105.053358443189,%
Guyana,GY,1962,NE.TRD.GNFS.ZS,101.526032315978,%
Guyana,GY,1963,NE.TRD.GNFS.ZS,109.060736807169,%
Guyana,GY,1964,NE.TRD.GNFS.ZS,110.631925726265,%
Guyana,GY,1965,NE.TRD.GNFS.ZS,112.910344827586,%
Guyana,GY,1966,NE.TRD.GNFS.ZS,115.149176954732,%
Guyana,GY,1967,NE.TRD.GNFS.ZS,117.234893016694,%
Guyana,GY,1968,NE.TRD.GNFS.ZS,113.384113166485,%
Guyana,GY,1969,NE.TRD.GNFS.ZS,114.68110709988,%
Guyana,GY,1970,NE.TRD.GNFS.ZS,113.461538461538,%
Guyana,GY,1971,NE.TRD.GNFS.ZS,113.100514093246,%
Guyana,GY,1972,NE.TRD.GNFS.ZS,116.235608209578,%
Guyana,GY,1973,NE.TRD.GNFS.ZS,121.076302729529,%
Guyana,GY,1974,NE.TRD.GNFS.ZS,134.764847596103,%
Guyana,GY,1975,NE.TRD.GNFS.ZS,149.785263157895,%
Guyana,GY,1976,NE.TRD.GNFS.ZS,157.081242848341,%
Guyana,GY,1977,NE.TRD.GNFS.ZS,141.975637947897,%
Guyana,GY,1978,NE.TRD.GNFS.ZS,126.181273171886,%
Guyana,GY,1979,NE.TRD.GNFS.ZS,129.032501319659,%
Guyana,GY,1980,NE.TRD.GNFS.ZS,174.927049071618,%
Guyana,GY,1981,NE.TRD.GNFS.ZS,161.233579288264,%
Guyana,GY,1982,NE.TRD.GNFS.ZS,122.863070539419,%
Guyana,GY,1983,NE.TRD.GNFS.ZS,110.456403269755,%
Guyana,GY,1984,NE.TRD.GNFS.ZS,95.5201385736537,%
Guyana,GY,1985,NE.TRD.GNFS.ZS,109.969230769231,%
Guyana,GY,1986,NE.TRD.GNFS.ZS,99.516133618255,%
Guyana,GY,1987,NE.TRD.GNFS.ZS,170.330924594794,%
Guyana,GY,1988,NE.TRD.GNFS.ZS,131.561143826997,%
Guyana,GY,1989,NE.TRD.GNFS.ZS,139.874165917183,%
Guyana,GY,1990,NE.TRD.GNFS.ZS,142.566230803686,%
Guyana,GY,1991,NE.TRD.GNFS.ZS,222.609089719242,%
Guyana,GY,1992,NE.TRD.GNFS.ZS,274.973115932726,%
Guyana,GY,1993,NE.TRD.GNFS.ZS,245.369438806576,%
Guyana,GY,1994,NE.TRD.GNFS.ZS,222.067842666328,%
Guyana,GY,1995,NE.TRD.GNFS.ZS,213.32717044128,%
Guyana,GY,1996,NE.TRD.GNFS.ZS,211.337532492477,%
Guyana,GY,1997,NE.TRD.GNFS.ZS,209.136671614275,%
Guyana,GY,1998,NE.TRD.GNFS.ZS,203.842431497026,%
Guyana,GY,1999,NE.TRD.GNFS.ZS,201.05931477536,%
Guyana,GY,2000,NE.TRD.GNFS.ZS,206.767370475214,%
Guyana,GY,2001,NE.TRD.GNFS.ZS,199.577000730114,%
Guyana,GY,2002,NE.TRD.GNFS.ZS,196.72507835983,%
Guyana,GY,2003,NE.TRD.GNFS.ZS,189.162485631386,%
Guyana,GY,2004,NE.TRD.GNFS.ZS,200.725286901642,%
Guyana,GY,2005,NE.TRD.GNFS.ZS,194.350757310172,%
Guyana,GY,2006,NE.TRD.GNFS.ZS,,%
Guyana,GY,2007,NE.TRD.GNFS.ZS,,%
Guyana,GY,2008,NE.TRD.GNFS.ZS,,%
Guyana,GY,2009,NE.TRD.GNFS.ZS,,%
Guyana,GY,2010,NE.TRD.GNFS.ZS,,%
Guyana,GY,2011,NE.TRD.GNFS.ZS,,%
Guyana,GY,2012,NE.TRD.GNFS.ZS,,%
Guyana,GY,2013,NE.TRD.GNFS.ZS,,%
Guyana,GY,2014,NE.TRD.GNFS.ZS,,%
Guyana,GY,2015,NE.TRD.GNFS.ZS,,%
Guyana,GY,2016,NE.TRD.GNFS.ZS,,%
Guyana,GY,2017,NE.TRD.GNFS.ZS,,%
Guyana,GY,2018,NE.TRD.GNFS.ZS,,%
Guyana,GY,2019,NE.TRD.GNFS.ZS,,%
Guyana,GY,2020,NE.TRD.GNFS.ZS,,%
Guyana,GY,2021,NE.TRD.GNFS.ZS,,%
Guyana,GY,2022,NE.TRD.GNFS.ZS,,%
Guyana,GY,2023,NE.TRD.GNFS.ZS,,%
Guyana,GY,2024,NE.TRD.GNFS.ZS,,%
