country,iso2c,year,indicator,value,unit
Guyana,GY,1960,NV.AGR.TOTL.ZS,23.5777930089102,%
Guyana,GY,1961,NV.AGR.TOTL.ZS,23.8543628374137,%
Guyana,GY,1962,NV.AGR.TOTL.ZS,23.4590065828845,%
Guyana,GY,1963,NV.AGR.TOTL.ZS,24.4606704281447,%
Guyana,GY,1964,NV.AGR.TOTL.ZS,21.9526804432465,%
Guyana,GY,1965,NV.AGR.TOTL.ZS,21.5724137931034,%
Guyana,GY,1966,NV.AGR.TOTL.ZS,19.0843621399177,%
Guyana,GY,1967,NV.AGR.TOTL.ZS,18.8337644015989,%
Guyana,GY,1968,NV.AGR.TOTL.ZS,17.3667029379761,%
Guyana,GY,1969,NV.AGR.TOTL.ZS,17.9302045728039,%
Guyana,GY,1970,NV.AGR.TOTL.ZS,16.8222554144884,%
Guyana,GY,1971,NV.AGR.TOTL.ZS,18.028718312356,%
Guyana,GY,1972,NV.AGR.TOTL.ZS,17.3869514433506,%
Guyana,GY,1973,NV.AGR.TOTL.ZS,16.4857320099256,%
Guyana,GY,1974,NV.AGR.TOTL.ZS,27.6631402534828,%
Guyana,GY,1975,NV.AGR.TOTL.ZS,28.7494736842105,%
Guyana,GY,1976,NV.AGR.TOTL.ZS,20.7728192940762,%
Guyana,GY,1977,NV.AGR.TOTL.ZS,18.7427758513381,%
Guyana,GY,1978,NV.AGR.TOTL.ZS,20.2413820304488,%
Guyana,GY,1979,NV.AGR.TOTL.ZS,19.8702963577407,%
Guyana,GY,1980,NV.AGR.TOTL.ZS,20.6896551724138,%
Guyana,GY,1981,NV.AGR.TOTL.ZS,18.7852234680791,%
Guyana,GY,1982,NV.AGR.TOTL.ZS,20.1936376210235,%
Guyana,GY,1983,NV.AGR.TOTL.ZS,19.8228882833787,%
Guyana,GY,1984,NV.AGR.TOTL.ZS,20.8659037362656,%
Guyana,GY,1985,NV.AGR.TOTL.ZS,22.5128205128205,%
Guyana,GY,1986,NV.AGR.TOTL.ZS,22.5806462018731,%
Guyana,GY,1987,NV.AGR.TOTL.ZS,25.8705028526474,%
Guyana,GY,1988,NV.AGR.TOTL.ZS,22.619623552915,%
Guyana,GY,1989,NV.AGR.TOTL.ZS,35.0629265283404,%
Guyana,GY,1990,NV.AGR.TOTL.ZS,38.1295897145071,%
Guyana,GY,1991,NV.AGR.TOTL.ZS,40.5225068008007,%
Guyana,GY,1992,NV.AGR.TOTL.ZS,43.7946676937562,%
Guyana,GY,1993,NV.AGR.TOTL.ZS,36.6788444624856,%
Guyana,GY,1994,NV.AGR.TOTL.ZS,37.9503478599631,%
Guyana,GY,1995,NV.AGR.TOTL.ZS,40.8582643553404,%
Guyana,GY,1996,NV.AGR.TOTL.ZS,37.7689587112219,%
Guyana,GY,1997,NV.AGR.TOTL.ZS,36.3533243799035,%
Guyana,GY,1998,NV.AGR.TOTL.ZS,33.9058533127603,%
Guyana,GY,1999,NV.AGR.TOTL.ZS,35.0139494280703,%
Guyana,GY,2000,NV.AGR.TOTL.ZS,29.9832313022935,%
Guyana,GY,2001,NV.AGR.TOTL.ZS,29.7373837926656,%
Guyana,GY,2002,NV.AGR.TOTL.ZS,30.8816641067377,%
Guyana,GY,2003,NV.AGR.TOTL.ZS,32.1128109729009,%
Guyana,GY,2004,NV.AGR.TOTL.ZS,31.4937319776355,%
Guyana,GY,2005,NV.AGR.TOTL.ZS,28.8858697300346,%
Guyana,GY,2006,NV.AGR.TOTL.ZS,34.0002671058965,%
Guyana,GY,2007,NV.AGR.TOTL.ZS,30.3847427538396,%
Guyana,GY,2008,NV.AGR.TOTL.ZS,31.7275647737363,%
Guyana,GY,2009,NV.AGR.TOTL.ZS,29.4241191257626,%
Guyana,GY,2010,NV.AGR.TOTL.ZS,28.5284323037662,%
Guyana,GY,2011,NV.AGR.TOTL.ZS,25.6836014005978,%
Guyana,GY,2012,NV.AGR.TOTL.ZS,25.4400079005114,%
Guyana,GY,2013,NV.AGR.TOTL.ZS,25.6475733667273,%
Guyana,GY,2014,NV.AGR.TOTL.ZS,24.5940865009998,%
Guyana,GY,2015,NV.AGR.TOTL.ZS,25.4431214761023,%
Guyana,GY,2016,NV.AGR.TOTL.ZS,20.3872409058451,%
Guyana,GY,2017,NV.AGR.TOTL.ZS,22.7580270434004,%
Guyana,GY,2018,NV.AGR.TOTL.ZS,19.5356933126322,%
Guyana,GY,2019,NV.AGR.TOTL.ZS,17.5953367342493,%
Guyana,GY,2020,NV.AGR.TOTL.ZS,16.8510033249851,%
Guyana,GY,2021,NV.AGR.TOTL.ZS,13.4551932931892,%
Guyana,GY,2022,NV.AGR.TOTL.ZS,10.0298359219808,%
Guyana,GY,2023,NV.AGR.TOTL.ZS,9.74362070901044,%
Guyana,GY,2024,NV.AGR.TOTL.ZS,8.024044346278,%
