country,iso2c,year,indicator,value,unit
Guyana,GY,1960,NV.IND.TOTL.ZS,27.8615490061686,%
Guyana,GY,1961,NV.IND.TOTL.ZS,28.1230382925298,%
Guyana,GY,1962,NV.IND.TOTL.ZS,31.8073010173549,%
Guyana,GY,1963,NV.IND.TOTL.ZS,29.6382343179555,%
Guyana,GY,1964,NV.IND.TOTL.ZS,31.6262353998203,%
Guyana,GY,1965,NV.IND.TOTL.ZS,31.3931034482759,%
Guyana,GY,1966,NV.IND.TOTL.ZS,31.6872427983539,%
Guyana,GY,1967,NV.IND.TOTL.ZS,32.518222431225,%
Guyana,GY,1968,NV.IND.TOTL.ZS,34.4722524483134,%
Guyana,GY,1969,NV.IND.TOTL.ZS,34.8776574408343,%
Guyana,GY,1970,NV.IND.TOTL.ZS,35.3435399551904,%
Guyana,GY,1971,NV.IND.TOTL.ZS,33.7883354015245,%
Guyana,GY,1972,NV.IND.TOTL.ZS,32.7548806941432,%
Guyana,GY,1973,NV.IND.TOTL.ZS,29.7456575682382,%
Guyana,GY,1974,NV.IND.TOTL.ZS,30.1455954750183,%
Guyana,GY,1975,NV.IND.TOTL.ZS,31.7389473684211,%
Guyana,GY,1976,NV.IND.TOTL.ZS,32.1186515271543,%
Guyana,GY,1977,NV.IND.TOTL.ZS,32.3641860051569,%
Guyana,GY,1978,NV.IND.TOTL.ZS,30.8432594462412,%
Guyana,GY,1979,NV.IND.TOTL.ZS,30.2013422818792,%
Guyana,GY,1980,NV.IND.TOTL.ZS,31.6976127320955,%
Guyana,GY,1981,NV.IND.TOTL.ZS,25.7983735628287,%
Guyana,GY,1982,NV.IND.TOTL.ZS,25.0345781466113,%
Guyana,GY,1983,NV.IND.TOTL.ZS,18.5967302452316,%
Guyana,GY,1984,NV.IND.TOTL.ZS,20.5652422991436,%
Guyana,GY,1985,NV.IND.TOTL.ZS,20.6666666666667,%
Guyana,GY,1986,NV.IND.TOTL.ZS,22.9493098133322,%
Guyana,GY,1987,NV.IND.TOTL.ZS,26.0143877405932,%
Guyana,GY,1988,NV.IND.TOTL.ZS,25.7612379352643,%
Guyana,GY,1989,NV.IND.TOTL.ZS,25.8664100212823,%
Guyana,GY,1990,NV.IND.TOTL.ZS,17.3954682692168,%
Guyana,GY,1991,NV.IND.TOTL.ZS,20.2124929425653,%
Guyana,GY,1992,NV.IND.TOTL.ZS,16.5061839346086,%
Guyana,GY,1993,NV.IND.TOTL.ZS,23.5521953859685,%
Guyana,GY,1994,NV.IND.TOTL.ZS,24.2222894488753,%
Guyana,GY,1995,NV.IND.TOTL.ZS,21.0125627256378,%
Guyana,GY,1996,NV.IND.TOTL.ZS,22.609274540493,%
Guyana,GY,1997,NV.IND.TOTL.ZS,21.8489282031611,%
Guyana,GY,1998,NV.IND.TOTL.ZS,20.8727614415892,%
Guyana,GY,1999,NV.IND.TOTL.ZS,19.8989207280821,%
Guyana,GY,2000,NV.IND.TOTL.ZS,20.0012299787296,%
Guyana,GY,2001,NV.IND.TOTL.ZS,20.0826363267013,%
Guyana,GY,2002,NV.IND.TOTL.ZS,19.6492758825796,%
Guyana,GY,2003,NV.IND.TOTL.ZS,18.0496168369614,%
Guyana,GY,2004,NV.IND.TOTL.ZS,17.1139253470055,%
Guyana,GY,2005,NV.IND.TOTL.ZS,16.6691938643683,%
Guyana,GY,2006,NV.IND.TOTL.ZS,22.0716791428299,%
Guyana,GY,2007,NV.IND.TOTL.ZS,23.6589377907829,%
Guyana,GY,2008,NV.IND.TOTL.ZS,24.7390950750695,%
Guyana,GY,2009,NV.IND.TOTL.ZS,24.5699983117448,%
Guyana,GY,2010,NV.IND.TOTL.ZS,24.9027270750604,%
Guyana,GY,2011,NV.IND.TOTL.ZS,26.4538770719167,%
Guyana,GY,2012,NV.IND.TOTL.ZS,26.5877498717371,%
Guyana,GY,2013,NV.IND.TOTL.ZS,25.6280649781202,%
Guyana,GY,2014,NV.IND.TOTL.ZS,24.3921272261287,%
Guyana,GY,2015,NV.IND.TOTL.ZS,24.7187387911341,%
Guyana,GY,2016,NV.IND.TOTL.ZS,29.382927306177,%
Guyana,GY,2017,NV.IND.TOTL.ZS,26.2070906824899,%
Guyana,GY,2018,NV.IND.TOTL.ZS,26.2597639752552,%
Guyana,GY,2019,NV.IND.TOTL.ZS,28.6893186333175,%
Guyana,GY,2020,NV.IND.TOTL.ZS,38.7960801467797,%
Guyana,GY,2021,NV.IND.TOTL.ZS,50.3895924190516,%
Guyana,GY,2022,NV.IND.TOTL.ZS,67.8206416613225,%
Guyana,GY,2023,NV.IND.TOTL.ZS,69.3012744407667,%
Guyana,GY,2024,NV.IND.TOTL.ZS,74.2990525380889,%
