country,iso2c,year,indicator,value,unit
Guyana,GY,1960,NY.GDP.MKTP.CD,170216241.126064,US$
Guyana,GY,1961,NY.GDP.MKTP.CD,185849535.376162,US$
Guyana,GY,1962,NY.GDP.MKTP.CD,194949512.626218,US$
Guyana,GY,1963,NY.GDP.MKTP.CD,175757893.938598,US$
Guyana,GY,1964,NY.GDP.MKTP.CD,194774513.063717,US$
Guyana,GY,1965,NY.GDP.MKTP.CD,213235294.117647,US$
Guyana,GY,1966,NY.GDP.MKTP.CD,228705882.352941,US$
Guyana,GY,1967,NY.GDP.MKTP.CD,250176470.588235,US$
Guyana,GY,1968,NY.GDP.MKTP.CD,229750000.0,US$
Guyana,GY,1969,NY.GDP.MKTP.CD,249300000.0,US$
Guyana,GY,1970,NY.GDP.MKTP.CD,267800000.0,US$
Guyana,GY,1971,NY.GDP.MKTP.CD,282050000.0,US$
Guyana,GY,1972,NY.GDP.MKTP.CD,285380952.380952,US$
Guyana,GY,1973,NY.GDP.MKTP.CD,307047619.047619,US$
Guyana,GY,1974,NY.GDP.MKTP.CD,433954545.454545,US$
Guyana,GY,1975,NY.GDP.MKTP.CD,494791666.666667,US$
Guyana,GY,1976,NY.GDP.MKTP.CD,454440000.0,US$
Guyana,GY,1977,NY.GDP.MKTP.CD,449880000.0,US$
Guyana,GY,1978,NY.GDP.MKTP.CD,507080000.0,US$
Guyana,GY,1979,NY.GDP.MKTP.CD,530440000.0,US$
Guyana,GY,1980,NY.GDP.MKTP.CD,603200000.0,US$
Guyana,GY,1981,NY.GDP.MKTP.CD,570357107.142857,US$
Guyana,GY,1982,NY.GDP.MKTP.CD,482000000.0,US$
Guyana,GY,1983,NY.GDP.MKTP.CD,489333333.333333,US$
Guyana,GY,1984,NY.GDP.MKTP.CD,437631605.263158,US$
Guyana,GY,1985,NY.GDP.MKTP.CD,453488372.093023,US$
Guyana,GY,1986,NY.GDP.MKTP.CD,504651139.534884,US$
Guyana,GY,1987,NY.GDP.MKTP.CD,354591846.938775,US$
Guyana,GY,1988,NY.GDP.MKTP.CD,413799990.0,US$
Guyana,GY,1989,NY.GDP.MKTP.CD,379779389.705882,US$
Guyana,GY,1990,NY.GDP.MKTP.CD,396582263.291139,US$
Guyana,GY,1991,NY.GDP.MKTP.CD,348533094.812165,US$
Guyana,GY,1992,NY.GDP.MKTP.CD,373573141.486811,US$
Guyana,GY,1993,NY.GDP.MKTP.CD,454101382.488479,US$
Guyana,GY,1994,NY.GDP.MKTP.CD,540874934.201012,US$
Guyana,GY,1995,NY.GDP.MKTP.CD,621626785.915493,US$
Guyana,GY,1996,NY.GDP.MKTP.CD,705406001.424501,US$
Guyana,GY,1997,NY.GDP.MKTP.CD,749138009.56454,US$
Guyana,GY,1998,NY.GDP.MKTP.CD,717530683.169567,US$
Guyana,GY,1999,NY.GDP.MKTP.CD,694754988.258295,US$
Guyana,GY,2000,NY.GDP.MKTP.CD,712667896.727512,US$
Guyana,GY,2001,NY.GDP.MKTP.CD,712167450.162898,US$
Guyana,GY,2002,NY.GDP.MKTP.CD,726131434.715338,US$
Guyana,GY,2003,NY.GDP.MKTP.CD,743063950.317749,US$
Guyana,GY,2004,NY.GDP.MKTP.CD,787814379.183843,US$
Guyana,GY,2005,NY.GDP.MKTP.CD,824880550.343965,US$
Guyana,GY,2006,NY.GDP.MKTP.CD,2379817990.6918,US$
Guyana,GY,2007,NY.GDP.MKTP.CD,2730971595.39574,US$
Guyana,GY,2008,NY.GDP.MKTP.CD,3025187433.33637,US$
Guyana,GY,2009,NY.GDP.MKTP.CD,3165663152.73351,US$
Guyana,GY,2010,NY.GDP.MKTP.CD,3432912516.92427,US$
Guyana,GY,2011,NY.GDP.MKTP.CD,3691384317.52178,US$
Guyana,GY,2012,NY.GDP.MKTP.CD,4063088535.76331,US$
Guyana,GY,2013,NY.GDP.MKTP.CD,4167800928.83553,US$
Guyana,GY,2014,NY.GDP.MKTP.CD,4127660151.8087,US$
Guyana,GY,2015,NY.GDP.MKTP.CD,4279840193.7046,US$
Guyana,GY,2016,NY.GDP.MKTP.CD,4482697336.56174,US$
Guyana,GY,2017,NY.GDP.MKTP.CD,4748174334.14044,US$
Guyana,GY,2018,NY.GDP.MKTP.CD,4787636997.85343,US$
Guyana,GY,2019,NY.GDP.MKTP.CD,5173760191.84652,US$
Guyana,GY,2020,NY.GDP.MKTP.CD,5471256594.72422,US$
Guyana,GY,2021,NY.GDP.MKTP.CD,8041362110.31175,US$
Guyana,GY,2022,NY.GDP.MKTP.CD,14718388489.2086,US$
Guyana,GY,2023,NY.GDP.MKTP.CD,16918503597.1223,US$
Guyana,GY,2024,NY.GDP.MKTP.CD,24835899825.8993,US$
