country,iso2c,year,indicator,value,unit
Guyana,GY,1960,NY.GDP.PCAP.CD,299.074645785091,US$
Guyana,GY,1961,NY.GDP.PCAP.CD,319.017754796284,US$
Guyana,GY,1962,NY.GDP.PCAP.CD,327.392579238974,US$
Guyana,GY,1963,NY.GDP.PCAP.CD,288.820390442321,US$
Guyana,GY,1964,NY.GDP.PCAP.CD,313.261161893769,US$
Guyana,GY,1965,NY.GDP.PCAP.CD,335.73593687831,US$
Guyana,GY,1966,NY.GDP.PCAP.CD,352.589675035291,US$
Guyana,GY,1967,NY.GDP.PCAP.CD,377.732621967981,US$
Guyana,GY,1968,NY.GDP.PCAP.CD,339.786441079035,US$
Guyana,GY,1969,NY.GDP.PCAP.CD,361.187616176221,US$
Guyana,GY,1970,NY.GDP.PCAP.CD,381.098754100227,US$
Guyana,GY,1971,NY.GDP.PCAP.CD,395.769663599294,US$
Guyana,GY,1972,NY.GDP.PCAP.CD,395.474264576572,US$
Guyana,GY,1973,NY.GDP.PCAP.CD,420.533678630093,US$
Guyana,GY,1974,NY.GDP.PCAP.CD,587.968877003464,US$
Guyana,GY,1975,NY.GDP.PCAP.CD,663.799722651899,US$
Guyana,GY,1976,NY.GDP.PCAP.CD,604.105267775602,US$
Guyana,GY,1977,NY.GDP.PCAP.CD,592.99759837818,US$
Guyana,GY,1978,NY.GDP.PCAP.CD,663.208586084495,US$
Guyana,GY,1979,NY.GDP.PCAP.CD,688.827652838343,US$
Guyana,GY,1980,NY.GDP.PCAP.CD,778.958814102357,US$
Guyana,GY,1981,NY.GDP.PCAP.CD,734.567458871119,US$
Guyana,GY,1982,NY.GDP.PCAP.CD,620.564636570569,US$
Guyana,GY,1983,NY.GDP.PCAP.CD,630.672779209107,US$
Guyana,GY,1984,NY.GDP.PCAP.CD,565.33443558244,US$
Guyana,GY,1985,NY.GDP.PCAP.CD,587.818395225034,US$
Guyana,GY,1986,NY.GDP.PCAP.CD,657.014000212061,US$
Guyana,GY,1987,NY.GDP.PCAP.CD,464.052566270711,US$
Guyana,GY,1988,NY.GDP.PCAP.CD,544.715209244099,US$
Guyana,GY,1989,NY.GDP.PCAP.CD,503.109019103922,US$
Guyana,GY,1990,NY.GDP.PCAP.CD,528.851095342994,US$
Guyana,GY,1991,NY.GDP.PCAP.CD,466.039938988882,US$
Guyana,GY,1992,NY.GDP.PCAP.CD,498.156636569954,US$
Guyana,GY,1993,NY.GDP.PCAP.CD,603.084316652805,US$
Guyana,GY,1994,NY.GDP.PCAP.CD,715.611525201717,US$
Guyana,GY,1995,NY.GDP.PCAP.CD,819.668541584905,US$
Guyana,GY,1996,NY.GDP.PCAP.CD,927.523847211669,US$
Guyana,GY,1997,NY.GDP.PCAP.CD,982.804753805587,US$
Guyana,GY,1998,NY.GDP.PCAP.CD,939.685488169724,US$
Guyana,GY,1999,NY.GDP.PCAP.CD,908.790631391797,US$
Guyana,GY,2000,NY.GDP.PCAP.CD,931.796651718955,US$
Guyana,GY,2001,NY.GDP.PCAP.CD,931.574723847673,US$
Guyana,GY,2002,NY.GDP.PCAP.CD,950.866932470993,US$
Guyana,GY,2003,NY.GDP.PCAP.CD,973.742598054188,US$
Guyana,GY,2004,NY.GDP.PCAP.CD,1033.31030902188,US$
Guyana,GY,2005,NY.GDP.PCAP.CD,1084.06541388904,US$
Guyana,GY,2006,NY.GDP.PCAP.CD,3135.60553528326,US$
Guyana,GY,2007,NY.GDP.PCAP.CD,3608.28685240188,US$
Guyana,GY,2008,NY.GDP.PCAP.CD,4008.9628671603,US$
Guyana,GY,2009,NY.GDP.PCAP.CD,4209.13230624565,US$
Guyana,GY,2010,NY.GDP.PCAP.CD,4581.76179693492,US$
Guyana,GY,2011,NY.GDP.PCAP.CD,4947.22170589917,US$
Guyana,GY,2012,NY.GDP.PCAP.CD,5444.39751913913,US$
Guyana,GY,2013,NY.GDP.PCAP.CD,5556.91231156932,US$
Guyana,GY,2014,NY.GDP.PCAP.CD,5472.68820452237,US$
Guyana,GY,2015,NY.GDP.PCAP.CD,5640.41560569466,US$
Guyana,GY,2016,NY.GDP.PCAP.CD,5870.87823759835,US$
Guyana,GY,2017,NY.GDP.PCAP.CD,6178.6650437298,US$
Guyana,GY,2018,NY.GDP.PCAP.CD,6048.38697180418,US$
Guyana,GY,2019,NY.GDP.PCAP.CD,6405.82443444562,US$
Guyana,GY,2020,NY.GDP.PCAP.CD,6775.70939096303,US$
Guyana,GY,2021,NY.GDP.PCAP.CD,9860.87014834386,US$
Guyana,GY,2022,NY.GDP.PCAP.CD,17913.4928066879,US$
Guyana,GY,2023,NY.GDP.PCAP.CD,20473.7002190617,US$
Guyana,GY,2024,NY.GDP.PCAP.CD,29883.6341152001,US$
