country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SE.ADT.LITR.ZS,,%
Guyana,GY,1961,SE.ADT.LITR.ZS,,%
Guyana,GY,1962,SE.ADT.LITR.ZS,,%
Guyana,GY,1963,SE.ADT.LITR.ZS,,%
Guyana,GY,1964,SE.ADT.LITR.ZS,,%
Guyana,GY,1965,SE.ADT.LITR.ZS,,%
Guyana,GY,1966,SE.ADT.LITR.ZS,,%
Guyana,GY,1967,SE.ADT.LITR.ZS,,%
Guyana,GY,1968,SE.ADT.LITR.ZS,,%
Guyana,GY,1969,SE.ADT.LITR.ZS,,%
Guyana,GY,1970,SE.ADT.LITR.ZS,,%
Guyana,GY,1971,SE.ADT.LITR.ZS,,%
Guyana,GY,1972,SE.ADT.LITR.ZS,,%
Guyana,GY,1973,SE.ADT.LITR.ZS,,%
Guyana,GY,1974,SE.ADT.LITR.ZS,,%
Guyana,GY,1975,SE.ADT.LITR.ZS,,%
Guyana,GY,1976,SE.ADT.LITR.ZS,,%
Guyana,GY,1977,SE.ADT.LITR.ZS,,%
Guyana,GY,1978,SE.ADT.LITR.ZS,,%
Guyana,GY,1979,SE.ADT.LITR.ZS,,%
Guyana,GY,1980,SE.ADT.LITR.ZS,,%
Guyana,GY,1981,SE.ADT.LITR.ZS,,%
Guyana,GY,1982,SE.ADT.LITR.ZS,,%
Guyana,GY,1983,SE.ADT.LITR.ZS,,%
Guyana,GY,1984,SE.ADT.LITR.ZS,,%
Guyana,GY,1985,SE.ADT.LITR.ZS,,%
Guyana,GY,1986,SE.ADT.LITR.ZS,,%
Guyana,GY,1987,SE.ADT.LITR.ZS,,%
Guyana,GY,1988,SE.ADT.LITR.ZS,,%
Guyana,GY,1989,SE.ADT.LITR.ZS,,%
Guyana,GY,1990,SE.ADT.LITR.ZS,,%
Guyana,GY,1991,SE.ADT.LITR.ZS,,%
Guyana,GY,1992,SE.ADT.LITR.ZS,,%
Guyana,GY,1993,SE.ADT.LITR.ZS,,%
Guyana,GY,1994,SE.ADT.LITR.ZS,,%
Guyana,GY,1995,SE.ADT.LITR.ZS,,%
Guyana,GY,1996,SE.ADT.LITR.ZS,,%
Guyana,GY,1997,SE.ADT.LITR.ZS,,%
Guyana,GY,1998,SE.ADT.LITR.ZS,,%
Guyana,GY,1999,SE.ADT.LITR.ZS,,%
Guyana,GY,2000,SE.ADT.LITR.ZS,,%
Guyana,GY,2001,SE.ADT.LITR.ZS,,%
Guyana,GY,2002,SE.ADT.LITR.ZS,,%
Guyana,GY,2003,SE.ADT.LITR.ZS,,%
Guyana,GY,2004,SE.ADT.LITR.ZS,,%
Guyana,GY,2005,SE.ADT.LITR.ZS,,%
Guyana,GY,2006,SE.ADT.LITR.ZS,,%
Guyana,GY,2007,SE.ADT.LITR.ZS,,%
Guyana,GY,2008,SE.ADT.LITR.ZS,,%
Guyana,GY,2009,SE.ADT.LITR.ZS,84.994010925293,%
Guyana,GY,2010,SE.ADT.LITR.ZS,,%
Guyana,GY,2011,SE.ADT.LITR.ZS,,%
Guyana,GY,2012,SE.ADT.LITR.ZS,,%
Guyana,GY,2013,SE.ADT.LITR.ZS,,%
Guyana,GY,2014,SE.ADT.LITR.ZS,85.6397323608398,%
Guyana,GY,2015,SE.ADT.LITR.ZS,,%
Guyana,GY,2016,SE.ADT.LITR.ZS,,%
Guyana,GY,2017,SE.ADT.LITR.ZS,,%
Guyana,GY,2018,SE.ADT.LITR.ZS,,%
Guyana,GY,2019,SE.ADT.LITR.ZS,,%
Guyana,GY,2020,SE.ADT.LITR.ZS,85.6383514404297,%
Guyana,GY,2021,SE.ADT.LITR.ZS,,%
Guyana,GY,2022,SE.ADT.LITR.ZS,90.0299987792969,%
Guyana,GY,2023,SE.ADT.LITR.ZS,,%
Guyana,GY,2024,SE.ADT.LITR.ZS,,%
