country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SE.PRM.NENR,,%
Guyana,GY,1961,SE.PRM.NENR,,%
Guyana,GY,1962,SE.PRM.NENR,,%
Guyana,GY,1963,SE.PRM.NENR,,%
Guyana,GY,1964,SE.PRM.NENR,,%
Guyana,GY,1965,SE.PRM.NENR,,%
Guyana,GY,1966,SE.PRM.NENR,,%
Guyana,GY,1967,SE.PRM.NENR,,%
Guyana,GY,1968,SE.PRM.NENR,,%
Guyana,GY,1969,SE.PRM.NENR,,%
Guyana,GY,1970,SE.PRM.NENR,,%
Guyana,GY,1971,SE.PRM.NENR,86.85752,%
Guyana,GY,1972,SE.PRM.NENR,88.05772,%
Guyana,GY,1973,SE.PRM.NENR,,%
Guyana,GY,1974,SE.PRM.NENR,90.53286,%
Guyana,GY,1975,SE.PRM.NENR,,%
Guyana,GY,1976,SE.PRM.NENR,86.89338,%
Guyana,GY,1977,SE.PRM.NENR,91.75515,%
Guyana,GY,1978,SE.PRM.NENR,,%
Guyana,GY,1979,SE.PRM.NENR,88.68043,%
Guyana,GY,1980,SE.PRM.NENR,,%
Guyana,GY,1981,SE.PRM.NENR,,%
Guyana,GY,1982,SE.PRM.NENR,88.87672,%
Guyana,GY,1983,SE.PRM.NENR,,%
Guyana,GY,1984,SE.PRM.NENR,,%
Guyana,GY,1985,SE.PRM.NENR,,%
Guyana,GY,1986,SE.PRM.NENR,,%
Guyana,GY,1987,SE.PRM.NENR,,%
Guyana,GY,1988,SE.PRM.NENR,,%
Guyana,GY,1989,SE.PRM.NENR,,%
Guyana,GY,1990,SE.PRM.NENR,,%
Guyana,GY,1991,SE.PRM.NENR,91.87291,%
Guyana,GY,1992,SE.PRM.NENR,89.64668,%
Guyana,GY,1993,SE.PRM.NENR,88.06664,%
Guyana,GY,1994,SE.PRM.NENR,,%
Guyana,GY,1995,SE.PRM.NENR,89.89822,%
Guyana,GY,1996,SE.PRM.NENR,88.43708,%
Guyana,GY,1997,SE.PRM.NENR,,%
Guyana,GY,1998,SE.PRM.NENR,,%
Guyana,GY,1999,SE.PRM.NENR,,%
Guyana,GY,2000,SE.PRM.NENR,,%
Guyana,GY,2001,SE.PRM.NENR,,%
Guyana,GY,2002,SE.PRM.NENR,,%
Guyana,GY,2003,SE.PRM.NENR,91.33466,%
Guyana,GY,2004,SE.PRM.NENR,,%
Guyana,GY,2005,SE.PRM.NENR,,%
Guyana,GY,2006,SE.PRM.NENR,,%
Guyana,GY,2007,SE.PRM.NENR,,%
Guyana,GY,2008,SE.PRM.NENR,92.743,%
Guyana,GY,2009,SE.PRM.NENR,88.01357,%
Guyana,GY,2010,SE.PRM.NENR,91.70702,%
Guyana,GY,2011,SE.PRM.NENR,93.15013,%
Guyana,GY,2012,SE.PRM.NENR,93.09037,%
Guyana,GY,2013,SE.PRM.NENR,,%
Guyana,GY,2014,SE.PRM.NENR,,%
Guyana,GY,2015,SE.PRM.NENR,,%
Guyana,GY,2016,SE.PRM.NENR,,%
Guyana,GY,2017,SE.PRM.NENR,,%
Guyana,GY,2018,SE.PRM.NENR,,%
Guyana,GY,2019,SE.PRM.NENR,,%
Guyana,GY,2020,SE.PRM.NENR,,%
Guyana,GY,2021,SE.PRM.NENR,,%
Guyana,GY,2022,SE.PRM.NENR,,%
Guyana,GY,2023,SE.PRM.NENR,,%
Guyana,GY,2024,SE.PRM.NENR,,%
