country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SE.SEC.ENRR,,%
Guyana,GY,1961,SE.SEC.ENRR,,%
Guyana,GY,1962,SE.SEC.ENRR,,%
Guyana,GY,1963,SE.SEC.ENRR,,%
Guyana,GY,1964,SE.SEC.ENRR,,%
Guyana,GY,1965,SE.SEC.ENRR,,%
Guyana,GY,1966,SE.SEC.ENRR,,%
Guyana,GY,1967,SE.SEC.ENRR,,%
Guyana,GY,1968,SE.SEC.ENRR,,%
Guyana,GY,1969,SE.SEC.ENRR,,%
Guyana,GY,1970,SE.SEC.ENRR,,%
Guyana,GY,1971,SE.SEC.ENRR,65.5263290405273,%
Guyana,GY,1972,SE.SEC.ENRR,69.3232192993164,%
Guyana,GY,1973,SE.SEC.ENRR,70.5587310791016,%
Guyana,GY,1974,SE.SEC.ENRR,68.7620315551758,%
Guyana,GY,1975,SE.SEC.ENRR,,%
Guyana,GY,1976,SE.SEC.ENRR,69.5323715209961,%
Guyana,GY,1977,SE.SEC.ENRR,,%
Guyana,GY,1978,SE.SEC.ENRR,,%
Guyana,GY,1979,SE.SEC.ENRR,,%
Guyana,GY,1980,SE.SEC.ENRR,,%
Guyana,GY,1981,SE.SEC.ENRR,,%
Guyana,GY,1982,SE.SEC.ENRR,,%
Guyana,GY,1983,SE.SEC.ENRR,,%
Guyana,GY,1984,SE.SEC.ENRR,68.4454879760742,%
Guyana,GY,1985,SE.SEC.ENRR,73.3906784057617,%
Guyana,GY,1986,SE.SEC.ENRR,80.9616470336914,%
Guyana,GY,1987,SE.SEC.ENRR,81.9147796630859,%
Guyana,GY,1988,SE.SEC.ENRR,,%
Guyana,GY,1989,SE.SEC.ENRR,,%
Guyana,GY,1990,SE.SEC.ENRR,,%
Guyana,GY,1991,SE.SEC.ENRR,,%
Guyana,GY,1992,SE.SEC.ENRR,,%
Guyana,GY,1993,SE.SEC.ENRR,,%
Guyana,GY,1994,SE.SEC.ENRR,,%
Guyana,GY,1995,SE.SEC.ENRR,,%
Guyana,GY,1996,SE.SEC.ENRR,,%
Guyana,GY,1997,SE.SEC.ENRR,,%
Guyana,GY,1998,SE.SEC.ENRR,,%
Guyana,GY,1999,SE.SEC.ENRR,82.3563537597656,%
Guyana,GY,2000,SE.SEC.ENRR,,%
Guyana,GY,2001,SE.SEC.ENRR,94.5485076904297,%
Guyana,GY,2002,SE.SEC.ENRR,,%
Guyana,GY,2003,SE.SEC.ENRR,82.7355194091797,%
Guyana,GY,2004,SE.SEC.ENRR,,%
Guyana,GY,2005,SE.SEC.ENRR,85.1542282104492,%
Guyana,GY,2006,SE.SEC.ENRR,,%
Guyana,GY,2007,SE.SEC.ENRR,84.949592590332,%
Guyana,GY,2008,SE.SEC.ENRR,86.2932510375977,%
Guyana,GY,2009,SE.SEC.ENRR,90.7434616088867,%
Guyana,GY,2010,SE.SEC.ENRR,95.1177215576172,%
Guyana,GY,2011,SE.SEC.ENRR,103.894538879395,%
Guyana,GY,2012,SE.SEC.ENRR,105.690780639648,%
Guyana,GY,2013,SE.SEC.ENRR,,%
Guyana,GY,2014,SE.SEC.ENRR,,%
Guyana,GY,2015,SE.SEC.ENRR,,%
Guyana,GY,2016,SE.SEC.ENRR,,%
Guyana,GY,2017,SE.SEC.ENRR,,%
Guyana,GY,2018,SE.SEC.ENRR,,%
Guyana,GY,2019,SE.SEC.ENRR,,%
Guyana,GY,2020,SE.SEC.ENRR,85.2426528930664,%
Guyana,GY,2021,SE.SEC.ENRR,85.5159912109375,%
Guyana,GY,2022,SE.SEC.ENRR,,%
Guyana,GY,2023,SE.SEC.ENRR,85.3713302612305,%
Guyana,GY,2024,SE.SEC.ENRR,,%
