country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SE.TER.ENRR,,%
Guyana,GY,1961,SE.TER.ENRR,,%
Guyana,GY,1962,SE.TER.ENRR,,%
Guyana,GY,1963,SE.TER.ENRR,,%
Guyana,GY,1964,SE.TER.ENRR,,%
Guyana,GY,1965,SE.TER.ENRR,,%
Guyana,GY,1966,SE.TER.ENRR,,%
Guyana,GY,1967,SE.TER.ENRR,,%
Guyana,GY,1968,SE.TER.ENRR,,%
Guyana,GY,1969,SE.TER.ENRR,,%
Guyana,GY,1970,SE.TER.ENRR,,%
Guyana,GY,1971,SE.TER.ENRR,1.57054996490479,%
Guyana,GY,1972,SE.TER.ENRR,1.6828099489212,%
Guyana,GY,1973,SE.TER.ENRR,1.83483004570007,%
Guyana,GY,1974,SE.TER.ENRR,,%
Guyana,GY,1975,SE.TER.ENRR,,%
Guyana,GY,1976,SE.TER.ENRR,3.48680996894836,%
Guyana,GY,1977,SE.TER.ENRR,,%
Guyana,GY,1978,SE.TER.ENRR,,%
Guyana,GY,1979,SE.TER.ENRR,2.94440007209778,%
Guyana,GY,1980,SE.TER.ENRR,2.76320004463196,%
Guyana,GY,1981,SE.TER.ENRR,2.70765995979309,%
Guyana,GY,1982,SE.TER.ENRR,2.9904100894928,%
Guyana,GY,1983,SE.TER.ENRR,2.22671008110046,%
Guyana,GY,1984,SE.TER.ENRR,2.30355000495911,%
Guyana,GY,1985,SE.TER.ENRR,2.53132009506226,%
Guyana,GY,1986,SE.TER.ENRR,2.6038498878479,%
Guyana,GY,1987,SE.TER.ENRR,,%
Guyana,GY,1988,SE.TER.ENRR,4.30068016052246,%
Guyana,GY,1989,SE.TER.ENRR,,%
Guyana,GY,1990,SE.TER.ENRR,5.64981985092163,%
Guyana,GY,1991,SE.TER.ENRR,,%
Guyana,GY,1992,SE.TER.ENRR,,%
Guyana,GY,1993,SE.TER.ENRR,,%
Guyana,GY,1994,SE.TER.ENRR,9.58335018157959,%
Guyana,GY,1995,SE.TER.ENRR,8.96592044830322,%
Guyana,GY,1996,SE.TER.ENRR,10.0401296615601,%
Guyana,GY,1997,SE.TER.ENRR,11.8985996246338,%
Guyana,GY,1998,SE.TER.ENRR,,%
Guyana,GY,1999,SE.TER.ENRR,,%
Guyana,GY,2000,SE.TER.ENRR,,%
Guyana,GY,2001,SE.TER.ENRR,,%
Guyana,GY,2002,SE.TER.ENRR,,%
Guyana,GY,2003,SE.TER.ENRR,7.25076007843018,%
Guyana,GY,2004,SE.TER.ENRR,10.431209564209,%
Guyana,GY,2005,SE.TER.ENRR,10.9353199005127,%
Guyana,GY,2006,SE.TER.ENRR,10.9832801818848,%
Guyana,GY,2007,SE.TER.ENRR,11.0615100860596,%
Guyana,GY,2008,SE.TER.ENRR,10.5220699310303,%
Guyana,GY,2009,SE.TER.ENRR,9.95514011383057,%
Guyana,GY,2010,SE.TER.ENRR,10.8050403594971,%
Guyana,GY,2011,SE.TER.ENRR,11.1490097045898,%
Guyana,GY,2012,SE.TER.ENRR,11.6349601745605,%
Guyana,GY,2013,SE.TER.ENRR,,%
Guyana,GY,2014,SE.TER.ENRR,,%
Guyana,GY,2015,SE.TER.ENRR,,%
Guyana,GY,2016,SE.TER.ENRR,,%
Guyana,GY,2017,SE.TER.ENRR,,%
Guyana,GY,2018,SE.TER.ENRR,,%
Guyana,GY,2019,SE.TER.ENRR,,%
Guyana,GY,2020,SE.TER.ENRR,,%
Guyana,GY,2021,SE.TER.ENRR,,%
Guyana,GY,2022,SE.TER.ENRR,,%
Guyana,GY,2023,SE.TER.ENRR,,%
Guyana,GY,2024,SE.TER.ENRR,,%
