country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1961,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1962,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1963,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1964,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1965,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1966,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1967,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1968,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1969,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1970,SE.XPD.TOTL.GD.ZS,4.32897996902466,%
Guyana,GY,1971,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1972,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1973,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1974,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1975,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1976,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1977,SE.XPD.TOTL.GD.ZS,7.08872985839844,%
Guyana,GY,1978,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1979,SE.XPD.TOTL.GD.ZS,9.37786960601807,%
Guyana,GY,1980,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1981,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1982,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1983,SE.XPD.TOTL.GD.ZS,8.2534704208374,%
Guyana,GY,1984,SE.XPD.TOTL.GD.ZS,7.22747993469238,%
Guyana,GY,1985,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1986,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1987,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1988,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1989,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1990,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1991,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1992,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1993,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1994,SE.XPD.TOTL.GD.ZS,3.72445011138916,%
Guyana,GY,1995,SE.XPD.TOTL.GD.ZS,3.60933995246887,%
Guyana,GY,1996,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1997,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1998,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,1999,SE.XPD.TOTL.GD.ZS,8.56105995178223,%
Guyana,GY,2000,SE.XPD.TOTL.GD.ZS,8.48414993286133,%
Guyana,GY,2001,SE.XPD.TOTL.GD.ZS,8.39729976654053,%
Guyana,GY,2002,SE.XPD.TOTL.GD.ZS,8.36553955078125,%
Guyana,GY,2003,SE.XPD.TOTL.GD.ZS,6.95590019226074,%
Guyana,GY,2004,SE.XPD.TOTL.GD.ZS,5.51293992996216,%
Guyana,GY,2005,SE.XPD.TOTL.GD.ZS,8.13973045349121,%
Guyana,GY,2006,SE.XPD.TOTL.GD.ZS,3.11891007423401,%
Guyana,GY,2007,SE.XPD.TOTL.GD.ZS,2.39117002487183,%
Guyana,GY,2008,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,2009,SE.XPD.TOTL.GD.ZS,2.15057992935181,%
Guyana,GY,2010,SE.XPD.TOTL.GD.ZS,2.40938997268677,%
Guyana,GY,2011,SE.XPD.TOTL.GD.ZS,2.50669002532959,%
Guyana,GY,2012,SE.XPD.TOTL.GD.ZS,2.24131989479065,%
Guyana,GY,2013,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,2014,SE.XPD.TOTL.GD.ZS,4.36033010482788,%
Guyana,GY,2015,SE.XPD.TOTL.GD.ZS,3.89569997787476,%
Guyana,GY,2016,SE.XPD.TOTL.GD.ZS,4.73775005340576,%
Guyana,GY,2017,SE.XPD.TOTL.GD.ZS,4.6647801399231,%
Guyana,GY,2018,SE.XPD.TOTL.GD.ZS,4.45058012008667,%
Guyana,GY,2019,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,2020,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,2021,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,2022,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,2023,SE.XPD.TOTL.GD.ZS,,%
Guyana,GY,2024,SE.XPD.TOTL.GD.ZS,,%
