country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SG.GEN.PARL.ZS,,%
Guyana,GY,1961,SG.GEN.PARL.ZS,,%
Guyana,GY,1962,SG.GEN.PARL.ZS,,%
Guyana,GY,1963,SG.GEN.PARL.ZS,,%
Guyana,GY,1964,SG.GEN.PARL.ZS,,%
Guyana,GY,1965,SG.GEN.PARL.ZS,,%
Guyana,GY,1966,SG.GEN.PARL.ZS,,%
Guyana,GY,1967,SG.GEN.PARL.ZS,,%
Guyana,GY,1968,SG.GEN.PARL.ZS,,%
Guyana,GY,1969,SG.GEN.PARL.ZS,,%
Guyana,GY,1970,SG.GEN.PARL.ZS,,%
Guyana,GY,1971,SG.GEN.PARL.ZS,,%
Guyana,GY,1972,SG.GEN.PARL.ZS,,%
Guyana,GY,1973,SG.GEN.PARL.ZS,,%
Guyana,GY,1974,SG.GEN.PARL.ZS,,%
Guyana,GY,1975,SG.GEN.PARL.ZS,,%
Guyana,GY,1976,SG.GEN.PARL.ZS,,%
Guyana,GY,1977,SG.GEN.PARL.ZS,,%
Guyana,GY,1978,SG.GEN.PARL.ZS,,%
Guyana,GY,1979,SG.GEN.PARL.ZS,,%
Guyana,GY,1980,SG.GEN.PARL.ZS,,%
Guyana,GY,1981,SG.GEN.PARL.ZS,,%
Guyana,GY,1982,SG.GEN.PARL.ZS,,%
Guyana,GY,1983,SG.GEN.PARL.ZS,,%
Guyana,GY,1984,SG.GEN.PARL.ZS,,%
Guyana,GY,1985,SG.GEN.PARL.ZS,,%
Guyana,GY,1986,SG.GEN.PARL.ZS,,%
Guyana,GY,1987,SG.GEN.PARL.ZS,,%
Guyana,GY,1988,SG.GEN.PARL.ZS,,%
Guyana,GY,1989,SG.GEN.PARL.ZS,,%
Guyana,GY,1990,SG.GEN.PARL.ZS,,%
Guyana,GY,1991,SG.GEN.PARL.ZS,,%
Guyana,GY,1992,SG.GEN.PARL.ZS,,%
Guyana,GY,1993,SG.GEN.PARL.ZS,,%
Guyana,GY,1994,SG.GEN.PARL.ZS,,%
Guyana,GY,1995,SG.GEN.PARL.ZS,,%
Guyana,GY,1996,SG.GEN.PARL.ZS,,%
Guyana,GY,1997,SG.GEN.PARL.ZS,,%
Guyana,GY,1998,SG.GEN.PARL.ZS,,%
Guyana,GY,1999,SG.GEN.PARL.ZS,18.4615384615385,%
Guyana,GY,2000,SG.GEN.PARL.ZS,18.4615384615385,%
Guyana,GY,2001,SG.GEN.PARL.ZS,18.4615384615385,%
Guyana,GY,2002,SG.GEN.PARL.ZS,20.0,%
Guyana,GY,2003,SG.GEN.PARL.ZS,20.0,%
Guyana,GY,2004,SG.GEN.PARL.ZS,30.7692307692308,%
Guyana,GY,2005,SG.GEN.PARL.ZS,30.7692307692308,%
Guyana,GY,2006,SG.GEN.PARL.ZS,28.9855072463768,%
Guyana,GY,2007,SG.GEN.PARL.ZS,28.9855072463768,%
Guyana,GY,2008,SG.GEN.PARL.ZS,30.0,%
Guyana,GY,2009,SG.GEN.PARL.ZS,30.0,%
Guyana,GY,2010,SG.GEN.PARL.ZS,30.0,%
Guyana,GY,2011,SG.GEN.PARL.ZS,31.3432835820896,%
Guyana,GY,2012,SG.GEN.PARL.ZS,31.3432835820896,%
Guyana,GY,2013,SG.GEN.PARL.ZS,31.3432835820896,%
Guyana,GY,2014,SG.GEN.PARL.ZS,31.3432835820896,%
Guyana,GY,2015,SG.GEN.PARL.ZS,30.4347826086957,%
Guyana,GY,2016,SG.GEN.PARL.ZS,30.4347826086957,%
Guyana,GY,2017,SG.GEN.PARL.ZS,31.8840579710145,%
Guyana,GY,2018,SG.GEN.PARL.ZS,31.8840579710145,%
Guyana,GY,2019,SG.GEN.PARL.ZS,31.8840579710145,%
Guyana,GY,2020,SG.GEN.PARL.ZS,35.7142857142857,%
Guyana,GY,2021,SG.GEN.PARL.ZS,35.7142857142857,%
Guyana,GY,2022,SG.GEN.PARL.ZS,35.3846153846154,%
Guyana,GY,2023,SG.GEN.PARL.ZS,36.6197183098592,%
Guyana,GY,2024,SG.GEN.PARL.ZS,39.4366197183099,%
