country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SH.IMM.MEAS,,%
Guyana,GY,1961,SH.IMM.MEAS,,%
Guyana,GY,1962,SH.IMM.MEAS,,%
Guyana,GY,1963,SH.IMM.MEAS,,%
Guyana,GY,1964,SH.IMM.MEAS,,%
Guyana,GY,1965,SH.IMM.MEAS,,%
Guyana,GY,1966,SH.IMM.MEAS,,%
Guyana,GY,1967,SH.IMM.MEAS,,%
Guyana,GY,1968,SH.IMM.MEAS,,%
Guyana,GY,1969,SH.IMM.MEAS,,%
Guyana,GY,1970,SH.IMM.MEAS,,%
Guyana,GY,1971,SH.IMM.MEAS,,%
Guyana,GY,1972,SH.IMM.MEAS,,%
Guyana,GY,1973,SH.IMM.MEAS,,%
Guyana,GY,1974,SH.IMM.MEAS,,%
Guyana,GY,1975,SH.IMM.MEAS,,%
Guyana,GY,1976,SH.IMM.MEAS,,%
Guyana,GY,1977,SH.IMM.MEAS,,%
Guyana,GY,1978,SH.IMM.MEAS,,%
Guyana,GY,1979,SH.IMM.MEAS,,%
Guyana,GY,1980,SH.IMM.MEAS,,%
Guyana,GY,1981,SH.IMM.MEAS,,%
Guyana,GY,1982,SH.IMM.MEAS,68.0,%
Guyana,GY,1983,SH.IMM.MEAS,51.0,%
Guyana,GY,1984,SH.IMM.MEAS,56.0,%
Guyana,GY,1985,SH.IMM.MEAS,40.0,%
Guyana,GY,1986,SH.IMM.MEAS,42.0,%
Guyana,GY,1987,SH.IMM.MEAS,52.0,%
Guyana,GY,1988,SH.IMM.MEAS,55.0,%
Guyana,GY,1989,SH.IMM.MEAS,69.0,%
Guyana,GY,1990,SH.IMM.MEAS,73.0,%
Guyana,GY,1991,SH.IMM.MEAS,76.0,%
Guyana,GY,1992,SH.IMM.MEAS,73.0,%
Guyana,GY,1993,SH.IMM.MEAS,92.0,%
Guyana,GY,1994,SH.IMM.MEAS,83.0,%
Guyana,GY,1995,SH.IMM.MEAS,77.0,%
Guyana,GY,1996,SH.IMM.MEAS,91.0,%
Guyana,GY,1997,SH.IMM.MEAS,82.0,%
Guyana,GY,1998,SH.IMM.MEAS,93.0,%
Guyana,GY,1999,SH.IMM.MEAS,87.0,%
Guyana,GY,2000,SH.IMM.MEAS,86.0,%
Guyana,GY,2001,SH.IMM.MEAS,92.0,%
Guyana,GY,2002,SH.IMM.MEAS,93.0,%
Guyana,GY,2003,SH.IMM.MEAS,89.0,%
Guyana,GY,2004,SH.IMM.MEAS,88.0,%
Guyana,GY,2005,SH.IMM.MEAS,92.0,%
Guyana,GY,2006,SH.IMM.MEAS,90.0,%
Guyana,GY,2007,SH.IMM.MEAS,96.0,%
Guyana,GY,2008,SH.IMM.MEAS,95.0,%
Guyana,GY,2009,SH.IMM.MEAS,97.0,%
Guyana,GY,2010,SH.IMM.MEAS,95.0,%
Guyana,GY,2011,SH.IMM.MEAS,98.0,%
Guyana,GY,2012,SH.IMM.MEAS,99.0,%
Guyana,GY,2013,SH.IMM.MEAS,99.0,%
Guyana,GY,2014,SH.IMM.MEAS,99.0,%
Guyana,GY,2015,SH.IMM.MEAS,99.0,%
Guyana,GY,2016,SH.IMM.MEAS,99.0,%
Guyana,GY,2017,SH.IMM.MEAS,99.0,%
Guyana,GY,2018,SH.IMM.MEAS,98.0,%
Guyana,GY,2019,SH.IMM.MEAS,98.0,%
Guyana,GY,2020,SH.IMM.MEAS,98.0,%
Guyana,GY,2021,SH.IMM.MEAS,95.0,%
Guyana,GY,2022,SH.IMM.MEAS,95.0,%
Guyana,GY,2023,SH.IMM.MEAS,95.0,%
Guyana,GY,2024,SH.IMM.MEAS,,%
