country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SH.MED.BEDS.ZS,5.5746922492981,per 1k
Guyana,GY,1961,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1962,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1963,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1964,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1965,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1966,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1967,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1968,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1969,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1970,SH.MED.BEDS.ZS,4.76300001144409,per 1k
Guyana,GY,1971,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1972,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1973,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1974,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1975,SH.MED.BEDS.ZS,4.97279977798462,per 1k
Guyana,GY,1976,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1977,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1978,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1979,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1980,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1981,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1982,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1983,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1984,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1985,SH.MED.BEDS.ZS,3.49200010299683,per 1k
Guyana,GY,1986,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1987,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1988,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1989,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1990,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1991,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1992,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1993,SH.MED.BEDS.ZS,3.0999999046,per 1k
Guyana,GY,1994,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1995,SH.MED.BEDS.ZS,3.1,per 1k
Guyana,GY,1996,SH.MED.BEDS.ZS,3.8699998856,per 1k
Guyana,GY,1997,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1998,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,1999,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2000,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2001,SH.MED.BEDS.ZS,2.9,per 1k
Guyana,GY,2002,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2003,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2004,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2005,SH.MED.BEDS.ZS,2.8,per 1k
Guyana,GY,2006,SH.MED.BEDS.ZS,2.5,per 1k
Guyana,GY,2007,SH.MED.BEDS.ZS,1.9,per 1k
Guyana,GY,2008,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2009,SH.MED.BEDS.ZS,2.0,per 1k
Guyana,GY,2010,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2011,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2012,SH.MED.BEDS.ZS,1.73,per 1k
Guyana,GY,2013,SH.MED.BEDS.ZS,1.73,per 1k
Guyana,GY,2014,SH.MED.BEDS.ZS,1.75,per 1k
Guyana,GY,2015,SH.MED.BEDS.ZS,1.76,per 1k
Guyana,GY,2016,SH.MED.BEDS.ZS,1.75,per 1k
Guyana,GY,2017,SH.MED.BEDS.ZS,1.74,per 1k
Guyana,GY,2018,SH.MED.BEDS.ZS,1.69,per 1k
Guyana,GY,2019,SH.MED.BEDS.ZS,2.18,per 1k
Guyana,GY,2020,SH.MED.BEDS.ZS,2.25,per 1k
Guyana,GY,2021,SH.MED.BEDS.ZS,2.59,per 1k
Guyana,GY,2022,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2023,SH.MED.BEDS.ZS,,per 1k
Guyana,GY,2024,SH.MED.BEDS.ZS,,per 1k
