country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1961,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1962,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1963,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1964,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1965,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1966,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1967,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1968,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1969,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1970,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1971,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1972,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1973,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1974,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1975,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1976,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1977,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1978,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1979,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1980,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1981,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1982,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1983,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1984,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1985,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1986,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1987,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1988,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1989,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1990,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1991,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1992,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1993,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1994,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1995,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1996,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1997,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1998,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,1999,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,2000,SH.XPD.CHEX.GD.ZS,3.18737936,%
Guyana,GY,2001,SH.XPD.CHEX.GD.ZS,3.05506778,%
Guyana,GY,2002,SH.XPD.CHEX.GD.ZS,3.19353795,%
Guyana,GY,2003,SH.XPD.CHEX.GD.ZS,3.26884198,%
Guyana,GY,2004,SH.XPD.CHEX.GD.ZS,3.43770432,%
Guyana,GY,2005,SH.XPD.CHEX.GD.ZS,3.79409742,%
Guyana,GY,2006,SH.XPD.CHEX.GD.ZS,3.93144464,%
Guyana,GY,2007,SH.XPD.CHEX.GD.ZS,4.28126192,%
Guyana,GY,2008,SH.XPD.CHEX.GD.ZS,4.20242214,%
Guyana,GY,2009,SH.XPD.CHEX.GD.ZS,4.35117149,%
Guyana,GY,2010,SH.XPD.CHEX.GD.ZS,4.21897697,%
Guyana,GY,2011,SH.XPD.CHEX.GD.ZS,4.17213488,%
Guyana,GY,2012,SH.XPD.CHEX.GD.ZS,3.7081871,%
Guyana,GY,2013,SH.XPD.CHEX.GD.ZS,3.80231309,%
Guyana,GY,2014,SH.XPD.CHEX.GD.ZS,3.94755435,%
Guyana,GY,2015,SH.XPD.CHEX.GD.ZS,4.02264786,%
Guyana,GY,2016,SH.XPD.CHEX.GD.ZS,4.01842117,%
Guyana,GY,2017,SH.XPD.CHEX.GD.ZS,4.3191123,%
Guyana,GY,2018,SH.XPD.CHEX.GD.ZS,4.90492535,%
Guyana,GY,2019,SH.XPD.CHEX.GD.ZS,4.90331507,%
Guyana,GY,2020,SH.XPD.CHEX.GD.ZS,5.4180727,%
Guyana,GY,2021,SH.XPD.CHEX.GD.ZS,4.92369986,%
Guyana,GY,2022,SH.XPD.CHEX.GD.ZS,3.00636959,%
Guyana,GY,2023,SH.XPD.CHEX.GD.ZS,,%
Guyana,GY,2024,SH.XPD.CHEX.GD.ZS,,%
