country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1961,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1962,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1963,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1964,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1965,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1966,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1967,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1968,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1969,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1970,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1971,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1972,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1973,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1974,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1975,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1976,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1977,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1978,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1979,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1980,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1981,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1982,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1983,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1984,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1985,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1986,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1987,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1988,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1989,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1990,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1991,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1992,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1993,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1994,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1995,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1996,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1997,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1998,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,1999,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,2000,SH.XPD.CHEX.PC.CD,62.37635422,US$
Guyana,GY,2001,SH.XPD.CHEX.PC.CD,60.09927368,US$
Guyana,GY,2002,SH.XPD.CHEX.PC.CD,65.04125214,US$
Guyana,GY,2003,SH.XPD.CHEX.PC.CD,68.19880676,US$
Guyana,GY,2004,SH.XPD.CHEX.PC.CD,74.69225311,US$
Guyana,GY,2005,SH.XPD.CHEX.PC.CD,85.35713959,US$
Guyana,GY,2006,SH.XPD.CHEX.PC.CD,98.34314728,US$
Guyana,GY,2007,SH.XPD.CHEX.PC.CD,125.79258728,US$
Guyana,GY,2008,SH.XPD.CHEX.PC.CD,138.70043945,US$
Guyana,GY,2009,SH.XPD.CHEX.PC.CD,150.21723938,US$
Guyana,GY,2010,SH.XPD.CHEX.PC.CD,162.70393372,US$
Guyana,GY,2011,SH.XPD.CHEX.PC.CD,186.11392212,US$
Guyana,GY,2012,SH.XPD.CHEX.PC.CD,201.88832092,US$
Guyana,GY,2013,SH.XPD.CHEX.PC.CD,211.2910614,US$
Guyana,GY,2014,SH.XPD.CHEX.PC.CD,216.03759766,US$
Guyana,GY,2015,SH.XPD.CHEX.PC.CD,226.89404297,US$
Guyana,GY,2016,SH.XPD.CHEX.PC.CD,235.91662598,US$
Guyana,GY,2017,SH.XPD.CHEX.PC.CD,266.86364746,US$
Guyana,GY,2018,SH.XPD.CHEX.PC.CD,296.66903687,US$
Guyana,GY,2019,SH.XPD.CHEX.PC.CD,314.0977478,US$
Guyana,GY,2020,SH.XPD.CHEX.PC.CD,367.11260986,US$
Guyana,GY,2021,SH.XPD.CHEX.PC.CD,462.59054565,US$
Guyana,GY,2022,SH.XPD.CHEX.PC.CD,531.62786865,US$
Guyana,GY,2023,SH.XPD.CHEX.PC.CD,,US$
Guyana,GY,2024,SH.XPD.CHEX.PC.CD,,US$
