country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1961,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1962,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1963,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1964,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1965,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1966,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1967,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1968,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1969,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1970,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1971,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1972,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1973,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1974,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1975,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1976,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1977,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1978,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1979,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1980,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1981,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1982,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1983,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1984,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1985,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1986,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1987,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1988,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1989,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1990,SL.EMP.TOTL.SP.ZS,,%
Guyana,GY,1991,SL.EMP.TOTL.SP.ZS,52.125,%
Guyana,GY,1992,SL.EMP.TOTL.SP.ZS,52.555,%
Guyana,GY,1993,SL.EMP.TOTL.SP.ZS,53.027,%
Guyana,GY,1994,SL.EMP.TOTL.SP.ZS,52.73,%
Guyana,GY,1995,SL.EMP.TOTL.SP.ZS,52.369,%
Guyana,GY,1996,SL.EMP.TOTL.SP.ZS,52.04,%
Guyana,GY,1997,SL.EMP.TOTL.SP.ZS,51.679,%
Guyana,GY,1998,SL.EMP.TOTL.SP.ZS,51.254,%
Guyana,GY,1999,SL.EMP.TOTL.SP.ZS,50.838,%
Guyana,GY,2000,SL.EMP.TOTL.SP.ZS,50.378,%
Guyana,GY,2001,SL.EMP.TOTL.SP.ZS,50.045,%
Guyana,GY,2002,SL.EMP.TOTL.SP.ZS,49.617,%
Guyana,GY,2003,SL.EMP.TOTL.SP.ZS,49.849,%
Guyana,GY,2004,SL.EMP.TOTL.SP.ZS,50.011,%
Guyana,GY,2005,SL.EMP.TOTL.SP.ZS,50.124,%
Guyana,GY,2006,SL.EMP.TOTL.SP.ZS,50.317,%
Guyana,GY,2007,SL.EMP.TOTL.SP.ZS,50.191,%
Guyana,GY,2008,SL.EMP.TOTL.SP.ZS,50.024,%
Guyana,GY,2009,SL.EMP.TOTL.SP.ZS,49.778,%
Guyana,GY,2010,SL.EMP.TOTL.SP.ZS,49.49,%
Guyana,GY,2011,SL.EMP.TOTL.SP.ZS,49.263,%
Guyana,GY,2012,SL.EMP.TOTL.SP.ZS,48.977,%
Guyana,GY,2013,SL.EMP.TOTL.SP.ZS,48.641,%
Guyana,GY,2014,SL.EMP.TOTL.SP.ZS,48.273,%
Guyana,GY,2015,SL.EMP.TOTL.SP.ZS,47.908,%
Guyana,GY,2016,SL.EMP.TOTL.SP.ZS,47.63,%
Guyana,GY,2017,SL.EMP.TOTL.SP.ZS,47.399,%
Guyana,GY,2018,SL.EMP.TOTL.SP.ZS,47.421,%
Guyana,GY,2019,SL.EMP.TOTL.SP.ZS,44.537,%
Guyana,GY,2020,SL.EMP.TOTL.SP.ZS,42.907,%
Guyana,GY,2021,SL.EMP.TOTL.SP.ZS,43.419,%
Guyana,GY,2022,SL.EMP.TOTL.SP.ZS,44.182,%
Guyana,GY,2023,SL.EMP.TOTL.SP.ZS,43.842,%
Guyana,GY,2024,SL.EMP.TOTL.SP.ZS,44.585,%
