country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1961,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1962,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1963,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1964,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1965,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1966,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1967,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1968,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1969,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1970,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1971,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1972,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1973,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1974,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1975,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1976,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1977,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1978,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1979,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1980,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1981,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1982,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1983,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1984,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1985,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1986,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1987,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1988,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1989,SL.TLF.CACT.FE.ZS,,%
Guyana,GY,1990,SL.TLF.CACT.FE.ZS,36.474,%
Guyana,GY,1991,SL.TLF.CACT.FE.ZS,37.299,%
Guyana,GY,1992,SL.TLF.CACT.FE.ZS,38.267,%
Guyana,GY,1993,SL.TLF.CACT.FE.ZS,39.269,%
Guyana,GY,1994,SL.TLF.CACT.FE.ZS,38.728,%
Guyana,GY,1995,SL.TLF.CACT.FE.ZS,38.19,%
Guyana,GY,1996,SL.TLF.CACT.FE.ZS,37.649,%
Guyana,GY,1997,SL.TLF.CACT.FE.ZS,37.101,%
Guyana,GY,1998,SL.TLF.CACT.FE.ZS,36.542,%
Guyana,GY,1999,SL.TLF.CACT.FE.ZS,35.975,%
Guyana,GY,2000,SL.TLF.CACT.FE.ZS,35.401,%
Guyana,GY,2001,SL.TLF.CACT.FE.ZS,34.818,%
Guyana,GY,2002,SL.TLF.CACT.FE.ZS,34.228,%
Guyana,GY,2003,SL.TLF.CACT.FE.ZS,34.835,%
Guyana,GY,2004,SL.TLF.CACT.FE.ZS,35.428,%
Guyana,GY,2005,SL.TLF.CACT.FE.ZS,36.015,%
Guyana,GY,2006,SL.TLF.CACT.FE.ZS,36.594,%
Guyana,GY,2007,SL.TLF.CACT.FE.ZS,37.161,%
Guyana,GY,2008,SL.TLF.CACT.FE.ZS,37.716,%
Guyana,GY,2009,SL.TLF.CACT.FE.ZS,38.259,%
Guyana,GY,2010,SL.TLF.CACT.FE.ZS,38.79,%
Guyana,GY,2011,SL.TLF.CACT.FE.ZS,39.309,%
Guyana,GY,2012,SL.TLF.CACT.FE.ZS,39.838,%
Guyana,GY,2013,SL.TLF.CACT.FE.ZS,40.381,%
Guyana,GY,2014,SL.TLF.CACT.FE.ZS,40.924,%
Guyana,GY,2015,SL.TLF.CACT.FE.ZS,41.475,%
Guyana,GY,2016,SL.TLF.CACT.FE.ZS,42.039,%
Guyana,GY,2017,SL.TLF.CACT.FE.ZS,42.614,%
Guyana,GY,2018,SL.TLF.CACT.FE.ZS,43.269,%
Guyana,GY,2019,SL.TLF.CACT.FE.ZS,40.483,%
Guyana,GY,2020,SL.TLF.CACT.FE.ZS,40.028,%
Guyana,GY,2021,SL.TLF.CACT.FE.ZS,40.119,%
Guyana,GY,2022,SL.TLF.CACT.FE.ZS,40.413,%
Guyana,GY,2023,SL.TLF.CACT.FE.ZS,40.327,%
Guyana,GY,2024,SL.TLF.CACT.FE.ZS,40.274,%
