country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SL.TLF.TOTL.IN,,people
Guyana,GY,1961,SL.TLF.TOTL.IN,,people
Guyana,GY,1962,SL.TLF.TOTL.IN,,people
Guyana,GY,1963,SL.TLF.TOTL.IN,,people
Guyana,GY,1964,SL.TLF.TOTL.IN,,people
Guyana,GY,1965,SL.TLF.TOTL.IN,,people
Guyana,GY,1966,SL.TLF.TOTL.IN,,people
Guyana,GY,1967,SL.TLF.TOTL.IN,,people
Guyana,GY,1968,SL.TLF.TOTL.IN,,people
Guyana,GY,1969,SL.TLF.TOTL.IN,,people
Guyana,GY,1970,SL.TLF.TOTL.IN,,people
Guyana,GY,1971,SL.TLF.TOTL.IN,,people
Guyana,GY,1972,SL.TLF.TOTL.IN,,people
Guyana,GY,1973,SL.TLF.TOTL.IN,,people
Guyana,GY,1974,SL.TLF.TOTL.IN,,people
Guyana,GY,1975,SL.TLF.TOTL.IN,,people
Guyana,GY,1976,SL.TLF.TOTL.IN,,people
Guyana,GY,1977,SL.TLF.TOTL.IN,,people
Guyana,GY,1978,SL.TLF.TOTL.IN,,people
Guyana,GY,1979,SL.TLF.TOTL.IN,,people
Guyana,GY,1980,SL.TLF.TOTL.IN,,people
Guyana,GY,1981,SL.TLF.TOTL.IN,,people
Guyana,GY,1982,SL.TLF.TOTL.IN,,people
Guyana,GY,1983,SL.TLF.TOTL.IN,,people
Guyana,GY,1984,SL.TLF.TOTL.IN,,people
Guyana,GY,1985,SL.TLF.TOTL.IN,,people
Guyana,GY,1986,SL.TLF.TOTL.IN,,people
Guyana,GY,1987,SL.TLF.TOTL.IN,,people
Guyana,GY,1988,SL.TLF.TOTL.IN,,people
Guyana,GY,1989,SL.TLF.TOTL.IN,,people
Guyana,GY,1990,SL.TLF.TOTL.IN,278948.0,people
Guyana,GY,1991,SL.TLF.TOTL.IN,280589.0,people
Guyana,GY,1992,SL.TLF.TOTL.IN,283861.0,people
Guyana,GY,1993,SL.TLF.TOTL.IN,287405.0,people
Guyana,GY,1994,SL.TLF.TOTL.IN,286813.0,people
Guyana,GY,1995,SL.TLF.TOTL.IN,285887.0,people
Guyana,GY,1996,SL.TLF.TOTL.IN,284621.0,people
Guyana,GY,1997,SL.TLF.TOTL.IN,283069.0,people
Guyana,GY,1998,SL.TLF.TOTL.IN,281313.0,people
Guyana,GY,1999,SL.TLF.TOTL.IN,279425.0,people
Guyana,GY,2000,SL.TLF.TOTL.IN,277438.0,people
Guyana,GY,2001,SL.TLF.TOTL.IN,275343.0,people
Guyana,GY,2002,SL.TLF.TOTL.IN,273295.0,people
Guyana,GY,2003,SL.TLF.TOTL.IN,274582.0,people
Guyana,GY,2004,SL.TLF.TOTL.IN,276047.0,people
Guyana,GY,2005,SL.TLF.TOTL.IN,277504.0,people
Guyana,GY,2006,SL.TLF.TOTL.IN,279065.0,people
Guyana,GY,2007,SL.TLF.TOTL.IN,280661.0,people
Guyana,GY,2008,SL.TLF.TOTL.IN,282105.0,people
Guyana,GY,2009,SL.TLF.TOTL.IN,283394.0,people
Guyana,GY,2010,SL.TLF.TOTL.IN,284475.0,people
Guyana,GY,2011,SL.TLF.TOTL.IN,285259.0,people
Guyana,GY,2012,SL.TLF.TOTL.IN,286398.0,people
Guyana,GY,2013,SL.TLF.TOTL.IN,288071.0,people
Guyana,GY,2014,SL.TLF.TOTL.IN,289729.0,people
Guyana,GY,2015,SL.TLF.TOTL.IN,291360.0,people
Guyana,GY,2016,SL.TLF.TOTL.IN,292950.0,people
Guyana,GY,2017,SL.TLF.TOTL.IN,294471.0,people
Guyana,GY,2018,SL.TLF.TOTL.IN,306347.0,people
Guyana,GY,2019,SL.TLF.TOTL.IN,293082.0,people
Guyana,GY,2020,SL.TLF.TOTL.IN,288627.0,people
Guyana,GY,2021,SL.TLF.TOTL.IN,292395.0,people
Guyana,GY,2022,SL.TLF.TOTL.IN,291267.0,people
Guyana,GY,2023,SL.TLF.TOTL.IN,291050.0,people
Guyana,GY,2024,SL.TLF.TOTL.IN,292190.0,people
