country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SL.UEM.1524.ZS,,%
Guyana,GY,1961,SL.UEM.1524.ZS,,%
Guyana,GY,1962,SL.UEM.1524.ZS,,%
Guyana,GY,1963,SL.UEM.1524.ZS,,%
Guyana,GY,1964,SL.UEM.1524.ZS,,%
Guyana,GY,1965,SL.UEM.1524.ZS,,%
Guyana,GY,1966,SL.UEM.1524.ZS,,%
Guyana,GY,1967,SL.UEM.1524.ZS,,%
Guyana,GY,1968,SL.UEM.1524.ZS,,%
Guyana,GY,1969,SL.UEM.1524.ZS,,%
Guyana,GY,1970,SL.UEM.1524.ZS,,%
Guyana,GY,1971,SL.UEM.1524.ZS,,%
Guyana,GY,1972,SL.UEM.1524.ZS,,%
Guyana,GY,1973,SL.UEM.1524.ZS,,%
Guyana,GY,1974,SL.UEM.1524.ZS,,%
Guyana,GY,1975,SL.UEM.1524.ZS,,%
Guyana,GY,1976,SL.UEM.1524.ZS,,%
Guyana,GY,1977,SL.UEM.1524.ZS,,%
Guyana,GY,1978,SL.UEM.1524.ZS,,%
Guyana,GY,1979,SL.UEM.1524.ZS,,%
Guyana,GY,1980,SL.UEM.1524.ZS,,%
Guyana,GY,1981,SL.UEM.1524.ZS,,%
Guyana,GY,1982,SL.UEM.1524.ZS,,%
Guyana,GY,1983,SL.UEM.1524.ZS,,%
Guyana,GY,1984,SL.UEM.1524.ZS,,%
Guyana,GY,1985,SL.UEM.1524.ZS,,%
Guyana,GY,1986,SL.UEM.1524.ZS,,%
Guyana,GY,1987,SL.UEM.1524.ZS,,%
Guyana,GY,1988,SL.UEM.1524.ZS,,%
Guyana,GY,1989,SL.UEM.1524.ZS,,%
Guyana,GY,1990,SL.UEM.1524.ZS,,%
Guyana,GY,1991,SL.UEM.1524.ZS,27.741,%
Guyana,GY,1992,SL.UEM.1524.ZS,27.828,%
Guyana,GY,1993,SL.UEM.1524.ZS,27.197,%
Guyana,GY,1994,SL.UEM.1524.ZS,26.633,%
Guyana,GY,1995,SL.UEM.1524.ZS,26.293,%
Guyana,GY,1996,SL.UEM.1524.ZS,25.855,%
Guyana,GY,1997,SL.UEM.1524.ZS,25.504,%
Guyana,GY,1998,SL.UEM.1524.ZS,25.321,%
Guyana,GY,1999,SL.UEM.1524.ZS,25.068,%
Guyana,GY,2000,SL.UEM.1524.ZS,24.905,%
Guyana,GY,2001,SL.UEM.1524.ZS,24.305,%
Guyana,GY,2002,SL.UEM.1524.ZS,23.901,%
Guyana,GY,2003,SL.UEM.1524.ZS,23.304,%
Guyana,GY,2004,SL.UEM.1524.ZS,22.729,%
Guyana,GY,2005,SL.UEM.1524.ZS,22.203,%
Guyana,GY,2006,SL.UEM.1524.ZS,21.364,%
Guyana,GY,2007,SL.UEM.1524.ZS,21.549,%
Guyana,GY,2008,SL.UEM.1524.ZS,21.775,%
Guyana,GY,2009,SL.UEM.1524.ZS,22.147,%
Guyana,GY,2010,SL.UEM.1524.ZS,22.558,%
Guyana,GY,2011,SL.UEM.1524.ZS,22.751,%
Guyana,GY,2012,SL.UEM.1524.ZS,22.99,%
Guyana,GY,2013,SL.UEM.1524.ZS,23.291,%
Guyana,GY,2014,SL.UEM.1524.ZS,23.72,%
Guyana,GY,2015,SL.UEM.1524.ZS,24.227,%
Guyana,GY,2016,SL.UEM.1524.ZS,24.616,%
Guyana,GY,2017,SL.UEM.1524.ZS,24.977,%
Guyana,GY,2018,SL.UEM.1524.ZS,25.283,%
Guyana,GY,2019,SL.UEM.1524.ZS,26.304,%
Guyana,GY,2020,SL.UEM.1524.ZS,30.857,%
Guyana,GY,2021,SL.UEM.1524.ZS,28.991,%
Guyana,GY,2022,SL.UEM.1524.ZS,25.329,%
Guyana,GY,2023,SL.UEM.1524.ZS,25.676,%
Guyana,GY,2024,SL.UEM.1524.ZS,22.316,%
