country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SL.UEM.TOTL.ZS,,%
Guyana,GY,1961,SL.UEM.TOTL.ZS,,%
Guyana,GY,1962,SL.UEM.TOTL.ZS,,%
Guyana,GY,1963,SL.UEM.TOTL.ZS,,%
Guyana,GY,1964,SL.UEM.TOTL.ZS,,%
Guyana,GY,1965,SL.UEM.TOTL.ZS,,%
Guyana,GY,1966,SL.UEM.TOTL.ZS,,%
Guyana,GY,1967,SL.UEM.TOTL.ZS,,%
Guyana,GY,1968,SL.UEM.TOTL.ZS,,%
Guyana,GY,1969,SL.UEM.TOTL.ZS,,%
Guyana,GY,1970,SL.UEM.TOTL.ZS,,%
Guyana,GY,1971,SL.UEM.TOTL.ZS,,%
Guyana,GY,1972,SL.UEM.TOTL.ZS,,%
Guyana,GY,1973,SL.UEM.TOTL.ZS,,%
Guyana,GY,1974,SL.UEM.TOTL.ZS,,%
Guyana,GY,1975,SL.UEM.TOTL.ZS,,%
Guyana,GY,1976,SL.UEM.TOTL.ZS,,%
Guyana,GY,1977,SL.UEM.TOTL.ZS,,%
Guyana,GY,1978,SL.UEM.TOTL.ZS,,%
Guyana,GY,1979,SL.UEM.TOTL.ZS,,%
Guyana,GY,1980,SL.UEM.TOTL.ZS,,%
Guyana,GY,1981,SL.UEM.TOTL.ZS,,%
Guyana,GY,1982,SL.UEM.TOTL.ZS,,%
Guyana,GY,1983,SL.UEM.TOTL.ZS,,%
Guyana,GY,1984,SL.UEM.TOTL.ZS,,%
Guyana,GY,1985,SL.UEM.TOTL.ZS,,%
Guyana,GY,1986,SL.UEM.TOTL.ZS,,%
Guyana,GY,1987,SL.UEM.TOTL.ZS,,%
Guyana,GY,1988,SL.UEM.TOTL.ZS,,%
Guyana,GY,1989,SL.UEM.TOTL.ZS,,%
Guyana,GY,1990,SL.UEM.TOTL.ZS,,%
Guyana,GY,1991,SL.UEM.TOTL.ZS,12.055,%
Guyana,GY,1992,SL.UEM.TOTL.ZS,11.9,%
Guyana,GY,1993,SL.UEM.TOTL.ZS,11.71,%
Guyana,GY,1994,SL.UEM.TOTL.ZS,11.622,%
Guyana,GY,1995,SL.UEM.TOTL.ZS,11.643,%
Guyana,GY,1996,SL.UEM.TOTL.ZS,11.611,%
Guyana,GY,1997,SL.UEM.TOTL.ZS,11.624,%
Guyana,GY,1998,SL.UEM.TOTL.ZS,11.731,%
Guyana,GY,1999,SL.UEM.TOTL.ZS,11.802,%
Guyana,GY,2000,SL.UEM.TOTL.ZS,11.93,%
Guyana,GY,2001,SL.UEM.TOTL.ZS,11.806,%
Guyana,GY,2002,SL.UEM.TOTL.ZS,11.81,%
Guyana,GY,2003,SL.UEM.TOTL.ZS,11.529,%
Guyana,GY,2004,SL.UEM.TOTL.ZS,11.28,%
Guyana,GY,2005,SL.UEM.TOTL.ZS,11.08,%
Guyana,GY,2006,SL.UEM.TOTL.ZS,10.7,%
Guyana,GY,2007,SL.UEM.TOTL.ZS,10.846,%
Guyana,GY,2008,SL.UEM.TOTL.ZS,11.027,%
Guyana,GY,2009,SL.UEM.TOTL.ZS,11.314,%
Guyana,GY,2010,SL.UEM.TOTL.ZS,11.636,%
Guyana,GY,2011,SL.UEM.TOTL.ZS,11.819,%
Guyana,GY,2012,SL.UEM.TOTL.ZS,12.038,%
Guyana,GY,2013,SL.UEM.TOTL.ZS,12.303,%
Guyana,GY,2014,SL.UEM.TOTL.ZS,12.639,%
Guyana,GY,2015,SL.UEM.TOTL.ZS,13.004,%
Guyana,GY,2016,SL.UEM.TOTL.ZS,13.257,%
Guyana,GY,2017,SL.UEM.TOTL.ZS,13.462,%
Guyana,GY,2018,SL.UEM.TOTL.ZS,13.627,%
Guyana,GY,2019,SL.UEM.TOTL.ZS,13.172,%
Guyana,GY,2020,SL.UEM.TOTL.ZS,15.334,%
Guyana,GY,2021,SL.UEM.TOTL.ZS,14.557,%
Guyana,GY,2022,SL.UEM.TOTL.ZS,12.013,%
Guyana,GY,2023,SL.UEM.TOTL.ZS,12.025,%
Guyana,GY,2024,SL.UEM.TOTL.ZS,10.165,%
