country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SP.ADO.TFRT,148.341,per 1k
Guyana,GY,1961,SP.ADO.TFRT,142.979,per 1k
Guyana,GY,1962,SP.ADO.TFRT,134.646,per 1k
Guyana,GY,1963,SP.ADO.TFRT,132.074,per 1k
Guyana,GY,1964,SP.ADO.TFRT,129.345,per 1k
Guyana,GY,1965,SP.ADO.TFRT,128.196,per 1k
Guyana,GY,1966,SP.ADO.TFRT,126.843,per 1k
Guyana,GY,1967,SP.ADO.TFRT,125.358,per 1k
Guyana,GY,1968,SP.ADO.TFRT,120.744,per 1k
Guyana,GY,1969,SP.ADO.TFRT,117.73,per 1k
Guyana,GY,1970,SP.ADO.TFRT,115.101,per 1k
Guyana,GY,1971,SP.ADO.TFRT,116.352,per 1k
Guyana,GY,1972,SP.ADO.TFRT,118.034,per 1k
Guyana,GY,1973,SP.ADO.TFRT,118.009,per 1k
Guyana,GY,1974,SP.ADO.TFRT,115.457,per 1k
Guyana,GY,1975,SP.ADO.TFRT,113.523,per 1k
Guyana,GY,1976,SP.ADO.TFRT,111.871,per 1k
Guyana,GY,1977,SP.ADO.TFRT,109.887,per 1k
Guyana,GY,1978,SP.ADO.TFRT,108.5,per 1k
Guyana,GY,1979,SP.ADO.TFRT,105.626,per 1k
Guyana,GY,1980,SP.ADO.TFRT,103.08,per 1k
Guyana,GY,1981,SP.ADO.TFRT,110.102,per 1k
Guyana,GY,1982,SP.ADO.TFRT,111.271,per 1k
Guyana,GY,1983,SP.ADO.TFRT,111.679,per 1k
Guyana,GY,1984,SP.ADO.TFRT,111.345,per 1k
Guyana,GY,1985,SP.ADO.TFRT,111.79,per 1k
Guyana,GY,1986,SP.ADO.TFRT,111.574,per 1k
Guyana,GY,1987,SP.ADO.TFRT,110.661,per 1k
Guyana,GY,1988,SP.ADO.TFRT,108.896,per 1k
Guyana,GY,1989,SP.ADO.TFRT,106.729,per 1k
Guyana,GY,1990,SP.ADO.TFRT,106.651,per 1k
Guyana,GY,1991,SP.ADO.TFRT,106.771,per 1k
Guyana,GY,1992,SP.ADO.TFRT,108.325,per 1k
Guyana,GY,1993,SP.ADO.TFRT,110.275,per 1k
Guyana,GY,1994,SP.ADO.TFRT,111.777,per 1k
Guyana,GY,1995,SP.ADO.TFRT,113.794,per 1k
Guyana,GY,1996,SP.ADO.TFRT,113.423,per 1k
Guyana,GY,1997,SP.ADO.TFRT,112.381,per 1k
Guyana,GY,1998,SP.ADO.TFRT,113.388,per 1k
Guyana,GY,1999,SP.ADO.TFRT,109.843,per 1k
Guyana,GY,2000,SP.ADO.TFRT,105.829,per 1k
Guyana,GY,2001,SP.ADO.TFRT,100.087,per 1k
Guyana,GY,2002,SP.ADO.TFRT,97.642,per 1k
Guyana,GY,2003,SP.ADO.TFRT,93.634,per 1k
Guyana,GY,2004,SP.ADO.TFRT,89.626,per 1k
Guyana,GY,2005,SP.ADO.TFRT,88.263,per 1k
Guyana,GY,2006,SP.ADO.TFRT,88.371,per 1k
Guyana,GY,2007,SP.ADO.TFRT,88.121,per 1k
Guyana,GY,2008,SP.ADO.TFRT,86.737,per 1k
Guyana,GY,2009,SP.ADO.TFRT,85.106,per 1k
Guyana,GY,2010,SP.ADO.TFRT,83.361,per 1k
Guyana,GY,2011,SP.ADO.TFRT,81.687,per 1k
Guyana,GY,2012,SP.ADO.TFRT,79.93,per 1k
Guyana,GY,2013,SP.ADO.TFRT,80.042,per 1k
Guyana,GY,2014,SP.ADO.TFRT,80.206,per 1k
Guyana,GY,2015,SP.ADO.TFRT,80.084,per 1k
Guyana,GY,2016,SP.ADO.TFRT,79.007,per 1k
Guyana,GY,2017,SP.ADO.TFRT,77.516,per 1k
Guyana,GY,2018,SP.ADO.TFRT,76.143,per 1k
Guyana,GY,2019,SP.ADO.TFRT,75.615,per 1k
Guyana,GY,2020,SP.ADO.TFRT,74.211,per 1k
Guyana,GY,2021,SP.ADO.TFRT,72.781,per 1k
Guyana,GY,2022,SP.ADO.TFRT,71.313,per 1k
Guyana,GY,2023,SP.ADO.TFRT,69.927,per 1k
Guyana,GY,2024,SP.ADO.TFRT,,per 1k
