country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SP.DYN.LE00.IN,57.51,years
Guyana,GY,1961,SP.DYN.LE00.IN,57.912,years
Guyana,GY,1962,SP.DYN.LE00.IN,58.303,years
Guyana,GY,1963,SP.DYN.LE00.IN,58.644,years
Guyana,GY,1964,SP.DYN.LE00.IN,58.958,years
Guyana,GY,1965,SP.DYN.LE00.IN,59.137,years
Guyana,GY,1966,SP.DYN.LE00.IN,59.329,years
Guyana,GY,1967,SP.DYN.LE00.IN,59.53,years
Guyana,GY,1968,SP.DYN.LE00.IN,59.69,years
Guyana,GY,1969,SP.DYN.LE00.IN,59.835,years
Guyana,GY,1970,SP.DYN.LE00.IN,59.961,years
Guyana,GY,1971,SP.DYN.LE00.IN,60.068,years
Guyana,GY,1972,SP.DYN.LE00.IN,60.133,years
Guyana,GY,1973,SP.DYN.LE00.IN,60.211,years
Guyana,GY,1974,SP.DYN.LE00.IN,60.305,years
Guyana,GY,1975,SP.DYN.LE00.IN,60.375,years
Guyana,GY,1976,SP.DYN.LE00.IN,60.449,years
Guyana,GY,1977,SP.DYN.LE00.IN,60.558,years
Guyana,GY,1978,SP.DYN.LE00.IN,60.646,years
Guyana,GY,1979,SP.DYN.LE00.IN,60.735,years
Guyana,GY,1980,SP.DYN.LE00.IN,60.808,years
Guyana,GY,1981,SP.DYN.LE00.IN,60.91,years
Guyana,GY,1982,SP.DYN.LE00.IN,61.01,years
Guyana,GY,1983,SP.DYN.LE00.IN,61.157,years
Guyana,GY,1984,SP.DYN.LE00.IN,61.255,years
Guyana,GY,1985,SP.DYN.LE00.IN,61.379,years
Guyana,GY,1986,SP.DYN.LE00.IN,61.521,years
Guyana,GY,1987,SP.DYN.LE00.IN,61.698,years
Guyana,GY,1988,SP.DYN.LE00.IN,61.849,years
Guyana,GY,1989,SP.DYN.LE00.IN,62.054,years
Guyana,GY,1990,SP.DYN.LE00.IN,62.254,years
Guyana,GY,1991,SP.DYN.LE00.IN,62.463,years
Guyana,GY,1992,SP.DYN.LE00.IN,62.816,years
Guyana,GY,1993,SP.DYN.LE00.IN,63.016,years
Guyana,GY,1994,SP.DYN.LE00.IN,63.007,years
Guyana,GY,1995,SP.DYN.LE00.IN,62.668,years
Guyana,GY,1996,SP.DYN.LE00.IN,62.691,years
Guyana,GY,1997,SP.DYN.LE00.IN,62.879,years
Guyana,GY,1998,SP.DYN.LE00.IN,63.429,years
Guyana,GY,1999,SP.DYN.LE00.IN,63.772,years
Guyana,GY,2000,SP.DYN.LE00.IN,64.075,years
Guyana,GY,2001,SP.DYN.LE00.IN,64.38,years
Guyana,GY,2002,SP.DYN.LE00.IN,64.183,years
Guyana,GY,2003,SP.DYN.LE00.IN,64.117,years
Guyana,GY,2004,SP.DYN.LE00.IN,64.214,years
Guyana,GY,2005,SP.DYN.LE00.IN,64.392,years
Guyana,GY,2006,SP.DYN.LE00.IN,64.848,years
Guyana,GY,2007,SP.DYN.LE00.IN,65.462,years
Guyana,GY,2008,SP.DYN.LE00.IN,65.721,years
Guyana,GY,2009,SP.DYN.LE00.IN,66.03,years
Guyana,GY,2010,SP.DYN.LE00.IN,66.204,years
Guyana,GY,2011,SP.DYN.LE00.IN,66.469,years
Guyana,GY,2012,SP.DYN.LE00.IN,66.443,years
Guyana,GY,2013,SP.DYN.LE00.IN,66.71,years
Guyana,GY,2014,SP.DYN.LE00.IN,67.334,years
Guyana,GY,2015,SP.DYN.LE00.IN,67.719,years
Guyana,GY,2016,SP.DYN.LE00.IN,68.069,years
Guyana,GY,2017,SP.DYN.LE00.IN,68.543,years
Guyana,GY,2018,SP.DYN.LE00.IN,68.829,years
Guyana,GY,2019,SP.DYN.LE00.IN,69.067,years
Guyana,GY,2020,SP.DYN.LE00.IN,67.751,years
Guyana,GY,2021,SP.DYN.LE00.IN,64.323,years
Guyana,GY,2022,SP.DYN.LE00.IN,69.888,years
Guyana,GY,2023,SP.DYN.LE00.IN,70.18,years
Guyana,GY,2024,SP.DYN.LE00.IN,,years
