country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SP.DYN.TFRT.IN,6.331,
Guyana,GY,1961,SP.DYN.TFRT.IN,6.339,
Guyana,GY,1962,SP.DYN.TFRT.IN,6.333,
Guyana,GY,1963,SP.DYN.TFRT.IN,6.307,
Guyana,GY,1964,SP.DYN.TFRT.IN,6.232,
Guyana,GY,1965,SP.DYN.TFRT.IN,6.135,
Guyana,GY,1966,SP.DYN.TFRT.IN,6.021,
Guyana,GY,1967,SP.DYN.TFRT.IN,5.888,
Guyana,GY,1968,SP.DYN.TFRT.IN,5.751,
Guyana,GY,1969,SP.DYN.TFRT.IN,5.581,
Guyana,GY,1970,SP.DYN.TFRT.IN,5.411,
Guyana,GY,1971,SP.DYN.TFRT.IN,5.257,
Guyana,GY,1972,SP.DYN.TFRT.IN,5.077,
Guyana,GY,1973,SP.DYN.TFRT.IN,4.866,
Guyana,GY,1974,SP.DYN.TFRT.IN,4.638,
Guyana,GY,1975,SP.DYN.TFRT.IN,4.45,
Guyana,GY,1976,SP.DYN.TFRT.IN,4.28,
Guyana,GY,1977,SP.DYN.TFRT.IN,4.116,
Guyana,GY,1978,SP.DYN.TFRT.IN,3.967,
Guyana,GY,1979,SP.DYN.TFRT.IN,3.86,
Guyana,GY,1980,SP.DYN.TFRT.IN,3.77,
Guyana,GY,1981,SP.DYN.TFRT.IN,3.719,
Guyana,GY,1982,SP.DYN.TFRT.IN,3.678,
Guyana,GY,1983,SP.DYN.TFRT.IN,3.637,
Guyana,GY,1984,SP.DYN.TFRT.IN,3.541,
Guyana,GY,1985,SP.DYN.TFRT.IN,3.47,
Guyana,GY,1986,SP.DYN.TFRT.IN,3.381,
Guyana,GY,1987,SP.DYN.TFRT.IN,3.305,
Guyana,GY,1988,SP.DYN.TFRT.IN,3.228,
Guyana,GY,1989,SP.DYN.TFRT.IN,3.186,
Guyana,GY,1990,SP.DYN.TFRT.IN,3.181,
Guyana,GY,1991,SP.DYN.TFRT.IN,3.183,
Guyana,GY,1992,SP.DYN.TFRT.IN,3.188,
Guyana,GY,1993,SP.DYN.TFRT.IN,3.199,
Guyana,GY,1994,SP.DYN.TFRT.IN,3.226,
Guyana,GY,1995,SP.DYN.TFRT.IN,3.238,
Guyana,GY,1996,SP.DYN.TFRT.IN,3.23,
Guyana,GY,1997,SP.DYN.TFRT.IN,3.221,
Guyana,GY,1998,SP.DYN.TFRT.IN,3.182,
Guyana,GY,1999,SP.DYN.TFRT.IN,3.125,
Guyana,GY,2000,SP.DYN.TFRT.IN,3.057,
Guyana,GY,2001,SP.DYN.TFRT.IN,2.958,
Guyana,GY,2002,SP.DYN.TFRT.IN,2.844,
Guyana,GY,2003,SP.DYN.TFRT.IN,2.75,
Guyana,GY,2004,SP.DYN.TFRT.IN,2.681,
Guyana,GY,2005,SP.DYN.TFRT.IN,2.648,
Guyana,GY,2006,SP.DYN.TFRT.IN,2.659,
Guyana,GY,2007,SP.DYN.TFRT.IN,2.681,
Guyana,GY,2008,SP.DYN.TFRT.IN,2.697,
Guyana,GY,2009,SP.DYN.TFRT.IN,2.694,
Guyana,GY,2010,SP.DYN.TFRT.IN,2.684,
Guyana,GY,2011,SP.DYN.TFRT.IN,2.694,
Guyana,GY,2012,SP.DYN.TFRT.IN,2.701,
Guyana,GY,2013,SP.DYN.TFRT.IN,2.711,
Guyana,GY,2014,SP.DYN.TFRT.IN,2.695,
Guyana,GY,2015,SP.DYN.TFRT.IN,2.667,
Guyana,GY,2016,SP.DYN.TFRT.IN,2.634,
Guyana,GY,2017,SP.DYN.TFRT.IN,2.593,
Guyana,GY,2018,SP.DYN.TFRT.IN,2.553,
Guyana,GY,2019,SP.DYN.TFRT.IN,2.521,
Guyana,GY,2020,SP.DYN.TFRT.IN,2.491,
Guyana,GY,2021,SP.DYN.TFRT.IN,2.462,
Guyana,GY,2022,SP.DYN.TFRT.IN,2.437,
Guyana,GY,2023,SP.DYN.TFRT.IN,2.412,
Guyana,GY,2024,SP.DYN.TFRT.IN,,
