country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SP.POP.TOTL,569143,people
Guyana,GY,1961,SP.POP.TOTL,582568,people
Guyana,GY,1962,SP.POP.TOTL,595461,people
Guyana,GY,1963,SP.POP.TOTL,608537,people
Guyana,GY,1964,SP.POP.TOTL,621764,people
Guyana,GY,1965,SP.POP.TOTL,635128,people
Guyana,GY,1966,SP.POP.TOTL,648646,people
Guyana,GY,1967,SP.POP.TOTL,662311,people
Guyana,GY,1968,SP.POP.TOTL,676160,people
Guyana,GY,1969,SP.POP.TOTL,690223,people
Guyana,GY,1970,SP.POP.TOTL,702705,people
Guyana,GY,1971,SP.POP.TOTL,712662,people
Guyana,GY,1972,SP.POP.TOTL,721617,people
Guyana,GY,1973,SP.POP.TOTL,730138,people
Guyana,GY,1974,SP.POP.TOTL,738057,people
Guyana,GY,1975,SP.POP.TOTL,745393,people
Guyana,GY,1976,SP.POP.TOTL,752253,people
Guyana,GY,1977,SP.POP.TOTL,758654,people
Guyana,GY,1978,SP.POP.TOTL,764586,people
Guyana,GY,1979,SP.POP.TOTL,770062,people
Guyana,GY,1980,SP.POP.TOTL,774367,people
Guyana,GY,1981,SP.POP.TOTL,776453,people
Guyana,GY,1982,SP.POP.TOTL,776712,people
Guyana,GY,1983,SP.POP.TOTL,775891,people
Guyana,GY,1984,SP.POP.TOTL,774111,people
Guyana,GY,1985,SP.POP.TOTL,771477,people
Guyana,GY,1986,SP.POP.TOTL,768098,people
Guyana,GY,1987,SP.POP.TOTL,764120,people
Guyana,GY,1988,SP.POP.TOTL,759663,people
Guyana,GY,1989,SP.POP.TOTL,754865,people
Guyana,GY,1990,SP.POP.TOTL,749894,people
Guyana,GY,1991,SP.POP.TOTL,747861,people
Guyana,GY,1992,SP.POP.TOTL,749911,people
Guyana,GY,1993,SP.POP.TOTL,752965,people
Guyana,GY,1994,SP.POP.TOTL,755822,people
Guyana,GY,1995,SP.POP.TOTL,758388,people
Guyana,GY,1996,SP.POP.TOTL,760526,people
Guyana,GY,1997,SP.POP.TOTL,762245,people
Guyana,GY,1998,SP.POP.TOTL,763586,people
Guyana,GY,1999,SP.POP.TOTL,764483,people
Guyana,GY,2000,SP.POP.TOTL,764832,people
Guyana,GY,2001,SP.POP.TOTL,764477,people
Guyana,GY,2002,SP.POP.TOTL,763652,people
Guyana,GY,2003,SP.POP.TOTL,763101,people
Guyana,GY,2004,SP.POP.TOTL,762418,people
Guyana,GY,2005,SP.POP.TOTL,760914,people
Guyana,GY,2006,SP.POP.TOTL,758966,people
Guyana,GY,2007,SP.POP.TOTL,756861,people
Guyana,GY,2008,SP.POP.TOTL,754606,people
Guyana,GY,2009,SP.POP.TOTL,752094,people
Guyana,GY,2010,SP.POP.TOTL,749256,people
Guyana,GY,2011,SP.POP.TOTL,746153,people
Guyana,GY,2012,SP.POP.TOTL,746288,people
Guyana,GY,2013,SP.POP.TOTL,750021,people
Guyana,GY,2014,SP.POP.TOTL,754229,people
Guyana,GY,2015,SP.POP.TOTL,758781,people
Guyana,GY,2016,SP.POP.TOTL,763548,people
Guyana,GY,2017,SP.POP.TOTL,768479,people
Guyana,GY,2018,SP.POP.TOTL,791556,people
Guyana,GY,2019,SP.POP.TOTL,807665,people
Guyana,GY,2020,SP.POP.TOTL,807481,people
Guyana,GY,2021,SP.POP.TOTL,815482,people
Guyana,GY,2022,SP.POP.TOTL,821637,people
Guyana,GY,2023,SP.POP.TOTL,826353,people
Guyana,GY,2024,SP.POP.TOTL,831087,people
