country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SP.URB.TOTL.IN.ZS,29.009,%
Guyana,GY,1961,SP.URB.TOTL.IN.ZS,29.049,%
Guyana,GY,1962,SP.URB.TOTL.IN.ZS,29.089,%
Guyana,GY,1963,SP.URB.TOTL.IN.ZS,29.129,%
Guyana,GY,1964,SP.URB.TOTL.IN.ZS,29.169,%
Guyana,GY,1965,SP.URB.TOTL.IN.ZS,29.209,%
Guyana,GY,1966,SP.URB.TOTL.IN.ZS,29.249,%
Guyana,GY,1967,SP.URB.TOTL.IN.ZS,29.289,%
Guyana,GY,1968,SP.URB.TOTL.IN.ZS,29.329,%
Guyana,GY,1969,SP.URB.TOTL.IN.ZS,29.369,%
Guyana,GY,1970,SP.URB.TOTL.IN.ZS,29.425,%
Guyana,GY,1971,SP.URB.TOTL.IN.ZS,29.533,%
Guyana,GY,1972,SP.URB.TOTL.IN.ZS,29.641,%
Guyana,GY,1973,SP.URB.TOTL.IN.ZS,29.75,%
Guyana,GY,1974,SP.URB.TOTL.IN.ZS,29.858,%
Guyana,GY,1975,SP.URB.TOTL.IN.ZS,29.967,%
Guyana,GY,1976,SP.URB.TOTL.IN.ZS,30.076,%
Guyana,GY,1977,SP.URB.TOTL.IN.ZS,30.186,%
Guyana,GY,1978,SP.URB.TOTL.IN.ZS,30.295,%
Guyana,GY,1979,SP.URB.TOTL.IN.ZS,30.405,%
Guyana,GY,1980,SP.URB.TOTL.IN.ZS,30.488,%
Guyana,GY,1981,SP.URB.TOTL.IN.ZS,30.396,%
Guyana,GY,1982,SP.URB.TOTL.IN.ZS,30.305,%
Guyana,GY,1983,SP.URB.TOTL.IN.ZS,30.215,%
Guyana,GY,1984,SP.URB.TOTL.IN.ZS,30.124,%
Guyana,GY,1985,SP.URB.TOTL.IN.ZS,30.033,%
Guyana,GY,1986,SP.URB.TOTL.IN.ZS,29.943,%
Guyana,GY,1987,SP.URB.TOTL.IN.ZS,29.853,%
Guyana,GY,1988,SP.URB.TOTL.IN.ZS,29.763,%
Guyana,GY,1989,SP.URB.TOTL.IN.ZS,29.673,%
Guyana,GY,1990,SP.URB.TOTL.IN.ZS,29.583,%
Guyana,GY,1991,SP.URB.TOTL.IN.ZS,29.493,%
Guyana,GY,1992,SP.URB.TOTL.IN.ZS,29.404,%
Guyana,GY,1993,SP.URB.TOTL.IN.ZS,29.315,%
Guyana,GY,1994,SP.URB.TOTL.IN.ZS,29.226,%
Guyana,GY,1995,SP.URB.TOTL.IN.ZS,29.137,%
Guyana,GY,1996,SP.URB.TOTL.IN.ZS,29.048,%
Guyana,GY,1997,SP.URB.TOTL.IN.ZS,28.959,%
Guyana,GY,1998,SP.URB.TOTL.IN.ZS,28.871,%
Guyana,GY,1999,SP.URB.TOTL.IN.ZS,28.782,%
Guyana,GY,2000,SP.URB.TOTL.IN.ZS,28.694,%
Guyana,GY,2001,SP.URB.TOTL.IN.ZS,28.606,%
Guyana,GY,2002,SP.URB.TOTL.IN.ZS,28.518,%
Guyana,GY,2003,SP.URB.TOTL.IN.ZS,28.307,%
Guyana,GY,2004,SP.URB.TOTL.IN.ZS,28.064,%
Guyana,GY,2005,SP.URB.TOTL.IN.ZS,27.822,%
Guyana,GY,2006,SP.URB.TOTL.IN.ZS,27.582,%
Guyana,GY,2007,SP.URB.TOTL.IN.ZS,27.343,%
Guyana,GY,2008,SP.URB.TOTL.IN.ZS,27.105,%
Guyana,GY,2009,SP.URB.TOTL.IN.ZS,26.869,%
Guyana,GY,2010,SP.URB.TOTL.IN.ZS,26.634,%
Guyana,GY,2011,SP.URB.TOTL.IN.ZS,26.4,%
Guyana,GY,2012,SP.URB.TOTL.IN.ZS,26.4,%
Guyana,GY,2013,SP.URB.TOTL.IN.ZS,26.4,%
Guyana,GY,2014,SP.URB.TOTL.IN.ZS,26.414,%
Guyana,GY,2015,SP.URB.TOTL.IN.ZS,26.441,%
Guyana,GY,2016,SP.URB.TOTL.IN.ZS,26.482,%
Guyana,GY,2017,SP.URB.TOTL.IN.ZS,26.538,%
Guyana,GY,2018,SP.URB.TOTL.IN.ZS,26.606,%
Guyana,GY,2019,SP.URB.TOTL.IN.ZS,26.689,%
Guyana,GY,2020,SP.URB.TOTL.IN.ZS,26.786,%
Guyana,GY,2021,SP.URB.TOTL.IN.ZS,26.897,%
Guyana,GY,2022,SP.URB.TOTL.IN.ZS,27.022,%
Guyana,GY,2023,SP.URB.TOTL.IN.ZS,27.162,%
Guyana,GY,2024,SP.URB.TOTL.IN.ZS,27.316,%
