country,iso2c,year,indicator,value,unit
Guyana,GY,1960,ST.INT.ARVL,,arrivals
Guyana,GY,1961,ST.INT.ARVL,,arrivals
Guyana,GY,1962,ST.INT.ARVL,,arrivals
Guyana,GY,1963,ST.INT.ARVL,,arrivals
Guyana,GY,1964,ST.INT.ARVL,,arrivals
Guyana,GY,1965,ST.INT.ARVL,,arrivals
Guyana,GY,1966,ST.INT.ARVL,,arrivals
Guyana,GY,1967,ST.INT.ARVL,,arrivals
Guyana,GY,1968,ST.INT.ARVL,,arrivals
Guyana,GY,1969,ST.INT.ARVL,,arrivals
Guyana,GY,1970,ST.INT.ARVL,,arrivals
Guyana,GY,1971,ST.INT.ARVL,,arrivals
Guyana,GY,1972,ST.INT.ARVL,,arrivals
Guyana,GY,1973,ST.INT.ARVL,,arrivals
Guyana,GY,1974,ST.INT.ARVL,,arrivals
Guyana,GY,1975,ST.INT.ARVL,,arrivals
Guyana,GY,1976,ST.INT.ARVL,,arrivals
Guyana,GY,1977,ST.INT.ARVL,,arrivals
Guyana,GY,1978,ST.INT.ARVL,,arrivals
Guyana,GY,1979,ST.INT.ARVL,,arrivals
Guyana,GY,1980,ST.INT.ARVL,,arrivals
Guyana,GY,1981,ST.INT.ARVL,,arrivals
Guyana,GY,1982,ST.INT.ARVL,,arrivals
Guyana,GY,1983,ST.INT.ARVL,,arrivals
Guyana,GY,1984,ST.INT.ARVL,,arrivals
Guyana,GY,1985,ST.INT.ARVL,,arrivals
Guyana,GY,1986,ST.INT.ARVL,,arrivals
Guyana,GY,1987,ST.INT.ARVL,,arrivals
Guyana,GY,1988,ST.INT.ARVL,,arrivals
Guyana,GY,1989,ST.INT.ARVL,,arrivals
Guyana,GY,1990,ST.INT.ARVL,,arrivals
Guyana,GY,1991,ST.INT.ARVL,,arrivals
Guyana,GY,1992,ST.INT.ARVL,,arrivals
Guyana,GY,1993,ST.INT.ARVL,,arrivals
Guyana,GY,1994,ST.INT.ARVL,,arrivals
Guyana,GY,1995,ST.INT.ARVL,106000.0,arrivals
Guyana,GY,1996,ST.INT.ARVL,92000.0,arrivals
Guyana,GY,1997,ST.INT.ARVL,76000.0,arrivals
Guyana,GY,1998,ST.INT.ARVL,66000.0,arrivals
Guyana,GY,1999,ST.INT.ARVL,75000.0,arrivals
Guyana,GY,2000,ST.INT.ARVL,105000.0,arrivals
Guyana,GY,2001,ST.INT.ARVL,99000.0,arrivals
Guyana,GY,2002,ST.INT.ARVL,104000.0,arrivals
Guyana,GY,2003,ST.INT.ARVL,101000.0,arrivals
Guyana,GY,2004,ST.INT.ARVL,122000.0,arrivals
Guyana,GY,2005,ST.INT.ARVL,117000.0,arrivals
Guyana,GY,2006,ST.INT.ARVL,113000.0,arrivals
Guyana,GY,2007,ST.INT.ARVL,134000.0,arrivals
Guyana,GY,2008,ST.INT.ARVL,130000.0,arrivals
Guyana,GY,2009,ST.INT.ARVL,141000.0,arrivals
Guyana,GY,2010,ST.INT.ARVL,152000.0,arrivals
Guyana,GY,2011,ST.INT.ARVL,157000.0,arrivals
Guyana,GY,2012,ST.INT.ARVL,177000.0,arrivals
Guyana,GY,2013,ST.INT.ARVL,200000.0,arrivals
Guyana,GY,2014,ST.INT.ARVL,206000.0,arrivals
Guyana,GY,2015,ST.INT.ARVL,207000.0,arrivals
Guyana,GY,2016,ST.INT.ARVL,235000.0,arrivals
Guyana,GY,2017,ST.INT.ARVL,247000.0,arrivals
Guyana,GY,2018,ST.INT.ARVL,287000.0,arrivals
Guyana,GY,2019,ST.INT.ARVL,315000.0,arrivals
Guyana,GY,2020,ST.INT.ARVL,86400.0015258789,arrivals
Guyana,GY,2021,ST.INT.ARVL,,arrivals
Guyana,GY,2022,ST.INT.ARVL,,arrivals
Guyana,GY,2023,ST.INT.ARVL,,arrivals
Guyana,GY,2024,ST.INT.ARVL,,arrivals
