country,iso2c,year,indicator,value,unit
Guyana,GY,1960,ST.INT.XPND.CD,,US$
Guyana,GY,1961,ST.INT.XPND.CD,,US$
Guyana,GY,1962,ST.INT.XPND.CD,,US$
Guyana,GY,1963,ST.INT.XPND.CD,,US$
Guyana,GY,1964,ST.INT.XPND.CD,,US$
Guyana,GY,1965,ST.INT.XPND.CD,,US$
Guyana,GY,1966,ST.INT.XPND.CD,,US$
Guyana,GY,1967,ST.INT.XPND.CD,,US$
Guyana,GY,1968,ST.INT.XPND.CD,,US$
Guyana,GY,1969,ST.INT.XPND.CD,,US$
Guyana,GY,1970,ST.INT.XPND.CD,,US$
Guyana,GY,1971,ST.INT.XPND.CD,,US$
Guyana,GY,1972,ST.INT.XPND.CD,,US$
Guyana,GY,1973,ST.INT.XPND.CD,,US$
Guyana,GY,1974,ST.INT.XPND.CD,,US$
Guyana,GY,1975,ST.INT.XPND.CD,,US$
Guyana,GY,1976,ST.INT.XPND.CD,,US$
Guyana,GY,1977,ST.INT.XPND.CD,,US$
Guyana,GY,1978,ST.INT.XPND.CD,,US$
Guyana,GY,1979,ST.INT.XPND.CD,,US$
Guyana,GY,1980,ST.INT.XPND.CD,,US$
Guyana,GY,1981,ST.INT.XPND.CD,,US$
Guyana,GY,1982,ST.INT.XPND.CD,,US$
Guyana,GY,1983,ST.INT.XPND.CD,,US$
Guyana,GY,1984,ST.INT.XPND.CD,,US$
Guyana,GY,1985,ST.INT.XPND.CD,,US$
Guyana,GY,1986,ST.INT.XPND.CD,,US$
Guyana,GY,1987,ST.INT.XPND.CD,,US$
Guyana,GY,1988,ST.INT.XPND.CD,,US$
Guyana,GY,1989,ST.INT.XPND.CD,,US$
Guyana,GY,1990,ST.INT.XPND.CD,,US$
Guyana,GY,1991,ST.INT.XPND.CD,,US$
Guyana,GY,1992,ST.INT.XPND.CD,,US$
Guyana,GY,1993,ST.INT.XPND.CD,,US$
Guyana,GY,1994,ST.INT.XPND.CD,,US$
Guyana,GY,1995,ST.INT.XPND.CD,,US$
Guyana,GY,1996,ST.INT.XPND.CD,65000000.0,US$
Guyana,GY,1997,ST.INT.XPND.CD,69000000.0,US$
Guyana,GY,1998,ST.INT.XPND.CD,69000000.0,US$
Guyana,GY,1999,ST.INT.XPND.CD,82000000.0,US$
Guyana,GY,2000,ST.INT.XPND.CD,77000000.0,US$
Guyana,GY,2001,ST.INT.XPND.CD,62000000.0,US$
Guyana,GY,2002,ST.INT.XPND.CD,44000000.0,US$
Guyana,GY,2003,ST.INT.XPND.CD,30000000.0,US$
Guyana,GY,2004,ST.INT.XPND.CD,,US$
Guyana,GY,2005,ST.INT.XPND.CD,,US$
Guyana,GY,2006,ST.INT.XPND.CD,,US$
Guyana,GY,2007,ST.INT.XPND.CD,,US$
Guyana,GY,2008,ST.INT.XPND.CD,,US$
Guyana,GY,2009,ST.INT.XPND.CD,,US$
Guyana,GY,2010,ST.INT.XPND.CD,,US$
Guyana,GY,2011,ST.INT.XPND.CD,,US$
Guyana,GY,2012,ST.INT.XPND.CD,,US$
Guyana,GY,2013,ST.INT.XPND.CD,,US$
Guyana,GY,2014,ST.INT.XPND.CD,,US$
Guyana,GY,2015,ST.INT.XPND.CD,,US$
Guyana,GY,2016,ST.INT.XPND.CD,,US$
Guyana,GY,2017,ST.INT.XPND.CD,,US$
Guyana,GY,2018,ST.INT.XPND.CD,,US$
Guyana,GY,2019,ST.INT.XPND.CD,,US$
Guyana,GY,2020,ST.INT.XPND.CD,,US$
Guyana,GY,2021,ST.INT.XPND.CD,,US$
Guyana,GY,2022,ST.INT.XPND.CD,,US$
Guyana,GY,2023,ST.INT.XPND.CD,,US$
Guyana,GY,2024,ST.INT.XPND.CD,,US$
