country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1961,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1962,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1963,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1964,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1965,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1966,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1967,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1968,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1969,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1970,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1971,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1972,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1973,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1974,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1975,BN.CAB.XOKA.GD.ZS,,%
Jamaica,JM,1976,BN.CAB.XOKA.GD.ZS,-8.89400500274458,%
Jamaica,JM,1977,BN.CAB.XOKA.GD.ZS,-0.390801319798305,%
Jamaica,JM,1978,BN.CAB.XOKA.GD.ZS,-0.820562363660235,%
Jamaica,JM,1979,BN.CAB.XOKA.GD.ZS,-4.3916362595509,%
Jamaica,JM,1980,BN.CAB.XOKA.GD.ZS,-5.07953451635206,%
Jamaica,JM,1981,BN.CAB.XOKA.GD.ZS,-10.2986612900187,%
Jamaica,JM,1982,BN.CAB.XOKA.GD.ZS,-11.4839207123,%
Jamaica,JM,1983,BN.CAB.XOKA.GD.ZS,-9.25844859773033,%
Jamaica,JM,1984,BN.CAB.XOKA.GD.ZS,-13.1493620359573,%
Jamaica,JM,1985,BN.CAB.XOKA.GD.ZS,-12.8850463190593,%
Jamaica,JM,1986,BN.CAB.XOKA.GD.ZS,-0.58281563697435,%
Jamaica,JM,1987,BN.CAB.XOKA.GD.ZS,-3.79651015258308,%
Jamaica,JM,1988,BN.CAB.XOKA.GD.ZS,1.24059175859453,%
Jamaica,JM,1989,BN.CAB.XOKA.GD.ZS,-6.41131051197616,%
Jamaica,JM,1990,BN.CAB.XOKA.GD.ZS,-6.7962794459024,%
Jamaica,JM,1991,BN.CAB.XOKA.GD.ZS,-5.8472444776442,%
Jamaica,JM,1992,BN.CAB.XOKA.GD.ZS,0.806118560980681,%
Jamaica,JM,1993,BN.CAB.XOKA.GD.ZS,-3.38248971095327,%
Jamaica,JM,1994,BN.CAB.XOKA.GD.ZS,1.49654503129105,%
Jamaica,JM,1995,BN.CAB.XOKA.GD.ZS,-1.50360607545815,%
Jamaica,JM,1996,BN.CAB.XOKA.GD.ZS,-1.92861894016571,%
Jamaica,JM,1997,BN.CAB.XOKA.GD.ZS,-3.95474226120464,%
Jamaica,JM,1998,BN.CAB.XOKA.GD.ZS,-3.79870910291059,%
Jamaica,JM,1999,BN.CAB.XOKA.GD.ZS,-2.43387631839692,%
Jamaica,JM,2000,BN.CAB.XOKA.GD.ZS,-4.07992636835457,%
Jamaica,JM,2001,BN.CAB.XOKA.GD.ZS,-8.25255531148696,%
Jamaica,JM,2002,BN.CAB.XOKA.GD.ZS,-11.0508689241364,%
Jamaica,JM,2003,BN.CAB.XOKA.GD.ZS,-8.20081771864531,%
Jamaica,JM,2004,BN.CAB.XOKA.GD.ZS,-4.92950870317959,%
Jamaica,JM,2005,BN.CAB.XOKA.GD.ZS,-9.52805454519088,%
Jamaica,JM,2006,BN.CAB.XOKA.GD.ZS,-9.91484107251583,%
Jamaica,JM,2007,BN.CAB.XOKA.GD.ZS,-15.9234659804591,%
Jamaica,JM,2008,BN.CAB.XOKA.GD.ZS,-20.3748078735041,%
Jamaica,JM,2009,BN.CAB.XOKA.GD.ZS,-9.3024726659181,%
Jamaica,JM,2010,BN.CAB.XOKA.GD.ZS,-7.06479945013375,%
Jamaica,JM,2011,BN.CAB.XOKA.GD.ZS,-14.283409237551,%
Jamaica,JM,2012,BN.CAB.XOKA.GD.ZS,-9.72634702774032,%
Jamaica,JM,2013,BN.CAB.XOKA.GD.ZS,-9.51223858387759,%
Jamaica,JM,2014,BN.CAB.XOKA.GD.ZS,-8.01738727219535,%
Jamaica,JM,2015,BN.CAB.XOKA.GD.ZS,-3.03124151216548,%
Jamaica,JM,2016,BN.CAB.XOKA.GD.ZS,-0.308749954572895,%
Jamaica,JM,2017,BN.CAB.XOKA.GD.ZS,-2.68406865367836,%
Jamaica,JM,2018,BN.CAB.XOKA.GD.ZS,-1.49278165242864,%
Jamaica,JM,2019,BN.CAB.XOKA.GD.ZS,-1.91168616722892,%
Jamaica,JM,2020,BN.CAB.XOKA.GD.ZS,-1.13600320771721,%
Jamaica,JM,2021,BN.CAB.XOKA.GD.ZS,1.01832689105355,%
Jamaica,JM,2022,BN.CAB.XOKA.GD.ZS,-0.797768637454329,%
Jamaica,JM,2023,BN.CAB.XOKA.GD.ZS,2.9291132014392,%
Jamaica,JM,2024,BN.CAB.XOKA.GD.ZS,3.4059134909284,%
