country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1961,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1962,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1963,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1964,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1965,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1966,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1967,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1968,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1969,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1970,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1971,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1972,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1973,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1974,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1975,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1976,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1977,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1978,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1979,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1980,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1981,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1982,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1983,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1984,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1985,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1986,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1987,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1988,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1989,EG.ELC.ACCS.ZS,,%
Jamaica,JM,1990,EG.ELC.ACCS.ZS,70.334586,%
Jamaica,JM,1991,EG.ELC.ACCS.ZS,77.2288665771484,%
Jamaica,JM,1992,EG.ELC.ACCS.ZS,78.0329208374023,%
Jamaica,JM,1993,EG.ELC.ACCS.ZS,78.836296081543,%
Jamaica,JM,1994,EG.ELC.ACCS.ZS,79.638313293457,%
Jamaica,JM,1995,EG.ELC.ACCS.ZS,80.4382934570313,%
Jamaica,JM,1996,EG.ELC.ACCS.ZS,85.706045,%
Jamaica,JM,1997,EG.ELC.ACCS.ZS,82.0294036865234,%
Jamaica,JM,1998,EG.ELC.ACCS.ZS,82.8191757202148,%
Jamaica,JM,1999,EG.ELC.ACCS.ZS,84.554112,%
Jamaica,JM,2000,EG.ELC.ACCS.ZS,84.4,%
Jamaica,JM,2001,EG.ELC.ACCS.ZS,87.7,%
Jamaica,JM,2002,EG.ELC.ACCS.ZS,86.7,%
Jamaica,JM,2003,EG.ELC.ACCS.ZS,86.5,%
Jamaica,JM,2004,EG.ELC.ACCS.ZS,87.2,%
Jamaica,JM,2005,EG.ELC.ACCS.ZS,88.0,%
Jamaica,JM,2006,EG.ELC.ACCS.ZS,88.7,%
Jamaica,JM,2007,EG.ELC.ACCS.ZS,89.4,%
Jamaica,JM,2008,EG.ELC.ACCS.ZS,92.0,%
Jamaica,JM,2009,EG.ELC.ACCS.ZS,91.0,%
Jamaica,JM,2010,EG.ELC.ACCS.ZS,92.2,%
Jamaica,JM,2011,EG.ELC.ACCS.ZS,91.1,%
Jamaica,JM,2012,EG.ELC.ACCS.ZS,93.1,%
Jamaica,JM,2013,EG.ELC.ACCS.ZS,93.9,%
Jamaica,JM,2014,EG.ELC.ACCS.ZS,93.3,%
Jamaica,JM,2015,EG.ELC.ACCS.ZS,94.9,%
Jamaica,JM,2016,EG.ELC.ACCS.ZS,96.6,%
Jamaica,JM,2017,EG.ELC.ACCS.ZS,97.4,%
Jamaica,JM,2018,EG.ELC.ACCS.ZS,98.2,%
Jamaica,JM,2019,EG.ELC.ACCS.ZS,98.9,%
Jamaica,JM,2020,EG.ELC.ACCS.ZS,99.7,%
Jamaica,JM,2021,EG.ELC.ACCS.ZS,100.0,%
Jamaica,JM,2022,EG.ELC.ACCS.ZS,100.0,%
Jamaica,JM,2023,EG.ELC.ACCS.ZS,97.7,%
Jamaica,JM,2024,EG.ELC.ACCS.ZS,,%
