country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1961,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1962,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1963,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1964,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1965,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1966,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1967,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1968,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1969,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1970,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1971,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1972,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1973,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1974,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1975,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1976,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1977,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1978,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1979,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1980,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1981,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1982,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1983,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1984,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1985,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1986,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1987,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,1988,GC.TAX.TOTL.GD.ZS,23.4781336217276,%
Jamaica,JM,1989,GC.TAX.TOTL.GD.ZS,24.4940968000882,%
Jamaica,JM,1990,GC.TAX.TOTL.GD.ZS,23.4864850280994,%
Jamaica,JM,1991,GC.TAX.TOTL.GD.ZS,23.0828644767169,%
Jamaica,JM,1992,GC.TAX.TOTL.GD.ZS,23.4680682029233,%
Jamaica,JM,1993,GC.TAX.TOTL.GD.ZS,21.3287135032817,%
Jamaica,JM,1994,GC.TAX.TOTL.GD.ZS,21.1031675539708,%
Jamaica,JM,1995,GC.TAX.TOTL.GD.ZS,21.7440400125625,%
Jamaica,JM,1996,GC.TAX.TOTL.GD.ZS,20.1091995719527,%
Jamaica,JM,1997,GC.TAX.TOTL.GD.ZS,19.9140942077378,%
Jamaica,JM,1998,GC.TAX.TOTL.GD.ZS,20.851857286619,%
Jamaica,JM,1999,GC.TAX.TOTL.GD.ZS,21.892234514133,%
Jamaica,JM,2000,GC.TAX.TOTL.GD.ZS,22.4946625353317,%
Jamaica,JM,2001,GC.TAX.TOTL.GD.ZS,21.4148130153716,%
Jamaica,JM,2002,GC.TAX.TOTL.GD.ZS,21.8590101924323,%
Jamaica,JM,2003,GC.TAX.TOTL.GD.ZS,24.071100071624,%
Jamaica,JM,2004,GC.TAX.TOTL.GD.ZS,24.1674973059177,%
Jamaica,JM,2005,GC.TAX.TOTL.GD.ZS,23.2159728449925,%
Jamaica,JM,2006,GC.TAX.TOTL.GD.ZS,24.0143899425756,%
Jamaica,JM,2007,GC.TAX.TOTL.GD.ZS,24.786546428363,%
Jamaica,JM,2008,GC.TAX.TOTL.GD.ZS,24.684756616975,%
Jamaica,JM,2009,GC.TAX.TOTL.GD.ZS,24.9559702047372,%
Jamaica,JM,2010,GC.TAX.TOTL.GD.ZS,24.2781717265526,%
Jamaica,JM,2011,GC.TAX.TOTL.GD.ZS,23.364368298024,%
Jamaica,JM,2012,GC.TAX.TOTL.GD.ZS,24.3328930313007,%
Jamaica,JM,2013,GC.TAX.TOTL.GD.ZS,24.0092921973108,%
Jamaica,JM,2014,GC.TAX.TOTL.GD.ZS,24.0532304305783,%
Jamaica,JM,2015,GC.TAX.TOTL.GD.ZS,24.8153092563686,%
Jamaica,JM,2016,GC.TAX.TOTL.GD.ZS,26.0266842466499,%
Jamaica,JM,2017,GC.TAX.TOTL.GD.ZS,26.2210037607905,%
Jamaica,JM,2018,GC.TAX.TOTL.GD.ZS,26.7810665699502,%
Jamaica,JM,2019,GC.TAX.TOTL.GD.ZS,27.4539417450804,%
Jamaica,JM,2020,GC.TAX.TOTL.GD.ZS,25.7094656957291,%
Jamaica,JM,2021,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,2022,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,2023,GC.TAX.TOTL.GD.ZS,,%
Jamaica,JM,2024,GC.TAX.TOTL.GD.ZS,,%
