country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1961,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1962,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1963,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1964,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1965,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1966,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1967,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1968,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1969,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1970,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1971,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1972,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1973,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1974,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1975,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1976,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1977,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1978,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1979,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1980,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1981,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1982,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1983,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1984,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1985,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1986,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1987,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,1988,GC.XPN.TOTL.GD.ZS,24.4450018701873,%
Jamaica,JM,1989,GC.XPN.TOTL.GD.ZS,24.2546954843452,%
Jamaica,JM,1990,GC.XPN.TOTL.GD.ZS,22.6428561666032,%
Jamaica,JM,1991,GC.XPN.TOTL.GD.ZS,21.3845952675347,%
Jamaica,JM,1992,GC.XPN.TOTL.GD.ZS,20.1069971050268,%
Jamaica,JM,1993,GC.XPN.TOTL.GD.ZS,18.6921059224002,%
Jamaica,JM,1994,GC.XPN.TOTL.GD.ZS,19.0987611985388,%
Jamaica,JM,1995,GC.XPN.TOTL.GD.ZS,19.2265212056951,%
Jamaica,JM,1996,GC.XPN.TOTL.GD.ZS,23.4007179169126,%
Jamaica,JM,1997,GC.XPN.TOTL.GD.ZS,24.2479774286396,%
Jamaica,JM,1998,GC.XPN.TOTL.GD.ZS,26.3855525447751,%
Jamaica,JM,1999,GC.XPN.TOTL.GD.ZS,26.8504656308121,%
Jamaica,JM,2000,GC.XPN.TOTL.GD.ZS,24.7438310311065,%
Jamaica,JM,2001,GC.XPN.TOTL.GD.ZS,26.8760882004526,%
Jamaica,JM,2002,GC.XPN.TOTL.GD.ZS,29.9816975698909,%
Jamaica,JM,2003,GC.XPN.TOTL.GD.ZS,31.8172136416227,%
Jamaica,JM,2004,GC.XPN.TOTL.GD.ZS,30.2543359869977,%
Jamaica,JM,2005,GC.XPN.TOTL.GD.ZS,27.4534629203343,%
Jamaica,JM,2006,GC.XPN.TOTL.GD.ZS,28.6236106719569,%
Jamaica,JM,2007,GC.XPN.TOTL.GD.ZS,28.5533814496314,%
Jamaica,JM,2008,GC.XPN.TOTL.GD.ZS,31.0944272119207,%
Jamaica,JM,2009,GC.XPN.TOTL.GD.ZS,36.3313637668722,%
Jamaica,JM,2010,GC.XPN.TOTL.GD.ZS,28.901745665482,%
Jamaica,JM,2011,GC.XPN.TOTL.GD.ZS,28.2010759070268,%
Jamaica,JM,2012,GC.XPN.TOTL.GD.ZS,27.5103722033504,%
Jamaica,JM,2013,GC.XPN.TOTL.GD.ZS,25.0159858498313,%
Jamaica,JM,2014,GC.XPN.TOTL.GD.ZS,25.6804618517507,%
Jamaica,JM,2015,GC.XPN.TOTL.GD.ZS,25.7864695383499,%
Jamaica,JM,2016,GC.XPN.TOTL.GD.ZS,26.2014403357146,%
Jamaica,JM,2017,GC.XPN.TOTL.GD.ZS,26.6616007704384,%
Jamaica,JM,2018,GC.XPN.TOTL.GD.ZS,26.5577947196904,%
Jamaica,JM,2019,GC.XPN.TOTL.GD.ZS,25.7899378239332,%
Jamaica,JM,2020,GC.XPN.TOTL.GD.ZS,29.829620488055,%
Jamaica,JM,2021,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,2022,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,2023,GC.XPN.TOTL.GD.ZS,,%
Jamaica,JM,2024,GC.XPN.TOTL.GD.ZS,,%
