country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,IT.NET.USER.ZS,,%
Jamaica,JM,1961,IT.NET.USER.ZS,,%
Jamaica,JM,1962,IT.NET.USER.ZS,,%
Jamaica,JM,1963,IT.NET.USER.ZS,,%
Jamaica,JM,1964,IT.NET.USER.ZS,,%
Jamaica,JM,1965,IT.NET.USER.ZS,,%
Jamaica,JM,1966,IT.NET.USER.ZS,,%
Jamaica,JM,1967,IT.NET.USER.ZS,,%
Jamaica,JM,1968,IT.NET.USER.ZS,,%
Jamaica,JM,1969,IT.NET.USER.ZS,,%
Jamaica,JM,1970,IT.NET.USER.ZS,,%
Jamaica,JM,1971,IT.NET.USER.ZS,,%
Jamaica,JM,1972,IT.NET.USER.ZS,,%
Jamaica,JM,1973,IT.NET.USER.ZS,,%
Jamaica,JM,1974,IT.NET.USER.ZS,,%
Jamaica,JM,1975,IT.NET.USER.ZS,,%
Jamaica,JM,1976,IT.NET.USER.ZS,,%
Jamaica,JM,1977,IT.NET.USER.ZS,,%
Jamaica,JM,1978,IT.NET.USER.ZS,,%
Jamaica,JM,1979,IT.NET.USER.ZS,,%
Jamaica,JM,1980,IT.NET.USER.ZS,,%
Jamaica,JM,1981,IT.NET.USER.ZS,,%
Jamaica,JM,1982,IT.NET.USER.ZS,,%
Jamaica,JM,1983,IT.NET.USER.ZS,,%
Jamaica,JM,1984,IT.NET.USER.ZS,,%
Jamaica,JM,1985,IT.NET.USER.ZS,,%
Jamaica,JM,1986,IT.NET.USER.ZS,,%
Jamaica,JM,1987,IT.NET.USER.ZS,,%
Jamaica,JM,1988,IT.NET.USER.ZS,,%
Jamaica,JM,1989,IT.NET.USER.ZS,,%
Jamaica,JM,1990,IT.NET.USER.ZS,0.0,%
Jamaica,JM,1991,IT.NET.USER.ZS,,%
Jamaica,JM,1992,IT.NET.USER.ZS,,%
Jamaica,JM,1993,IT.NET.USER.ZS,,%
Jamaica,JM,1994,IT.NET.USER.ZS,0.0368,%
Jamaica,JM,1995,IT.NET.USER.ZS,0.109,%
Jamaica,JM,1996,IT.NET.USER.ZS,0.591,%
Jamaica,JM,1997,IT.NET.USER.ZS,0.798,%
Jamaica,JM,1998,IT.NET.USER.ZS,1.98,%
Jamaica,JM,1999,IT.NET.USER.ZS,2.36,%
Jamaica,JM,2000,IT.NET.USER.ZS,3.12,%
Jamaica,JM,2001,IT.NET.USER.ZS,3.86,%
Jamaica,JM,2002,IT.NET.USER.ZS,6.1,%
Jamaica,JM,2003,IT.NET.USER.ZS,7.8,%
Jamaica,JM,2004,IT.NET.USER.ZS,10.0,%
Jamaica,JM,2005,IT.NET.USER.ZS,12.8,%
Jamaica,JM,2006,IT.NET.USER.ZS,16.4,%
Jamaica,JM,2007,IT.NET.USER.ZS,21.1,%
Jamaica,JM,2008,IT.NET.USER.ZS,23.6,%
Jamaica,JM,2009,IT.NET.USER.ZS,24.3,%
Jamaica,JM,2010,IT.NET.USER.ZS,27.7,%
Jamaica,JM,2011,IT.NET.USER.ZS,37.4,%
Jamaica,JM,2012,IT.NET.USER.ZS,33.8,%
Jamaica,JM,2013,IT.NET.USER.ZS,37.1,%
Jamaica,JM,2014,IT.NET.USER.ZS,40.4,%
Jamaica,JM,2015,IT.NET.USER.ZS,42.2,%
Jamaica,JM,2016,IT.NET.USER.ZS,44.4,%
Jamaica,JM,2017,IT.NET.USER.ZS,55.1,%
Jamaica,JM,2018,IT.NET.USER.ZS,68.2,%
Jamaica,JM,2019,IT.NET.USER.ZS,70.8,%
Jamaica,JM,2020,IT.NET.USER.ZS,76.4,%
Jamaica,JM,2021,IT.NET.USER.ZS,82.4,%
Jamaica,JM,2022,IT.NET.USER.ZS,82.4,%
Jamaica,JM,2023,IT.NET.USER.ZS,83.4,%
Jamaica,JM,2024,IT.NET.USER.ZS,,%
