country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,NE.EXP.GNFS.ZS,33.2421181182296,%
Jamaica,JM,1961,NE.EXP.GNFS.ZS,33.2967695207152,%
Jamaica,JM,1962,NE.EXP.GNFS.ZS,33.0163990495392,%
Jamaica,JM,1963,NE.EXP.GNFS.ZS,34.1663491418362,%
Jamaica,JM,1964,NE.EXP.GNFS.ZS,33.4573499779542,%
Jamaica,JM,1965,NE.EXP.GNFS.ZS,33.280529953917,%
Jamaica,JM,1966,NE.EXP.GNFS.ZS,37.4521317334695,%
Jamaica,JM,1967,NE.EXP.GNFS.ZS,36.0476305027664,%
Jamaica,JM,1968,NE.EXP.GNFS.ZS,36.8356953055802,%
Jamaica,JM,1969,NE.EXP.GNFS.ZS,36.7583358517175,%
Jamaica,JM,1970,NE.EXP.GNFS.ZS,33.2308246395716,%
Jamaica,JM,1971,NE.EXP.GNFS.ZS,33.8194011228946,%
Jamaica,JM,1972,NE.EXP.GNFS.ZS,32.7774303384059,%
Jamaica,JM,1973,NE.EXP.GNFS.ZS,31.5483458340601,%
Jamaica,JM,1974,NE.EXP.GNFS.ZS,35.6752500926269,%
Jamaica,JM,1975,NE.EXP.GNFS.ZS,35.2638069244657,%
Jamaica,JM,1976,NE.EXP.GNFS.ZS,29.0461366654108,%
Jamaica,JM,1977,NE.EXP.GNFS.ZS,29.7667816324267,%
Jamaica,JM,1978,NE.EXP.GNFS.ZS,40.5522544937054,%
Jamaica,JM,1979,NE.EXP.GNFS.ZS,49.8072294787018,%
Jamaica,JM,1980,NE.EXP.GNFS.ZS,51.0674383524334,%
Jamaica,JM,1981,NE.EXP.GNFS.ZS,47.1895079990201,%
Jamaica,JM,1982,NE.EXP.GNFS.ZS,38.0409371566553,%
Jamaica,JM,1983,NE.EXP.GNFS.ZS,35.6961042770677,%
Jamaica,JM,1984,NE.EXP.GNFS.ZS,55.5783524192628,%
Jamaica,JM,1985,NE.EXP.GNFS.ZS,55.8611614962384,%
Jamaica,JM,1986,NE.EXP.GNFS.ZS,48.8429867272651,%
Jamaica,JM,1987,NE.EXP.GNFS.ZS,46.6017909703988,%
Jamaica,JM,1988,NE.EXP.GNFS.ZS,43.6311220853134,%
Jamaica,JM,1989,NE.EXP.GNFS.ZS,43.6122957901529,%
Jamaica,JM,1990,NE.EXP.GNFS.ZS,48.0631753995328,%
Jamaica,JM,1991,NE.EXP.GNFS.ZS,50.2073386550488,%
Jamaica,JM,1992,NE.EXP.GNFS.ZS,62.2745440322732,%
Jamaica,JM,1993,NE.EXP.GNFS.ZS,44.0842310016062,%
Jamaica,JM,1994,NE.EXP.GNFS.ZS,55.5594973476051,%
Jamaica,JM,1995,NE.EXP.GNFS.ZS,51.2758059771229,%
Jamaica,JM,1996,NE.EXP.GNFS.ZS,45.2499107331541,%
Jamaica,JM,1997,NE.EXP.GNFS.ZS,40.589242062011,%
Jamaica,JM,1998,NE.EXP.GNFS.ZS,38.4329891771387,%
Jamaica,JM,1999,NE.EXP.GNFS.ZS,39.0366070862465,%
Jamaica,JM,2000,NE.EXP.GNFS.ZS,38.7900457000845,%
Jamaica,JM,2001,NE.EXP.GNFS.ZS,35.5641570687808,%
Jamaica,JM,2002,NE.EXP.GNFS.ZS,32.7619513128115,%
Jamaica,JM,2003,NE.EXP.GNFS.ZS,36.6134689904685,%
Jamaica,JM,2004,NE.EXP.GNFS.ZS,37.5440247582553,%
Jamaica,JM,2005,NE.EXP.GNFS.ZS,35.2732351244367,%
Jamaica,JM,2006,NE.EXP.GNFS.ZS,40.1315252646825,%
Jamaica,JM,2007,NE.EXP.GNFS.ZS,39.7286909235439,%
Jamaica,JM,2008,NE.EXP.GNFS.ZS,41.9433070929295,%
Jamaica,JM,2009,NE.EXP.GNFS.ZS,34.4795962140846,%
Jamaica,JM,2010,NE.EXP.GNFS.ZS,31.3352666291342,%
Jamaica,JM,2011,NE.EXP.GNFS.ZS,30.368613897616,%
Jamaica,JM,2012,NE.EXP.GNFS.ZS,30.1837114553703,%
Jamaica,JM,2013,NE.EXP.GNFS.ZS,30.5758831810158,%
Jamaica,JM,2014,NE.EXP.GNFS.ZS,31.2546249666808,%
Jamaica,JM,2015,NE.EXP.GNFS.ZS,29.9216654806929,%
Jamaica,JM,2016,NE.EXP.GNFS.ZS,31.8134556140774,%
Jamaica,JM,2017,NE.EXP.GNFS.ZS,34.6570625717339,%
Jamaica,JM,2018,NE.EXP.GNFS.ZS,38.5638482851901,%
Jamaica,JM,2019,NE.EXP.GNFS.ZS,38.0360807474106,%
Jamaica,JM,2020,NE.EXP.GNFS.ZS,,%
Jamaica,JM,2021,NE.EXP.GNFS.ZS,,%
Jamaica,JM,2022,NE.EXP.GNFS.ZS,,%
Jamaica,JM,2023,NE.EXP.GNFS.ZS,,%
Jamaica,JM,2024,NE.EXP.GNFS.ZS,,%
