country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,NE.IMP.GNFS.ZS,38.0508435371343,%
Jamaica,JM,1961,NE.IMP.GNFS.ZS,34.9979506547611,%
Jamaica,JM,1962,NE.IMP.GNFS.ZS,34.9222350230415,%
Jamaica,JM,1963,NE.IMP.GNFS.ZS,34.0386618233546,%
Jamaica,JM,1964,NE.IMP.GNFS.ZS,38.9776991433014,%
Jamaica,JM,1965,NE.IMP.GNFS.ZS,36.8663594470046,%
Jamaica,JM,1966,NE.IMP.GNFS.ZS,35.869287720194,%
Jamaica,JM,1967,NE.IMP.GNFS.ZS,36.8053885013231,%
Jamaica,JM,1968,NE.IMP.GNFS.ZS,42.0726306465899,%
Jamaica,JM,1969,NE.IMP.GNFS.ZS,43.4572378362043,%
Jamaica,JM,1970,NE.IMP.GNFS.ZS,37.4167125761757,%
Jamaica,JM,1971,NE.IMP.GNFS.ZS,40.938864628821,%
Jamaica,JM,1972,NE.IMP.GNFS.ZS,41.0673337502606,%
Jamaica,JM,1973,NE.IMP.GNFS.ZS,41.1302982731554,%
Jamaica,JM,1974,NE.IMP.GNFS.ZS,45.905891070767,%
Jamaica,JM,1975,NE.IMP.GNFS.ZS,45.6122152596606,%
Jamaica,JM,1976,NE.IMP.GNFS.ZS,37.8912638292265,%
Jamaica,JM,1977,NE.IMP.GNFS.ZS,28.3823588796791,%
Jamaica,JM,1978,NE.IMP.GNFS.ZS,37.3307637038914,%
Jamaica,JM,1979,NE.IMP.GNFS.ZS,50.6320536486202,%
Jamaica,JM,1980,NE.IMP.GNFS.ZS,51.0402023841948,%
Jamaica,JM,1981,NE.IMP.GNFS.ZS,55.806591418719,%
Jamaica,JM,1982,NE.IMP.GNFS.ZS,48.6424281623825,%
Jamaica,JM,1983,NE.IMP.GNFS.ZS,43.0275103954197,%
Jamaica,JM,1984,NE.IMP.GNFS.ZS,61.6103010441909,%
Jamaica,JM,1985,NE.IMP.GNFS.ZS,65.69387404148,%
Jamaica,JM,1986,NE.IMP.GNFS.ZS,45.8865217148858,%
Jamaica,JM,1987,NE.IMP.GNFS.ZS,46.2674369130299,%
Jamaica,JM,1988,NE.IMP.GNFS.ZS,47.7863502648476,%
Jamaica,JM,1989,NE.IMP.GNFS.ZS,52.3979846346093,%
Jamaica,JM,1990,NE.IMP.GNFS.ZS,51.8769965364948,%
Jamaica,JM,1991,NE.IMP.GNFS.ZS,51.3914501409646,%
Jamaica,JM,1992,NE.IMP.GNFS.ZS,63.2197826892854,%
Jamaica,JM,1993,NE.IMP.GNFS.ZS,38.7579021824023,%
Jamaica,JM,1994,NE.IMP.GNFS.ZS,55.8471865767199,%
Jamaica,JM,1995,NE.IMP.GNFS.ZS,56.3760015228339,%
Jamaica,JM,1996,NE.IMP.GNFS.ZS,52.4743312273645,%
Jamaica,JM,1997,NE.IMP.GNFS.ZS,48.3955897632474,%
Jamaica,JM,1998,NE.IMP.GNFS.ZS,46.0419961889579,%
Jamaica,JM,1999,NE.IMP.GNFS.ZS,45.1951398055231,%
Jamaica,JM,2000,NE.IMP.GNFS.ZS,50.7229603527871,%
Jamaica,JM,2001,NE.IMP.GNFS.ZS,49.2635775306616,%
Jamaica,JM,2002,NE.IMP.GNFS.ZS,49.0848041142906,%
Jamaica,JM,2003,NE.IMP.GNFS.ZS,51.5371618519403,%
Jamaica,JM,2004,NE.IMP.GNFS.ZS,51.7740793144263,%
Jamaica,JM,2005,NE.IMP.GNFS.ZS,55.2146582204731,%
Jamaica,JM,2006,NE.IMP.GNFS.ZS,60.6140735603109,%
Jamaica,JM,2007,NE.IMP.GNFS.ZS,61.5157311388929,%
Jamaica,JM,2008,NE.IMP.GNFS.ZS,71.6340967512963,%
Jamaica,JM,2009,NE.IMP.GNFS.ZS,52.4055281197991,%
Jamaica,JM,2010,NE.IMP.GNFS.ZS,49.5851336897468,%
Jamaica,JM,2011,NE.IMP.GNFS.ZS,53.4532063299648,%
Jamaica,JM,2012,NE.IMP.GNFS.ZS,51.8563668932812,%
Jamaica,JM,2013,NE.IMP.GNFS.ZS,52.6836888029853,%
Jamaica,JM,2014,NE.IMP.GNFS.ZS,53.4863736564492,%
Jamaica,JM,2015,NE.IMP.GNFS.ZS,46.1958561816546,%
Jamaica,JM,2016,NE.IMP.GNFS.ZS,44.6417467596076,%
Jamaica,JM,2017,NE.IMP.GNFS.ZS,48.8661099457791,%
Jamaica,JM,2018,NE.IMP.GNFS.ZS,51.414057756045,%
Jamaica,JM,2019,NE.IMP.GNFS.ZS,52.0745268861888,%
Jamaica,JM,2020,NE.IMP.GNFS.ZS,,%
Jamaica,JM,2021,NE.IMP.GNFS.ZS,,%
Jamaica,JM,2022,NE.IMP.GNFS.ZS,,%
Jamaica,JM,2023,NE.IMP.GNFS.ZS,,%
Jamaica,JM,2024,NE.IMP.GNFS.ZS,,%
