country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,NE.TRD.GNFS.ZS,71.2929616553639,%
Jamaica,JM,1961,NE.TRD.GNFS.ZS,68.2947201754764,%
Jamaica,JM,1962,NE.TRD.GNFS.ZS,67.9386340725807,%
Jamaica,JM,1963,NE.TRD.GNFS.ZS,68.2050109651908,%
Jamaica,JM,1964,NE.TRD.GNFS.ZS,72.4350491212556,%
Jamaica,JM,1965,NE.TRD.GNFS.ZS,70.1468894009217,%
Jamaica,JM,1966,NE.TRD.GNFS.ZS,73.3214194536635,%
Jamaica,JM,1967,NE.TRD.GNFS.ZS,72.8530190040895,%
Jamaica,JM,1968,NE.TRD.GNFS.ZS,78.9083259521701,%
Jamaica,JM,1969,NE.TRD.GNFS.ZS,80.2155736879218,%
Jamaica,JM,1970,NE.TRD.GNFS.ZS,70.6475372157472,%
Jamaica,JM,1971,NE.TRD.GNFS.ZS,74.7582657517155,%
Jamaica,JM,1972,NE.TRD.GNFS.ZS,73.8447640886665,%
Jamaica,JM,1973,NE.TRD.GNFS.ZS,72.6786441072155,%
Jamaica,JM,1974,NE.TRD.GNFS.ZS,81.5811411633938,%
Jamaica,JM,1975,NE.TRD.GNFS.ZS,80.8760221841264,%
Jamaica,JM,1976,NE.TRD.GNFS.ZS,66.9374004946373,%
Jamaica,JM,1977,NE.TRD.GNFS.ZS,58.1491405121058,%
Jamaica,JM,1978,NE.TRD.GNFS.ZS,77.8830181975968,%
Jamaica,JM,1979,NE.TRD.GNFS.ZS,100.439283127322,%
Jamaica,JM,1980,NE.TRD.GNFS.ZS,102.107640736628,%
Jamaica,JM,1981,NE.TRD.GNFS.ZS,102.996099417739,%
Jamaica,JM,1982,NE.TRD.GNFS.ZS,86.6833653190378,%
Jamaica,JM,1983,NE.TRD.GNFS.ZS,78.7236146724874,%
Jamaica,JM,1984,NE.TRD.GNFS.ZS,117.188653463454,%
Jamaica,JM,1985,NE.TRD.GNFS.ZS,121.555035537718,%
Jamaica,JM,1986,NE.TRD.GNFS.ZS,94.729508442151,%
Jamaica,JM,1987,NE.TRD.GNFS.ZS,92.8692278834288,%
Jamaica,JM,1988,NE.TRD.GNFS.ZS,91.417472350161,%
Jamaica,JM,1989,NE.TRD.GNFS.ZS,96.0102804247623,%
Jamaica,JM,1990,NE.TRD.GNFS.ZS,99.9401719360276,%
Jamaica,JM,1991,NE.TRD.GNFS.ZS,101.598788796013,%
Jamaica,JM,1992,NE.TRD.GNFS.ZS,125.494326721559,%
Jamaica,JM,1993,NE.TRD.GNFS.ZS,82.8421331840085,%
Jamaica,JM,1994,NE.TRD.GNFS.ZS,111.406683924325,%
Jamaica,JM,1995,NE.TRD.GNFS.ZS,107.651807499957,%
Jamaica,JM,1996,NE.TRD.GNFS.ZS,97.7242419605186,%
Jamaica,JM,1997,NE.TRD.GNFS.ZS,88.9848318252583,%
Jamaica,JM,1998,NE.TRD.GNFS.ZS,84.4749853660967,%
Jamaica,JM,1999,NE.TRD.GNFS.ZS,84.2317468917696,%
Jamaica,JM,2000,NE.TRD.GNFS.ZS,89.5130060528716,%
Jamaica,JM,2001,NE.TRD.GNFS.ZS,84.8277345994425,%
Jamaica,JM,2002,NE.TRD.GNFS.ZS,81.846755427102,%
Jamaica,JM,2003,NE.TRD.GNFS.ZS,88.1506308424088,%
Jamaica,JM,2004,NE.TRD.GNFS.ZS,89.3181040726816,%
Jamaica,JM,2005,NE.TRD.GNFS.ZS,90.4878933449097,%
Jamaica,JM,2006,NE.TRD.GNFS.ZS,100.745598824993,%
Jamaica,JM,2007,NE.TRD.GNFS.ZS,101.244422062437,%
Jamaica,JM,2008,NE.TRD.GNFS.ZS,113.577403844226,%
Jamaica,JM,2009,NE.TRD.GNFS.ZS,86.8851243338837,%
Jamaica,JM,2010,NE.TRD.GNFS.ZS,80.920400318881,%
Jamaica,JM,2011,NE.TRD.GNFS.ZS,83.8218202275808,%
Jamaica,JM,2012,NE.TRD.GNFS.ZS,82.0400783486515,%
Jamaica,JM,2013,NE.TRD.GNFS.ZS,83.2595719840011,%
Jamaica,JM,2014,NE.TRD.GNFS.ZS,84.74099862313,%
Jamaica,JM,2015,NE.TRD.GNFS.ZS,76.1175216623476,%
Jamaica,JM,2016,NE.TRD.GNFS.ZS,76.455202373685,%
Jamaica,JM,2017,NE.TRD.GNFS.ZS,83.523172517513,%
Jamaica,JM,2018,NE.TRD.GNFS.ZS,89.9779060412351,%
Jamaica,JM,2019,NE.TRD.GNFS.ZS,90.1106076335994,%
Jamaica,JM,2020,NE.TRD.GNFS.ZS,,%
Jamaica,JM,2021,NE.TRD.GNFS.ZS,,%
Jamaica,JM,2022,NE.TRD.GNFS.ZS,,%
Jamaica,JM,2023,NE.TRD.GNFS.ZS,,%
Jamaica,JM,2024,NE.TRD.GNFS.ZS,,%
