country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1961,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1962,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1963,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1964,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1965,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1966,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1967,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1968,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1969,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1970,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1971,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1972,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1973,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1974,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1975,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1976,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1977,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1978,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1979,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1980,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1981,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1982,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1983,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1984,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1985,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1986,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1987,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1988,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1989,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1990,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1991,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1992,NV.AGR.TOTL.ZS,,%
Jamaica,JM,1993,NV.AGR.TOTL.ZS,7.64724952476385,%
Jamaica,JM,1994,NV.AGR.TOTL.ZS,8.5065104238843,%
Jamaica,JM,1995,NV.AGR.TOTL.ZS,8.59708931074463,%
Jamaica,JM,1996,NV.AGR.TOTL.ZS,8.00341035786896,%
Jamaica,JM,1997,NV.AGR.TOTL.ZS,7.63385216493667,%
Jamaica,JM,1998,NV.AGR.TOTL.ZS,7.17123535052869,%
Jamaica,JM,1999,NV.AGR.TOTL.ZS,6.67959721253552,%
Jamaica,JM,2000,NV.AGR.TOTL.ZS,6.23190015732816,%
Jamaica,JM,2001,NV.AGR.TOTL.ZS,6.12073592592505,%
Jamaica,JM,2002,NV.AGR.TOTL.ZS,5.5443040664747,%
Jamaica,JM,2003,NV.AGR.TOTL.ZS,5.2138620043709,%
Jamaica,JM,2004,NV.AGR.TOTL.ZS,4.98216525525125,%
Jamaica,JM,2005,NV.AGR.TOTL.ZS,5.18624085360629,%
Jamaica,JM,2006,NV.AGR.TOTL.ZS,5.15582607453948,%
Jamaica,JM,2007,NV.AGR.TOTL.ZS,4.61760640988582,%
Jamaica,JM,2008,NV.AGR.TOTL.ZS,4.89912215623133,%
Jamaica,JM,2009,NV.AGR.TOTL.ZS,5.47226787895058,%
Jamaica,JM,2010,NV.AGR.TOTL.ZS,5.26899732039303,%
Jamaica,JM,2011,NV.AGR.TOTL.ZS,5.64728677796925,%
Jamaica,JM,2012,NV.AGR.TOTL.ZS,5.77144048591992,%
Jamaica,JM,2013,NV.AGR.TOTL.ZS,5.97047963265033,%
Jamaica,JM,2014,NV.AGR.TOTL.ZS,5.97248983885497,%
Jamaica,JM,2015,NV.AGR.TOTL.ZS,6.30833589909362,%
Jamaica,JM,2016,NV.AGR.TOTL.ZS,6.59878760345831,%
Jamaica,JM,2017,NV.AGR.TOTL.ZS,6.63178586034485,%
Jamaica,JM,2018,NV.AGR.TOTL.ZS,6.59217827491514,%
Jamaica,JM,2019,NV.AGR.TOTL.ZS,7.01964952215967,%
Jamaica,JM,2020,NV.AGR.TOTL.ZS,8.6832359903362,%
Jamaica,JM,2021,NV.AGR.TOTL.ZS,8.34080242727078,%
Jamaica,JM,2022,NV.AGR.TOTL.ZS,8.09936510175336,%
Jamaica,JM,2023,NV.AGR.TOTL.ZS,9.02386916925967,%
Jamaica,JM,2024,NV.AGR.TOTL.ZS,9.80449888305694,%
