country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,NY.GDP.MKTP.CD,699064380.374248,US$
Jamaica,JM,1961,NY.GDP.MKTP.CD,748043500.7826,US$
Jamaica,JM,1962,NY.GDP.MKTP.CD,777727688.908924,US$
Jamaica,JM,1963,NY.GDP.MKTP.CD,826706669.317332,US$
Jamaica,JM,1964,NY.GDP.MKTP.CD,897949000.8204,US$
Jamaica,JM,1965,NY.GDP.MKTP.CD,972159611.136156,US$
Jamaica,JM,1966,NY.GDP.MKTP.CD,1096759561.29618,US$
Jamaica,JM,1967,NY.GDP.MKTP.CD,1148014310.8255,US$
Jamaica,JM,1968,NY.GDP.MKTP.CD,1083839132.92869,US$
Jamaica,JM,1969,NY.GDP.MKTP.CD,1191239047.00876,US$
Jamaica,JM,1970,NY.GDP.MKTP.CD,1404720441.88818,US$
Jamaica,JM,1971,NY.GDP.MKTP.CD,1539861815.89381,US$
Jamaica,JM,1972,NY.GDP.MKTP.CD,1875146587.4443,US$
Jamaica,JM,1973,NY.GDP.MKTP.CD,1905917553.19149,US$
Jamaica,JM,1974,NY.GDP.MKTP.CD,2375122375.12238,US$
Jamaica,JM,1975,NY.GDP.MKTP.CD,2860442750.44275,US$
Jamaica,JM,1976,NY.GDP.MKTP.CD,2966042856.04286,US$
Jamaica,JM,1977,NY.GDP.MKTP.CD,3249733139.73314,US$
Jamaica,JM,1978,NY.GDP.MKTP.CD,2644527821.53011,US$
Jamaica,JM,1979,NY.GDP.MKTP.CD,2425064229.04184,US$
Jamaica,JM,1980,NY.GDP.MKTP.CD,2679379371.51261,US$
Jamaica,JM,1981,NY.GDP.MKTP.CD,2979027966.45373,US$
Jamaica,JM,1982,NY.GDP.MKTP.CD,3293496311.93093,US$
Jamaica,JM,1983,NY.GDP.MKTP.CD,3619262277.47712,US$
Jamaica,JM,1984,NY.GDP.MKTP.CD,2373564549.4932,US$
Jamaica,JM,1985,NY.GDP.MKTP.CD,2100239018.82467,US$
Jamaica,JM,1986,NY.GDP.MKTP.CD,2754549581.92409,US$
Jamaica,JM,1987,NY.GDP.MKTP.CD,3287007321.56699,US$
Jamaica,JM,1988,NY.GDP.MKTP.CD,3828342820.3494,US$
Jamaica,JM,1989,NY.GDP.MKTP.CD,4404937853.39452,US$
Jamaica,JM,1990,NY.GDP.MKTP.CD,4592208086.69235,US$
Jamaica,JM,1991,NY.GDP.MKTP.CD,4106207649.05547,US$
Jamaica,JM,1992,NY.GDP.MKTP.CD,3535460089.80719,US$
Jamaica,JM,1993,NY.GDP.MKTP.CD,5440075675.74067,US$
Jamaica,JM,1994,NY.GDP.MKTP.CD,5452558947.03045,US$
Jamaica,JM,1995,NY.GDP.MKTP.CD,6577520642.82297,US$
Jamaica,JM,1996,NY.GDP.MKTP.CD,7393891920.80358,US$
Jamaica,JM,1997,NY.GDP.MKTP.CD,8400041723.54861,US$
Jamaica,JM,1998,NY.GDP.MKTP.CD,8787195622.43502,US$
Jamaica,JM,1999,NY.GDP.MKTP.CD,8887057997.36228,US$
Jamaica,JM,2000,NY.GDP.MKTP.CD,9005064474.93003,US$
Jamaica,JM,2001,NY.GDP.MKTP.CD,9194727831.07318,US$
Jamaica,JM,2002,NY.GDP.MKTP.CD,9719009494.84779,US$
Jamaica,JM,2003,NY.GDP.MKTP.CD,9430234810.78586,US$
Jamaica,JM,2004,NY.GDP.MKTP.CD,10174664853.9476,US$
Jamaica,JM,2005,NY.GDP.MKTP.CD,11243865777.7131,US$
Jamaica,JM,2006,NY.GDP.MKTP.CD,11930179089.8855,US$
Jamaica,JM,2007,NY.GDP.MKTP.CD,12799600047.1845,US$
Jamaica,JM,2008,NY.GDP.MKTP.CD,13709401520.0326,US$
Jamaica,JM,2009,NY.GDP.MKTP.CD,12120458114.8318,US$
Jamaica,JM,2010,NY.GDP.MKTP.CD,13220549908.2494,US$
Jamaica,JM,2011,NY.GDP.MKTP.CD,14444661522.1463,US$
Jamaica,JM,2012,NY.GDP.MKTP.CD,14807086555.5283,US$
Jamaica,JM,2013,NY.GDP.MKTP.CD,14264205152.6126,US$
Jamaica,JM,2014,NY.GDP.MKTP.CD,13899217679.9219,US$
Jamaica,JM,2015,NY.GDP.MKTP.CD,14188936918.0036,US$
Jamaica,JM,2016,NY.GDP.MKTP.CD,14077096676.6213,US$
Jamaica,JM,2017,NY.GDP.MKTP.CD,14808985132.7722,US$
Jamaica,JM,2018,NY.GDP.MKTP.CD,15730792876.2656,US$
Jamaica,JM,2019,NY.GDP.MKTP.CD,15830766531.1474,US$
Jamaica,JM,2020,NY.GDP.MKTP.CD,13812421835.7369,US$
Jamaica,JM,2021,NY.GDP.MKTP.CD,14657586159.4316,US$
Jamaica,JM,2022,NY.GDP.MKTP.CD,17097760686.7775,US$
Jamaica,JM,2023,NY.GDP.MKTP.CD,19423355367.2372,US$
Jamaica,JM,2024,NY.GDP.MKTP.CD,19930288337.028,US$
