country,iso2c,year,indicator,value,unit
Jamaica,JM,1960,NY.GDP.PCAP.CD,423.674098184095,US$
Jamaica,JM,1961,NY.GDP.PCAP.CD,447.057273660594,US$
Jamaica,JM,1962,NY.GDP.PCAP.CD,458.313997796567,US$
Jamaica,JM,1963,NY.GDP.PCAP.CD,480.336499711715,US$
Jamaica,JM,1964,NY.GDP.PCAP.CD,514.416511313452,US$
Jamaica,JM,1965,NY.GDP.PCAP.CD,549.493560414107,US$
Jamaica,JM,1966,NY.GDP.PCAP.CD,612.210363692586,US$
Jamaica,JM,1967,NY.GDP.PCAP.CD,633.259680574944,US$
Jamaica,JM,1968,NY.GDP.PCAP.CD,591.045817173244,US$
Jamaica,JM,1969,NY.GDP.PCAP.CD,642.133421058915,US$
Jamaica,JM,1970,NY.GDP.PCAP.CD,747.909399172491,US$
Jamaica,JM,1971,NY.GDP.PCAP.CD,808.866506083755,US$
Jamaica,JM,1972,NY.GDP.PCAP.CD,970.802906405502,US$
Jamaica,JM,1973,NY.GDP.PCAP.CD,971.802513228502,US$
Jamaica,JM,1974,NY.GDP.PCAP.CD,1192.98569350958,US$
Jamaica,JM,1975,NY.GDP.PCAP.CD,1416.77546764568,US$
Jamaica,JM,1976,NY.GDP.PCAP.CD,1449.977882067,US$
Jamaica,JM,1977,NY.GDP.PCAP.CD,1569.42127051131,US$
Jamaica,JM,1978,NY.GDP.PCAP.CD,1262.40327239465,US$
Jamaica,JM,1979,NY.GDP.PCAP.CD,1144.17562986584,US$
Jamaica,JM,1980,NY.GDP.PCAP.CD,1248.74484727418,US$
Jamaica,JM,1981,NY.GDP.PCAP.CD,1370.41277901541,US$
Jamaica,JM,1982,NY.GDP.PCAP.CD,1494.40208283218,US$
Jamaica,JM,1983,NY.GDP.PCAP.CD,1619.4784563122,US$
Jamaica,JM,1984,NY.GDP.PCAP.CD,1048.13405395534,US$
Jamaica,JM,1985,NY.GDP.PCAP.CD,916.872292838674,US$
Jamaica,JM,1986,NY.GDP.PCAP.CD,1191.34976782142,US$
Jamaica,JM,1987,NY.GDP.PCAP.CD,1410.84598702428,US$
Jamaica,JM,1988,NY.GDP.PCAP.CD,1632.01481656159,US$
Jamaica,JM,1989,NY.GDP.PCAP.CD,1864.98497550062,US$
Jamaica,JM,1990,NY.GDP.PCAP.CD,1929.59891905857,US$
Jamaica,JM,1991,NY.GDP.PCAP.CD,1710.30058243722,US$
Jamaica,JM,1992,NY.GDP.PCAP.CD,1458.10146892635,US$
Jamaica,JM,1993,NY.GDP.PCAP.CD,2220.51518327186,US$
Jamaica,JM,1994,NY.GDP.PCAP.CD,2202.85831038471,US$
Jamaica,JM,1995,NY.GDP.PCAP.CD,2630.84935382822,US$
Jamaica,JM,1996,NY.GDP.PCAP.CD,2928.89692611996,US$
Jamaica,JM,1997,NY.GDP.PCAP.CD,3296.91634805083,US$
Jamaica,JM,1998,NY.GDP.PCAP.CD,3419.49352868739,US$
Jamaica,JM,1999,NY.GDP.PCAP.CD,3431.56813468335,US$
Jamaica,JM,2000,NY.GDP.PCAP.CD,3453.09252800226,US$
Jamaica,JM,2001,NY.GDP.PCAP.CD,3503.55026688858,US$
Jamaica,JM,2002,NY.GDP.PCAP.CD,3680.64551727724,US$
Jamaica,JM,2003,NY.GDP.PCAP.CD,3549.70758394618,US$
Jamaica,JM,2004,NY.GDP.PCAP.CD,3807.56293124552,US$
Jamaica,JM,2005,NY.GDP.PCAP.CD,4184.43974867497,US$
Jamaica,JM,2006,NY.GDP.PCAP.CD,4417.00127135363,US$
Jamaica,JM,2007,NY.GDP.PCAP.CD,4716.48612542727,US$
Jamaica,JM,2008,NY.GDP.PCAP.CD,5029.80095281745,US$
Jamaica,JM,2009,NY.GDP.PCAP.CD,4428.38153333557,US$
Jamaica,JM,2010,NY.GDP.PCAP.CD,4809.977380312,US$
Jamaica,JM,2011,NY.GDP.PCAP.CD,5232.63644918132,US$
Jamaica,JM,2012,NY.GDP.PCAP.CD,5340.83333232158,US$
Jamaica,JM,2013,NY.GDP.PCAP.CD,5124.21301411137,US$
Jamaica,JM,2014,NY.GDP.PCAP.CD,4975.11325459872,US$
Jamaica,JM,2015,NY.GDP.PCAP.CD,5062.8955502426,US$
Jamaica,JM,2016,NY.GDP.PCAP.CD,5009.79448724295,US$
Jamaica,JM,2017,NY.GDP.PCAP.CD,5259.31332766957,US$
Jamaica,JM,2018,NY.GDP.PCAP.CD,5578.10347525832,US$
Jamaica,JM,2019,NY.GDP.PCAP.CD,5607.24299266608,US$
Jamaica,JM,2020,NY.GDP.PCAP.CD,4879.44025773374,US$
Jamaica,JM,2021,NY.GDP.PCAP.CD,5165.33782130331,US$
Jamaica,JM,2022,NY.GDP.PCAP.CD,6022.15339791763,US$
Jamaica,JM,2023,NY.GDP.PCAP.CD,6839.72502408181,US$
Jamaica,JM,2024,NY.GDP.PCAP.CD,7019.74634780454,US$
